,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_gamma,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_test_neg_root_mean_squared_error,split1_test_neg_root_mean_squared_error,split2_test_neg_root_mean_squared_error,split3_test_neg_root_mean_squared_error,split4_test_neg_root_mean_squared_error,mean_test_neg_root_mean_squared_error,std_test_neg_root_mean_squared_error,rank_test_neg_root_mean_squared_error
44,0.1745237350463867,0.003476233502764883,0.006250190734863281,0.007654889053683644,0.01,0.1,6,80,"{'gamma': 0.01, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 80}",0.8727134128415249,0.8377490260800666,0.8614108122671543,0.8146119698979837,0.761342837661235,0.8295656117495931,0.039549402306771064,14,-0.6442025672774073,-0.8633291713617416,-0.9545904745047834,-1.1125939316859084,-1.1459911666392146,-0.944141462293811,0.1820564124408465,13
110,0.14340338706970215,0.006690413056297344,0.004726505279541016,0.006271232872808379,0.1,0.1,3,80,"{'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 80}",0.8790145310432386,0.8554526449193927,0.7966183794746171,0.8453943660167251,0.7635168299689663,0.8279993502845879,0.04195611846130501,15,-0.6280550850551296,-0.8148690711690245,-1.1564005070189476,-1.016034605523859,-1.140759654625162,-0.9512237846784245,0.20260917659275335,19
123,0.45887203216552735,0.02442871748505982,0.00632476806640625,0.005866878959904757,0.1,0.1,9,160,"{'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 160}",0.8621721430712697,0.8457024833347276,0.8611686820729119,0.8180664137447343,0.7479713737708246,0.8270162191988936,0.04261383056579232,16,-0.6703469408883014,-0.8419033308133801,-0.9554239966373259,-1.1021793809575187,-1.177657412263441,-0.9495022123119934,0.18160691918728356,15
125,1.3791266441345216,0.05185402796260464,0.010973501205444335,0.0062308730301880106,0.1,0.1,9,500,"{'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 500}",0.8621721139091048,0.8457023943746472,0.8611686732935284,0.8180664265487456,0.7479713737708246,0.8270161963793701,0.04261381600721979,17,-0.6703470118056306,-0.8419035735126109,-0.9554240268467683,-1.1021793421732629,-1.177657412263441,-0.9495022733203428,0.181606862302146,16
124,0.9408978462219239,0.040150883473245885,0.001399660110473633,0.002799320220947266,0.1,0.1,9,340,"{'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 340}",0.8621721139091048,0.8457023943746472,0.8611686732935284,0.8180664265487456,0.7479713737708246,0.8270161963793701,0.04261381600721979,17,-0.6703470118056306,-0.8419035735126109,-0.9554240268467683,-1.1021793421732629,-1.177657412263441,-0.9495022733203428,0.181606862302146,16
122,0.24317011833190919,0.017506809128421088,0.009402322769165038,0.00048790497642863917,0.1,0.1,9,80,"{'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 80}",0.8623685655234149,0.8455390890373558,0.8612669139930053,0.8178255869953909,0.7479733070996067,0.8269946925297548,0.04265733828552626,19,-0.6698691052083005,-0.842348982199584,-0.955085925434356,-1.1029086209559193,-1.1776528953096108,-0.9495731058215542,0.1818207372111769,18
38,0.12821636199951172,0.0062254819327349315,0.01250143051147461,0.006250716022353558,0.01,0.1,3,80,"{'gamma': 0.01, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 80}",0.8776636250029226,0.8501339030902672,0.7982196327188118,0.8374367113386465,0.770897945934164,0.8268703636169624,0.037911927667898665,20,-0.6315517369574298,-0.8297255389925973,-1.1518392562683117,-1.0418545200827432,-1.1228158258957384,-0.9555573756393642,0.19736386092497718,20
51,0.4301589488983154,0.02021855264486454,0.006327295303344726,0.005868716022034708,0.01,0.1,9,160,"{'gamma': 0.01, 'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 160}",0.8534191190508017,0.8037139025581782,0.8663888738268934,0.8175462685132018,0.7576293180530449,0.8197394964004241,0.03854811423936114,21,-0.691305152567207,-0.9495711902410965,-0.937289461407472,-1.1037538131078695,-1.1548725963846012,-0.9673584427416493,0.1619822236419165,21
52,0.8713349342346192,0.07546373887792583,0.008050298690795899,0.00700387877967105,0.01,0.1,9,340,"{'gamma': 0.01, 'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 340}",0.8534190718729275,0.803713935911278,0.8663888682793018,0.8175462829033783,0.7576293112855421,0.8197394940504855,0.038548103896668295,22,-0.6913052638174081,-0.9495711095651228,-0.9372894808658032,-1.1037537695811839,-1.154872612507846,-0.9673584472674728,0.16198218317504695,22
53,1.2594432353973388,0.06691159164733064,0.003130006790161133,0.006260013580322265,0.01,0.1,9,500,"{'gamma': 0.01, 'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 500}",0.8534190718729275,0.803713935911278,0.8663888682793018,0.8175462829033783,0.7576293112855421,0.8197394940504855,0.038548103896668295,22,-0.6913052638174081,-0.9495711095651228,-0.9372894808658032,-1.1037537695811839,-1.154872612507846,-0.9673584472674728,0.16198218317504695,22
