,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_gamma,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_test_neg_root_mean_squared_error,split1_test_neg_root_mean_squared_error,split2_test_neg_root_mean_squared_error,split3_test_neg_root_mean_squared_error,split4_test_neg_root_mean_squared_error,mean_test_neg_root_mean_squared_error,std_test_neg_root_mean_squared_error,rank_test_neg_root_mean_squared_error
110,0.03793249130249023,0.0051657152337859875,0.003682565689086914,4.898266625000207e-05,0.1,0.1,3,80,"{'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 80}",0.9103859583649478,0.7491356670608,0.7984602086121629,0.9268823883644111,0.8014323836246492,0.8372593212053943,0.06918745297160106,23,-132.11603805365715,-133.63515603921613,-340.3275637305829,-145.85390086817685,-98.9339693435026,-170.17332560702712,86.48969883536847,23
38,0.04683866500854492,0.013401199559012452,0.0040381431579589845,0.0004470109017640758,0.01,0.1,3,80,"{'gamma': 0.01, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 80}",0.9103859583649478,0.7491356670608,0.7984602086121629,0.9268823883644111,0.8014310281094634,0.837259050102357,0.06918759335729692,24,-132.11603805365715,-133.63515603921613,-340.3275637305829,-145.85390086817685,-98.93430702764115,-170.17339314385484,86.48964320709574,24
107,0.21609292030334473,0.017305104532804046,0.003751039505004883,0.00015120295009141458,0.1,0.01,9,500,"{'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 500}",0.9132127735273337,0.7356933861536745,0.7450423310568997,0.9086942984526626,0.7978785960728199,0.8201042770526781,0.0771632803106189,25,-130.01558483178903,-137.16878156035767,-382.7813434375409,-162.98813834817346,-99.81535958121616,-182.55384155181542,102.11718537215762,25
101,0.2047182559967041,0.008302458027741004,0.0037439346313476564,0.00029054609544228226,0.1,0.01,6,500,"{'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 500}",0.9132127735273337,0.7356933861536745,0.7450151352913544,0.9086942984526626,0.7978785960728199,0.820098837899569,0.0771685719283865,26,-130.01558483178903,-137.16878156035767,-382.8017581089753,-162.98813834817346,-99.81535958121616,-182.55792448610234,102.12519104745049,26
29,0.37236199378967283,0.056805420782250135,0.006141805648803711,0.002159335811894044,0.01,0.01,6,500,"{'gamma': 0.01, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 500}",0.9132127735273337,0.7356465263711034,0.7450151352913544,0.9086942984526626,0.7978785960728199,0.8200894659430549,0.07717882438368369,27,-130.01558483178903,-137.18094057203396,-382.8017581089753,-162.98813834817346,-99.81535958121616,-182.5603562884376,102.12411035247939,27
35,0.25219292640686036,0.0463246155508694,0.004445981979370117,0.0007844206247027218,0.01,0.01,9,500,"{'gamma': 0.01, 'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 500}",0.9132127735273337,0.7354953119556292,0.7450423310568997,0.9086942984526626,0.7978785960728199,0.8200646622130691,0.07720664449026171,28,-130.01558483178903,-137.22016980906469,-382.7813434375409,-162.98813834817346,-99.81535958121616,-182.56411920155685,102.11261953035859,28
95,0.2091381549835205,0.011400964039746747,0.004522371292114258,0.0011046579193016214,0.1,0.01,3,500,"{'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 500}",0.8992576621559116,0.7302640041771751,0.7489051357323349,0.9085173384505163,0.7983546288235823,0.817059753867904,0.07436319216536368,29,-140.07915767372043,-138.57047913251864,-379.8705604058723,-163.14600592632712,-99.69774860804519,-184.27279034929674,99.89949426930359,29
23,0.26169533729553224,0.051284690986235525,0.0059316158294677734,0.0016677635953022414,0.01,0.01,3,500,"{'gamma': 0.01, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 500}",0.8992576621559116,0.7302640041771751,0.7489051357323349,0.9085173384505163,0.7983546288235823,0.817059753867904,0.07436319216536368,29,-140.07915767372043,-138.57047913251864,-379.8705604058723,-163.14600592632712,-99.69774860804519,-184.27279034929674,99.89949426930359,29
115,0.018632221221923827,0.0007914211329670162,0.0035318374633789063,3.512824100945692e-05,0.1,0.1,6,40,"{'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 40}",0.8927410883945083,0.7283202964429952,0.6953719897790815,0.8902702857430762,0.7808112465314565,0.7975029813782235,0.08145141759261453,31,-144.5387191889235,-139.0688498396068,-418.4095989314559,-178.6772149731341,-103.94422271115315,-196.92772112885467,113.2479497907392,31
121,0.018224430084228516,0.0005665659722632323,0.0035301685333251954,2.6524149969592445e-05,0.1,0.1,9,40,"{'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 40}",0.8927410883945083,0.7283202964429952,0.6953719897790815,0.8902702857430762,0.7808112465314565,0.7975029813782235,0.08145141759261453,31,-144.5387191889235,-139.0688498396068,-418.4095989314559,-178.6772149731341,-103.94422271115315,-196.92772112885467,113.2479497907392,31
