Year,Veterinary Office,Animal Count,Herd Incidence Rate,Restricted Herds at end of Year,Restricted Herds at start of Year,Herds Tested,Herds Count,Reactors per 1000 Tests A.P.T.,Reactors to date,Tests on Animals
2015,Laois,228844.0,4.34,76.0,126.0,2904.0,2922.0,1.35,386.0,286727.0
2015,Leitrim,68357.0,2.9,34.0,87.0,2999.0,3023.0,1.92,187.0,97492.0
2015,Limerick,357777.0,1.92,63.0,105.0,5460.0,5507.0,1.52,709.0,465807.0
2015,Longford,105926.0,2.55,37.0,61.0,2388.0,2414.0,1.19,155.0,130204.0
2015,Louth,81508.0,3.95,21.0,47.0,1190.0,1228.0,1.14,120.0,105062.0
2015,Mayo,248070.0,1.45,60.0,134.0,9246.0,9338.0,0.84,269.0,321255.0
2015,Meath,263406.0,5.37,110.0,197.0,3666.0,3782.0,2.02,796.0,394529.0
2015,Monaghan,197850.0,3.1,72.0,129.0,4162.0,4253.0,2.23,595.0,267392.0
2015,Offaly,211417.0,5.2,85.0,159.0,3057.0,3124.0,1.5,427.0,284882.0
2015,Roscommon,183236.0,3.03,83.0,163.0,5387.0,5485.0,1.55,400.0,257872.0
2015,Sligo,102138.0,3.51,54.0,124.0,3537.0,3566.0,2.03,291.0,143315.0
2015,Tipperary North,291575.0,4.1,76.0,138.0,3365.0,3442.0,1.37,533.0,390464.0
2015,Tipperary South,291924.0,3.13,60.0,105.0,3356.0,3440.0,1.08,405.0,376306.0
2015,Waterford,236327.0,2.68,32.0,60.0,2241.0,2250.0,0.86,246.0,287336.0
2015,Westmeath,187070.0,4.95,95.0,147.0,2972.0,3037.0,2.14,573.0,267779.0
2015,Wexford,271968.0,6.29,99.0,189.0,3005.0,3059.0,1.9,704.0,370771.0
2015,Wicklow E,73333.0,6.78,49.0,71.0,1047.0,1071.0,4.98,568.0,113986.0
2015,Wicklow W,40158.0,12.89,37.0,71.0,551.0,556.0,9.64,616.0,63919.0
2016,Carlow,98905.0,2.52,21.0,33.0,1311.0,1325.0,1.05,126.0,119607.0
2016,Cavan,222871.0,3.27,79.0,157.0,4795.0,4875.0,2.68,812.0,302990.0
2016,Clare,257768.0,3.84,135.0,235.0,6124.0,6164.0,3.53,1335.0,378083.0
2016,Cork North,530542.0,4.36,130.0,246.0,5643.0,5874.0,2.15,1534.0,713432.0
2016,Cork South,458753.0,3.56,106.0,212.0,5947.0,6190.0,1.44,884.0,615751.0
2016,Donegal,170385.0,2.21,56.0,117.0,5300.0,5375.0,1.15,249.0,217131.0
2016,Dublin,21363.0,7.05,19.0,26.0,369.0,379.0,1.69,53.0,31404.0
2016,Galway,398962.0,2.6,147.0,289.0,11095.0,11212.0,2.09,1078.0,516534.0
2016,Kerry,311312.0,2.48,98.0,164.0,6608.0,6893.0,2.58,1109.0,429956.0
2016,Kildare,122601.0,3.56,63.0,67.0,1883.0,1910.0,1.74,261.0,150313.0
2016,Kilkenny,328034.0,3.65,63.0,113.0,3093.0,3120.0,0.97,405.0,416548.0
2016,Laois,236636.0,4.2,84.0,120.0,2859.0,2880.0,1.83,523.0,286424.0
2016,Leitrim,68782.0,1.56,25.0,46.0,2942.0,2979.0,1.23,110.0,89142.0
2016,Limerick,372799.0,2.43,71.0,131.0,5395.0,5457.0,1.2,594.0,493179.0
2016,Longford,107843.0,2.35,33.0,56.0,2387.0,2407.0,0.89,120.0,134998.0
2016,Louth,87879.0,3.9,25.0,46.0,1179.0,1220.0,1.86,193.0,103720.0
2016,Mayo,247705.0,1.57,77.0,143.0,9132.0,9193.0,0.86,275.0,319189.0
2016,Meath,274358.0,5.6,127.0,201.0,3589.0,3721.0,2.56,1029.0,401834.0
2016,Monaghan,202605.0,4.01,92.0,168.0,4187.0,4298.0,3.52,1013.0,287636.0
2016,Offaly,220693.0,4.79,72.0,149.0,3109.0,3164.0,1.68,492.0,292814.0
2016,Roscommon,184407.0,2.58,69.0,140.0,5417.0,5497.0,1.48,376.0,253866.0
2016,Sligo,101430.0,2.62,36.0,92.0,3511.0,3547.0,1.53,218.0,142348.0
2016,Tipperary North,301269.0,4.33,88.0,148.0,3416.0,3499.0,2.26,968.0,427999.0
2016,Tipperary South,300134.0,2.99,56.0,102.0,3413.0,3493.0,1.27,489.0,386177.0
2016,Waterford,238378.0,2.69,36.0,59.0,2192.0,2214.0,1.89,567.0,300636.0
2016,Westmeath,194099.0,4.51,74.0,136.0,3013.0,3090.0,1.78,484.0,271309.0
2016,Wexford,277638.0,4.54,71.0,139.0,3061.0,3092.0,1.38,507.0,368231.0
2016,Wicklow E,75768.0,7.26,48.0,78.0,1074.0,1083.0,5.58,640.0,114671.0
2016,Wicklow W,42015.0,12.52,34.0,69.0,551.0,554.0,6.72,470.0,69902.0
2017,Carlow,102212.0,3.55,20.0,46.0,1297.0,1315.0,0.82,103.0,125317.0
2017,Cavan,218219.0,5.53,164.0,263.0,4757.0,4851.0,4.19,1408.0,335870.0
2017,Clare,254680.0,3.37,110.0,204.0,6059.0,6101.0,3.21,1207.0,376122.0
2017,Cork North,540081.0,4.72,146.0,270.0,5720.0,5822.0,2.41,1775.0,737432.0
2017,Cork South,463720.0,4.1,115.0,246.0,6007.0,6120.0,1.25,809.0,648076.0
2017,Donegal,168346.0,2.0,38.0,104.0,5207.0,5349.0,0.87,184.0,212312.0
2017,Dublin,21356.0,5.57,16.0,21.0,377.0,387.0,2.87,86.0,29983.0
2017,Galway,396072.0,2.59,146.0,284.0,10977.0,11072.0,1.88,975.0,519155.0
2017,Kerry,305620.0,2.7,95.0,180.0,6661.0,6754.0,2.62,1173.0,448489.0
2017,Kildare,128022.0,3.64,60.0,68.0,1866.0,1892.0,0.95,146.0,153045.0
2017,Kilkenny,340016.0,3.24,45.0,99.0,3051.0,3084.0,0.94,421.0,449898.0
2017,Laois,247198.0,3.28,72.0,93.0,2834.0,2858.0,2.18,667.0,306618.0
