,Year,Type of Crop,UNIT,Area under Crops,Crop Yield,Crop Yield per Hectare
557,1995,Winter oats,Tonnes,,,7.2
558,1995,Winter wheat,000 Hectares,51.8,,
559,1995,Winter wheat,000 Tonnes,,451.0,
560,1995,Winter wheat,Tonnes,,,8.7
561,1996,Beans and peas,000 Hectares,4.8,,
562,1996,Beans and peas,000 Tonnes,,21.5,
563,1996,Beans and peas,Tonnes,,,4.5
564,1996,Fodder beet,000 Hectares,9.9,,
565,1996,Fodder beet,000 Tonnes,,726.3,
566,1996,Fodder beet,Tonnes,,,73.7
567,1996,Kale and field cabbage,000 Hectares,1.6,,
568,1996,Kale and field cabbage,000 Tonnes,,63.7,
569,1996,Kale and field cabbage,Tonnes,,,40.8
570,1996,Oilseed rape,000 Hectares,3.5,,
571,1996,Oilseed rape,000 Tonnes,,10.1,
572,1996,Oilseed rape,Tonnes,,,2.9
573,1996,Potatoes,000 Hectares,24.3,,
574,1996,Potatoes,000 Tonnes,,733.3,
575,1996,Potatoes,Tonnes,,,30.2
576,1996,Spring barley,000 Hectares,140.5,,
577,1996,Spring barley,000 Tonnes,,896.8,
578,1996,Spring barley,Tonnes,,,6.4
579,1996,Spring oats,000 Hectares,8.4,,
580,1996,Spring oats,000 Tonnes,,51.1,
581,1996,Spring oats,Tonnes,,,6.1
582,1996,Spring wheat,000 Hectares,18.5,,
583,1996,Spring wheat,000 Tonnes,,138.7,
584,1996,Spring wheat,Tonnes,,,7.5
585,1996,Sugar beet,000 Hectares,32.3,,
586,1996,Sugar beet,000 Tonnes,,1475.6,
587,1996,Sugar beet,Tonnes,,,45.7
588,1996,Total barley,000 Hectares,181.4,,
589,1996,Total barley,000 Tonnes,,1224.6,
590,1996,Total barley,Tonnes,,,6.8
591,1996,Total oats,000 Hectares,20.9,,
592,1996,Total oats,000 Tonnes,,146.1,
593,1996,Total oats,Tonnes,,,7.0
594,1996,Total wheat,000 Hectares,85.7,,
595,1996,Total wheat,000 Tonnes,,771.2,
596,1996,Total wheat,Tonnes,,,9.0
597,1996,"Total wheat, oats and barley",000 Hectares,288.0,,
598,1996,"Total wheat, oats and barley",000 Tonnes,,2142.0,
599,1996,"Total wheat, oats and barley",Tonnes,,,7.4
600,1996,Turnips,000 Hectares,5.4,,
601,1996,Turnips,000 Tonnes,,309.8,
602,1996,Turnips,Tonnes,,,57.8
603,1996,Winter barley,000 Hectares,40.9,,
604,1996,Winter barley,000 Tonnes,,327.9,
605,1996,Winter barley,Tonnes,,,8.0
606,1996,Winter oats,000 Hectares,12.5,,
607,1996,Winter oats,000 Tonnes,,95.1,
608,1996,Winter oats,Tonnes,,,7.6
609,1996,Winter wheat,000 Hectares,67.2,,
610,1996,Winter wheat,000 Tonnes,,632.5,
611,1996,Winter wheat,Tonnes,,,9.4
612,1997,Beans and peas,000 Hectares,4.8,,
613,1997,Beans and peas,000 Tonnes,,19.4,
614,1997,Beans and peas,Tonnes,,,4.0
615,1997,Fodder beet,000 Hectares,9.1,,
616,1997,Fodder beet,000 Tonnes,,603.5,
617,1997,Fodder beet,Tonnes,,,66.2
618,1997,Oilseed rape,000 Hectares,4.4,,
619,1997,Oilseed rape,000 Tonnes,,12.0,
620,1997,Oilseed rape,Tonnes,,,2.7
621,1997,Potatoes,000 Hectares,18.2,,
622,1997,Potatoes,000 Tonnes,,471.9,
623,1997,Potatoes,Tonnes,,,25.9
624,1997,Spring barley,000 Hectares,148.6,,
625,1997,Spring barley,000 Tonnes,,799.8,
626,1997,Spring barley,Tonnes,,,5.4
627,1997,Spring oats,000 Hectares,9.4,,
628,1997,Spring oats,000 Tonnes,,48.2,
629,1997,Spring oats,Tonnes,,,5.2
630,1997,Spring wheat,000 Hectares,23.7,,
631,1997,Spring wheat,000 Tonnes,,161.2,
632,1997,Spring wheat,Tonnes,,,6.8
633,1997,Sugar beet,000 Hectares,32.3,,
634,1997,Sugar beet,000 Tonnes,,1648.2,
635,1997,Sugar beet,Tonnes,,,51.0
636,1997,Total barley,000 Hectares,189.8,,
637,1997,Total barley,000 Tonnes,,1087.2,
638,1997,Total barley,Tonnes,,,5.7
639,1997,Total oats,000 Hectares,20.6,,
640,1997,Total oats,000 Tonnes,,131.6,
641,1997,Total oats,Tonnes,,,6.4
642,1997,Total wheat,000 Hectares,93.9,,
643,1997,Total wheat,000 Tonnes,,724.5,
644,1997,Total wheat,Tonnes,,,7.7
645,1997,"Total wheat, oats and barley",000 Hectares,304.3,,
646,1997,"Total wheat, oats and barley",000 Tonnes,,1943.4,
647,1997,"Total wheat, oats and barley",Tonnes,,,6.4
648,1997,Turnips,000 Hectares,5.2,,
649,1997,Turnips,000 Tonnes,,284.7,
650,1997,Turnips,Tonnes,,,55.0
651,1997,Winter barley,000 Hectares,41.1,,
652,1997,Winter barley,000 Tonnes,,287.4,
653,1997,Winter barley,Tonnes,,,7.0
654,1997,Winter oats,000 Hectares,11.2,,
655,1997,Winter oats,000 Tonnes,,83.4,
656,1997,Winter oats,Tonnes,,,7.4
657,1997,Winter wheat,000 Hectares,70.2,,
658,1997,Winter wheat,000 Tonnes,,563.3,
659,1997,Winter wheat,Tonnes,,,8.0
660,1998,Beans and peas,000 Hectares,6.5,,
661,1998,Beans and peas,000 Tonnes,,32.4,
662,1998,Beans and peas,Tonnes,,,5.0
663,1998,Fodder beet,000 Hectares,7.3,,
664,1998,Fodder beet,000 Tonnes,,475.2,
665,1998,Fodder beet,Tonnes,,,64.8
666,1998,Oilseed rape,000 Hectares,5.6,,
667,1998,Oilseed rape,000 Tonnes,,16.6,
668,1998,Oilseed rape,Tonnes,,,2.9
669,1998,Potatoes,000 Hectares,18.5,,
670,1998,Potatoes,000 Tonnes,,482.1,
671,1998,Potatoes,Tonnes,,,26.1
672,1998,Spring barley,000 Hectares,151.7,,
673,1998,Spring barley,000 Tonnes,,823.1,
674,1998,Spring barley,Tonnes,,,5.4
675,1998,Spring oats,000 Hectares,7.3,,
676,1998,Spring oats,000 Tonnes,,38.9,
677,1998,Spring oats,Tonnes,,,5.3
678,1998,Spring wheat,000 Hectares,18.4,,
679,1998,Spring wheat,000 Tonnes,,141.1,
680,1998,Spring wheat,Tonnes,,,7.7
681,1998,Sugar beet,000 Hectares,32.9,,
682,1998,Sugar beet,000 Tonnes,,1640.0,
683,1998,Sugar beet,Tonnes,,,49.8
684,1998,Total barley,000 Hectares,190.7,,
685,1998,Total barley,000 Tonnes,,1072.9,
686,1998,Total barley,Tonnes,,,5.6
687,1998,Total oats,000 Hectares,19.4,,
688,1998,Total oats,000 Tonnes,,119.1,
689,1998,Total oats,Tonnes,,,6.1
690,1998,Total wheat,000 Hectares,83.8,,
691,1998,Total wheat,000 Tonnes,,673.0,
692,1998,Total wheat,Tonnes,,,8.0
693,1998,"Total wheat, oats and barley",000 Hectares,294.0,,
694,1998,"Total wheat, oats and barley",000 Tonnes,,1865.0,
695,1998,"Total wheat, oats and barley",Tonnes,,,6.3
696,1998,Turnips,000 Hectares,4.6,,
697,1998,Turnips,000 Tonnes,,208.1,
698,1998,Turnips,Tonnes,,,45.3
699,1998,Winter barley,000 Hectares,39.0,,
700,1998,Winter barley,000 Tonnes,,249.9,
701,1998,Winter barley,Tonnes,,,6.4
702,1998,Winter oats,000 Hectares,12.1,,
703,1998,Winter oats,000 Tonnes,,80.2,
704,1998,Winter oats,Tonnes,,,6.6
705,1998,Winter wheat,000 Hectares,65.5,,
706,1998,Winter wheat,000 Tonnes,,531.9,
707,1998,Winter wheat,Tonnes,,,8.1
708,1999,Beans and peas,000 Hectares,4.1,,
709,1999,Beans and peas,000 Tonnes,,18.4,
710,1999,Beans and peas,Tonnes,,,4.5
711,1999,Fodder beet,000 Hectares,7.0,,
712,1999,Fodder beet,000 Tonnes,,494.8,
713,1999,Fodder beet,Tonnes,,,70.4
714,1999,Oilseed rape,000 Hectares,2.6,,
715,1999,Oilseed rape,000 Tonnes,,5.1,
716,1999,Oilseed rape,Tonnes,,,1.9
717,1999,Potatoes,000 Hectares,17.5,,
718,1999,Potatoes,000 Tonnes,,558.6,
719,1999,Potatoes,Tonnes,,,32.0
720,1999,Spring barley,000 Hectares,165.8,,
721,1999,Spring barley,000 Tonnes,,1077.0,
722,1999,Spring barley,Tonnes,,,6.5
723,1999,Spring oats,000 Hectares,12.5,,
724,1999,Spring oats,000 Tonnes,,76.2,
725,1999,Spring oats,Tonnes,,,6.1
726,1999,Spring wheat,000 Hectares,27.4,,
727,1999,Spring wheat,000 Tonnes,,215.3,
728,1999,Spring wheat,Tonnes,,,7.8
729,1999,Sugar beet,000 Hectares,33.8,,
730,1999,Sugar beet,000 Tonnes,,1712.1,
731,1999,Sugar beet,Tonnes,,,50.7
732,1999,Total barley,000 Hectares,192.0,,
733,1999,Total barley,000 Tonnes,,1277.5,
734,1999,Total barley,Tonnes,,,6.7
735,1999,Total oats,000 Hectares,20.2,,
736,1999,Total oats,000 Tonnes,,136.4,
737,1999,Total oats,Tonnes,,,6.7
738,1999,Total wheat,000 Hectares,68.1,,
739,1999,Total wheat,000 Tonnes,,597.4,
740,1999,Total wheat,Tonnes,,,8.8
741,1999,"Total wheat, oats and barley",000 Hectares,280.3,,
742,1999,"Total wheat, oats and barley",000 Tonnes,,2011.3,
743,1999,"Total wheat, oats and barley",Tonnes,,,7.2
744,1999,Turnips,000 Hectares,4.2,,
745,1999,Turnips,000 Tonnes,,176.6,
746,1999,Turnips,Tonnes,,,42.0
747,1999,Winter barley,000 Hectares,26.2,,
748,1999,Winter barley,000 Tonnes,,200.5,
749,1999,Winter barley,Tonnes,,,7.6
750,1999,Winter oats,000 Hectares,7.7,,
751,1999,Winter oats,000 Tonnes,,60.2,
752,1999,Winter oats,Tonnes,,,7.8
753,1999,Winter wheat,000 Hectares,40.6,,
754,1999,Winter wheat,000 Tonnes,,382.1,
755,1999,Winter wheat,Tonnes,,,9.4
756,2000,Beans and peas,000 Hectares,1.5,,
757,2000,Beans and peas,000 Tonnes,,7.7,
758,2000,Beans and peas,Tonnes,,,5.1
759,2000,Fodder beet,000 Hectares,5.1,,
760,2000,Fodder beet,000 Tonnes,,361.3,
761,2000,Fodder beet,Tonnes,,,70.3
762,2000,Oilseed rape,000 Hectares,2.7,,
763,2000,Oilseed rape,000 Tonnes,,8.6,
764,2000,Oilseed rape,Tonnes,,,3.2
765,2000,Potatoes,000 Hectares,13.5,,
766,2000,Potatoes,000 Tonnes,,454.8,
767,2000,Potatoes,Tonnes,,,33.6
768,2000,Spring barley,000 Hectares,158.2,,
769,2000,Spring barley,000 Tonnes,,1107.3,
770,2000,Spring barley,Tonnes,,,7.0
771,2000,Spring oats,000 Hectares,7.2,,
772,2000,Spring oats,000 Tonnes,,46.8,
773,2000,Spring oats,Tonnes,,,6.5
774,2000,Spring wheat,000 Hectares,19.1,,
775,2000,Spring wheat,000 Tonnes,,155.1,
776,2000,Spring wheat,Tonnes,,,8.1
777,2000,Sugar beet,000 Hectares,32.2,,
778,2000,Sugar beet,000 Tonnes,,1829.0,
779,2000,Sugar beet,Tonnes,,,56.8
780,2000,Total barley,000 Hectares,182.3,,
781,2000,Total barley,000 Tonnes,,1309.9,
782,2000,Total barley,Tonnes,,,7.2
783,2000,Total oats,000 Hectares,16.8,,
784,2000,Total oats,000 Tonnes,,126.6,
785,2000,Total oats,Tonnes,,,7.5
786,2000,Total wheat,000 Hectares,78.0,,
787,2000,Total wheat,000 Tonnes,,737.4,
788,2000,Total wheat,Tonnes,,,9.5
789,2000,"Total wheat, oats and barley",000 Hectares,277.1,,
790,2000,"Total wheat, oats and barley",000 Tonnes,,2173.9,
791,2000,"Total wheat, oats and barley",Tonnes,,,7.8
792,2000,Turnips,000 Hectares,2.1,,
793,2000,Turnips,000 Tonnes,,124.0,
794,2000,Turnips,Tonnes,,,60.0
795,2000,Winter barley,000 Hectares,24.1,,
796,2000,Winter barley,000 Tonnes,,202.6,
797,2000,Winter barley,Tonnes,,,8.4
798,2000,Winter oats,000 Hectares,9.6,,
799,2000,Winter oats,000 Tonnes,,79.8,
800,2000,Winter oats,Tonnes,,,8.3
801,2000,Winter wheat,000 Hectares,58.8,,
802,2000,Winter wheat,000 Tonnes,,582.3,
803,2000,Winter wheat,Tonnes,,,9.9
804,2001,Beans and peas,000 Hectares,1.9,,
805,2001,Beans and peas,000 Tonnes,,8.9,
806,2001,Beans and peas,Tonnes,,,4.7
807,2001,Fodder beet,000 Hectares,4.3,,
808,2001,Fodder beet,000 Tonnes,,278.7,
809,2001,Fodder beet,Tonnes,,,65.5
810,2001,Oilseed rape,000 Hectares,2.4,,
811,2001,Oilseed rape,000 Tonnes,,7.3,
812,2001,Oilseed rape,Tonnes,,,3.0
813,2001,Potatoes,000 Hectares,14.3,,
814,2001,Potatoes,000 Tonnes,,477.6,
815,2001,Potatoes,Tonnes,,,33.5
816,2001,Spring barley,000 Hectares,162.4,,
817,2001,Spring barley,000 Tonnes,,1120.5,
818,2001,Spring barley,Tonnes,,,6.9
819,2001,Spring oats,000 Hectares,11.1,,
820,2001,Spring oats,000 Tonnes,,73.4,
821,2001,Spring oats,Tonnes,,,6.6
822,2001,Spring wheat,000 Hectares,35.0,,
823,2001,Spring wheat,000 Tonnes,,280.0,
824,2001,Spring wheat,Tonnes,,,8.0
825,2001,Sugar beet,000 Hectares,31.1,,
826,2001,Sugar beet,000 Tonnes,,1498.0,
827,2001,Sugar beet,Tonnes,,,48.2
828,2001,Total barley,000 Hectares,182.0,,
829,2001,Total barley,000 Tonnes,,1277.2,
830,2001,Total barley,Tonnes,,,7.0
831,2001,Total oats,000 Hectares,16.8,,
832,2001,Total oats,000 Tonnes,,118.7,
833,2001,Total oats,Tonnes,,,7.1
834,2001,Total wheat,000 Hectares,84.9,,
835,2001,Total wheat,000 Tonnes,,769.2,
836,2001,Total wheat,Tonnes,,,9.1
837,2001,"Total wheat, oats and barley",000 Hectares,283.7,,
838,2001,"Total wheat, oats and barley",000 Tonnes,,2165.1,
839,2001,"Total wheat, oats and barley",Tonnes,,,7.6
840,2001,Turnips,000 Hectares,1.8,,
841,2001,Turnips,000 Tonnes,,99.9,
842,2001,Turnips,Tonnes,,,54.4
843,2001,Winter barley,000 Hectares,19.6,,
844,2001,Winter barley,000 Tonnes,,156.7,
845,2001,Winter barley,Tonnes,,,8.0
846,2001,Winter oats,000 Hectares,5.7,,
847,2001,Winter oats,000 Tonnes,,45.2,
848,2001,Winter oats,Tonnes,,,8.0
849,2001,Winter wheat,000 Hectares,49.9,,
850,2001,Winter wheat,000 Tonnes,,489.2,
851,2001,Winter wheat,Tonnes,,,9.8
852,2002,Beans and peas,000 Hectares,1.7,,
853,2002,Beans and peas,000 Tonnes,,7.5,
854,2002,Beans and peas,Tonnes,,,4.5
855,2002,Fodder beet,000 Hectares,4.1,,
856,2002,Fodder beet,000 Tonnes,,249.5,
857,2002,Fodder beet,Tonnes,,,60.9
858,2002,Oilseed rape,000 Hectares,2.2,,
859,2002,Oilseed rape,000 Tonnes,,6.7,
860,2002,Oilseed rape,Tonnes,,,3.1
861,2002,Potatoes,000 Hectares,15.4,,
862,2002,Potatoes,000 Tonnes,,518.6,
863,2002,Potatoes,Tonnes,,,33.7
864,2002,Spring barley,000 Hectares,152.8,,
865,2002,Spring barley,000 Tonnes,,810.0,
866,2002,Spring barley,Tonnes,,,5.3
867,2002,Spring oats,000 Hectares,7.0,,
868,2002,Spring oats,000 Tonnes,,41.5,
869,2002,Spring oats,Tonnes,,,5.9
870,2002,Spring wheat,000 Hectares,22.7,,
871,2002,Spring wheat,000 Tonnes,,163.6,
872,2002,Spring wheat,Tonnes,,,7.2
873,2002,Sugar beet,000 Hectares,31.3,,
874,2002,Sugar beet,000 Tonnes,,1300.7,
875,2002,Sugar beet,Tonnes,,,41.6
876,2002,Total barley,000 Hectares,176.0,,
877,2002,Total barley,000 Tonnes,,962.8,
878,2002,Total barley,Tonnes,,,5.5
879,2002,Total oats,000 Hectares,18.8,,
880,2002,Total oats,000 Tonnes,,133.6,
881,2002,Total oats,Tonnes,,,7.1
882,2002,Total wheat,000 Hectares,102.7,,
883,2002,Total wheat,000 Tonnes,,867.2,
884,2002,Total wheat,Tonnes,,,8.4
885,2002,"Total wheat, oats and barley",000 Hectares,297.5,,
886,2002,"Total wheat, oats and barley",000 Tonnes,,1963.6,
887,2002,"Total wheat, oats and barley",Tonnes,,,6.6
888,2002,Turnips,000 Hectares,1.6,,
889,2002,Turnips,000 Tonnes,,89.7,
890,2002,Turnips,Tonnes,,,54.4
891,2002,Winter barley,000 Hectares,23.2,,
892,2002,Winter barley,000 Tonnes,,152.8,
893,2002,Winter barley,Tonnes,,,6.6
894,2002,Winter oats,000 Hectares,11.8,,
895,2002,Winter oats,000 Tonnes,,92.1,
896,2002,Winter oats,Tonnes,,,7.8
897,2002,Winter wheat,000 Hectares,80.0,,
898,2002,Winter wheat,000 Tonnes,,703.6,
899,2002,Winter wheat,Tonnes,,,8.8
900,2003,Beans and peas,000 Hectares,2.9,,
901,2003,Beans and peas,000 Tonnes,,13.7,
902,2003,Beans and peas,Tonnes,,,4.8
903,2003,Oilseed rape,000 Hectares,2.3,,
904,2003,Oilseed rape,000 Tonnes,,7.2,
905,2003,Oilseed rape,Tonnes,,,3.1
906,2003,Potatoes,000 Hectares,14.2,,
907,2003,Potatoes,000 Tonnes,,488.2,
908,2003,Potatoes,Tonnes,,,34.5
909,2003,Spring barley,000 Hectares,163.3,,
910,2003,Spring barley,000 Tonnes,,1044.9,
911,2003,Spring barley,Tonnes,,,6.4
912,2003,Spring oats,000 Hectares,11.6,,
913,2003,Spring oats,000 Tonnes,,79.2,
914,2003,Spring oats,Tonnes,,,6.8
915,2003,Spring wheat,000 Hectares,35.2,,
916,2003,Spring wheat,000 Tonnes,,267.2,
917,2003,Spring wheat,Tonnes,,,7.6
918,2003,Sugar beet,000 Hectares,31.5,,
919,2003,Sugar beet,000 Tonnes,,1505.2,
920,2003,Sugar beet,Tonnes,,,47.7
921,2003,Total barley,000 Hectares,183.1,,
922,2003,Total barley,000 Tonnes,,1197.7,
923,2003,Total barley,Tonnes,,,6.5
924,2003,Total oats,000 Hectares,21.0,,
925,2003,Total oats,000 Tonnes,,155.1,
926,2003,Total oats,Tonnes,,,7.4
927,2003,Total wheat,000 Hectares,95.7,,
928,2003,Total wheat,000 Tonnes,,794.1,
929,2003,Total wheat,Tonnes,,,8.3
930,2003,"Total wheat, oats and barley",000 Hectares,299.9,,
931,2003,"Total wheat, oats and barley",000 Tonnes,,2146.9,
932,2003,"Total wheat, oats and barley",Tonnes,,,7.2
933,2003,Winter barley,000 Hectares,19.8,,
934,2003,Winter barley,000 Tonnes,,152.8,
935,2003,Winter barley,Tonnes,,,7.7
936,2003,Winter oats,000 Hectares,9.4,,
937,2003,Winter oats,000 Tonnes,,75.9,
938,2003,Winter oats,Tonnes,,,8.1
939,2003,Winter wheat,000 Hectares,60.6,,
940,2003,Winter wheat,000 Tonnes,,526.9,
941,2003,Winter wheat,Tonnes,,,8.7
942,2004,Beans and peas,000 Hectares,2.7,,
943,2004,Beans and peas,000 Tonnes,,14.4,
944,2004,Beans and peas,Tonnes,,,5.4
945,2004,Oilseed rape,000 Hectares,2.2,,
946,2004,Oilseed rape,000 Tonnes,,6.7,
947,2004,Oilseed rape,Tonnes,,,3.0
948,2004,Potatoes,000 Hectares,13.3,,
949,2004,Potatoes,000 Tonnes,,552.2,
950,2004,Potatoes,Tonnes,,,41.4
951,2004,Spring barley,000 Hectares,163.2,,
952,2004,Spring barley,000 Tonnes,,1158.5,
953,2004,Spring barley,Tonnes,,,7.1
954,2004,Spring oats,000 Hectares,7.0,,
955,2004,Spring oats,000 Tonnes,,47.9,
956,2004,Spring oats,Tonnes,,,6.8
957,2004,Spring wheat,000 Hectares,31.2,,
958,2004,Spring wheat,000 Tonnes,,268.6,
959,2004,Spring wheat,Tonnes,,,8.6
960,2004,Sugar beet,000 Hectares,31.1,,
961,2004,Sugar beet,000 Tonnes,,1861.4,
962,2004,Sugar beet,Tonnes,,,59.8
963,2004,Total barley,000 Hectares,183.7,,
964,2004,Total barley,000 Tonnes,,1326.6,
965,2004,Total barley,Tonnes,,,7.3
966,2004,Total oats,000 Hectares,20.0,,
967,2004,Total oats,000 Tonnes,,155.2,
968,2004,Total oats,Tonnes,,,7.8
969,2004,Total wheat,000 Hectares,102.7,,
970,2004,Total wheat,000 Tonnes,,1019.2,
971,2004,Total wheat,Tonnes,,,9.9
972,2004,"Total wheat, oats and barley",000 Hectares,306.4,,
973,2004,"Total wheat, oats and barley",000 Tonnes,,2500.9,
974,2004,"Total wheat, oats and barley",Tonnes,,,8.2
975,2004,Winter barley,000 Hectares,20.5,,
976,2004,Winter barley,000 Tonnes,,168.2,
977,2004,Winter barley,Tonnes,,,8.2
978,2004,Winter oats,000 Hectares,12.9,,
979,2004,Winter oats,000 Tonnes,,107.3,
980,2004,Winter oats,Tonnes,,,8.3
981,2004,Winter wheat,000 Hectares,71.5,,
982,2004,Winter wheat,000 Tonnes,,750.6,
983,2004,Winter wheat,Tonnes,,,10.5
984,2005,Beans and peas,000 Hectares,3.7,,
985,2005,Beans and peas,000 Tonnes,,18.9,
986,2005,Beans and peas,Tonnes,,,5.1
987,2005,Oilseed rape,000 Hectares,3.7,,
988,2005,Oilseed rape,000 Tonnes,,14.2,
989,2005,Oilseed rape,Tonnes,,,3.8
990,2005,Potatoes,000 Hectares,11.8,,
991,2005,Potatoes,000 Tonnes,,409.2,
992,2005,Potatoes,Tonnes,,,34.7
993,2005,Spring barley,000 Hectares,147.4,,
994,2005,Spring barley,000 Tonnes,,899.2,
995,2005,Spring barley,Tonnes,,,6.1
996,2005,Spring oats,000 Hectares,8.2,,
997,2005,Spring oats,000 Tonnes,,49.8,
998,2005,Spring oats,Tonnes,,,6.1
999,2005,Spring wheat,000 Hectares,30.2,,
1000,2005,Spring wheat,000 Tonnes,,229.7,
1001,2005,Spring wheat,Tonnes,,,7.6
1002,2005,Sugar beet,000 Hectares,31.0,,
1003,2005,Sugar beet,000 Tonnes,,1380.0,
1004,2005,Sugar beet,Tonnes,,,44.5
1005,2005,Total barley,000 Hectares,164.4,,
1006,2005,Total barley,000 Tonnes,,1024.4,
1007,2005,Total barley,Tonnes,,,6.2
1008,2005,Total oats,000 Hectares,16.8,,
1009,2005,Total oats,000 Tonnes,,112.8,
1010,2005,Total oats,Tonnes,,,6.7
1011,2005,Total wheat,000 Hectares,95.2,,
1012,2005,Total wheat,000 Tonnes,,802.7,
1013,2005,Total wheat,Tonnes,,,8.4
1014,2005,"Total wheat, oats and barley",000 Hectares,276.5,,
1015,2005,"Total wheat, oats and barley",000 Tonnes,,1938.0,
1016,2005,"Total wheat, oats and barley",Tonnes,,,7.0
1017,2005,Winter barley,000 Hectares,17.0,,
1018,2005,Winter barley,000 Tonnes,,126.0,
1019,2005,Winter barley,Tonnes,,,7.4
1020,2005,Winter oats,000 Hectares,8.6,,
1021,2005,Winter oats,000 Tonnes,,63.1,
1022,2005,Winter oats,Tonnes,,,7.3
1023,2005,Winter wheat,000 Hectares,65.0,,
1024,2005,Winter wheat,000 Tonnes,,572.0,
1025,2005,Winter wheat,Tonnes,,,8.8
1026,2006,Beans and peas,000 Hectares,4.3,,
1027,2006,Beans and peas,000 Tonnes,,20.0,
1028,2006,Beans and peas,Tonnes,,,4.7
1029,2006,Oilseed rape,000 Hectares,5.1,,
1030,2006,Oilseed rape,000 Tonnes,,17.9,
1031,2006,Oilseed rape,Tonnes,,,3.5
1032,2006,Potatoes,000 Hectares,11.5,,
1033,2006,Potatoes,000 Tonnes,,382.9,
1034,2006,Potatoes,Tonnes,,,33.4
1035,2006,Spring barley,000 Hectares,151.9,,
1036,2006,Spring barley,000 Tonnes,,1017.6,
1037,2006,Spring barley,Tonnes,,,6.7
1038,2006,Spring oats,000 Hectares,11.1,,
1039,2006,Spring oats,000 Tonnes,,71.0,
1040,2006,Spring oats,Tonnes,,,6.4
1041,2006,Spring wheat,000 Hectares,28.3,,
1042,2006,Spring wheat,000 Tonnes,,221.0,
1043,2006,Spring wheat,Tonnes,,,7.8
1044,2006,Total barley,000 Hectares,167.0,,
1045,2006,Total barley,000 Tonnes,,1136.9,
1046,2006,Total barley,Tonnes,,,6.8
1047,2006,Total oats,000 Hectares,20.4,,
1048,2006,Total oats,000 Tonnes,,145.2,
1049,2006,Total oats,Tonnes,,,7.0
1050,2006,Total wheat,000 Hectares,87.5,,
1051,2006,Total wheat,000 Tonnes,,801.0,
1052,2006,Total wheat,Tonnes,,,9.2
1053,2006,"Total wheat, oats and barley",000 Hectares,274.9,,
1054,2006,"Total wheat, oats and barley",000 Tonnes,,2083.1,
1055,2006,"Total wheat, oats and barley",Tonnes,,,7.6
1056,2006,Winter barley,000 Hectares,15.1,,
1057,2006,Winter barley,000 Tonnes,,119.3,
1058,2006,Winter barley,Tonnes,,,7.9
1059,2006,Winter oats,000 Hectares,9.3,,
1060,2006,Winter oats,000 Tonnes,,74.2,
1061,2006,Winter oats,Tonnes,,,8.0
1062,2006,Winter wheat,000 Hectares,59.2,,
1063,2006,Winter wheat,000 Tonnes,,580.0,
1064,2006,Winter wheat,Tonnes,,,9.8
1065,2007,Beans and peas,000 Hectares,2.9,,
1066,2007,Beans and peas,000 Tonnes,,12.8,
1067,2007,Beans and peas,Tonnes,,,4.4
1068,2007,Oilseed rape,000 Hectares,8.2,,
1069,2007,Oilseed rape,000 Tonnes,,31.9,
1070,2007,Oilseed rape,Tonnes,,,3.9
1071,2007,Potatoes,000 Hectares,11.7,,
1072,2007,Potatoes,000 Tonnes,,399.0,
1073,2007,Potatoes,Tonnes,,,34.0
1074,2007,Spring barley,000 Hectares,148.8,,
1075,2007,Spring barley,000 Tonnes,,982.2,
1076,2007,Spring barley,Tonnes,,,6.6
1077,2007,Spring oats,000 Hectares,7.8,,
1078,2007,Spring oats,000 Tonnes,,49.8,
1079,2007,Spring oats,Tonnes,,,6.4
1080,2007,Spring wheat,000 Hectares,19.6,,
1081,2007,Spring wheat,000 Tonnes,,150.9,
1082,2007,Spring wheat,Tonnes,,,7.7
1083,2007,Total barley,000 Hectares,167.5,,
1084,2007,Total barley,000 Tonnes,,1124.5,
1085,2007,Total barley,Tonnes,,,6.7
1086,2007,Total oats,000 Hectares,21.3,,
1087,2007,Total oats,000 Tonnes,,159.1,
1088,2007,Total oats,Tonnes,,,7.5
1089,2007,Total wheat,000 Hectares,84.3,,
1090,2007,Total wheat,000 Tonnes,,713.4,
1091,2007,Total wheat,Tonnes,,,8.5
1092,2007,"Total wheat, oats and barley",000 Hectares,273.1,,
1093,2007,"Total wheat, oats and barley",000 Tonnes,,1997.0,
1094,2007,"Total wheat, oats and barley",Tonnes,,,7.3
1095,2007,Winter barley,000 Hectares,18.7,,
1096,2007,Winter barley,000 Tonnes,,142.4,
1097,2007,Winter barley,Tonnes,,,7.6
1098,2007,Winter oats,000 Hectares,13.5,,
1099,2007,Winter oats,000 Tonnes,,109.3,
1100,2007,Winter oats,Tonnes,,,8.1
1101,2007,Winter wheat,000 Hectares,64.7,,
1102,2007,Winter wheat,000 Tonnes,,562.5,
1103,2007,Winter wheat,Tonnes,,,8.7
