sagecode,item,domsupply,foodsupply,feedsupply,otherutil,foodfraction,feedfraction,otherutilfraction
SYC,Apples,857.1428571,857.1428571,0,0,1,0,0
SVK,Apples,89714.28571,80285.71429,0,9428.571429,0.894904459,0,0.105095541
SVN,Apples,102285.7143,83714.28571,0,18571.42857,0.818435754,0,0.181564246
ZAF,Apples,252000,222428.5714,0,29571.42857,0.882653061,0,0.117346939
ESP,Apples,893714.2857,767224.6661,19346.76251,107142.8571,0.858467497,0.021647592,0.11988491
LKA,Apples,14285.71429,14285.71429,0,0,1,0,0
SDN,Apples,285.7142857,285.7142857,0,0,1,0,0
SWZ,Apples,3000,3000,0,0,1,0,0
SWE,Apples,191857.1429,181428.5714,0,10428.57143,0.94564408,0,0.05435592
CHE,Apples,168285.7143,162142.8571,0,6142.857143,0.963497453,0,0.036502547
SYR,Apples,281285.7143,251571.4286,0,29714.28571,0.894362621,0,0.105637379
TJK,Apples,17142.85714,14857.14286,1571.428571,714.2857143,0.866666667,0.091666667,0.041666667
THA,Apples,49428.57143,49000,0,428.5714286,0.99132948,0,0.00867052
MKD,Apples,43000,36571.42857,0,6428.571429,0.850498339,0,0.149501661
TGO,Apples,142.8571429,142.8571429,0,0,1,0,0
TRI,Apples,7428.571429,7428.571429,0,0,1,0,0
TUN,Apples,97714.28571,88000,0,9714.285714,0.900584795,0,0.099415205
TUR,Apples,2236714.286,2065000,0,171714.2857,0.923229227,0,0.076770773
TKM,Apples,48714.28571,34000,11000,3714.285714,0.697947214,0.225806452,0.076246334
UKR,Apples,730142.8571,657589.8086,59838.76283,12714.28571,0.900631708,0.08195487,0.017413422
ARE,Apples,78000,58428.57143,0,19571.42857,0.749084249,0,0.250915751
GBR,Apples,1089285.714,1070285.714,0,19000,0.982557377,0,0.017442623
TZA,Apples,714.2857143,714.2857143,0,0,1,0,0
USA,Apples,6197571.429,5964000,0,233571.4286,0.962312427,0,0.037687573
URY,Apples,58857.14286,52571.42857,0,6285.714286,0.893203883,0,0.106796117
UZB,Apples,351285.7143,319000,27000,5285.714286,0.908092721,0.076860512,0.015046767
VEN,Apples,37571.42857,33857.14286,0,3714.285714,0.901140684,0,0.098859316
VNM,Apples,38142.85714,37142.85714,0,1000,0.973782772,0,0.026217228
YEM,Apples,4857.142857,4714.285714,0,142.8571429,0.970588235,0,0.029411765
ZMB,Apples,2142.857143,2142.857143,0,0,1,0,0
ZWE,Apples,11428.57143,10857.14286,0,571.4285714,0.95,0,0.05
ALB,Bananas,12142.85714,12142.85714,0,0,1,0,0
DZA,Bananas,77857.14286,70142.85714,0,7714.285714,0.900917431,0,0.099082569
AGO,Bananas,300285.7143,255142.8571,0,45142.85714,0.849666984,0,0.150333016
ATG,Bananas,857.1428571,857.1428571,0,0,1,0,0
ARG,Bananas,456285.7143,424285.7143,0,32000,0.929868503,0,0.070131497
ARM,Bananas,1571.428571,1571.428571,0,0,1,0,0
AUS,Bananas,261285.7143,256142.8571,0,5142.857143,0.980317113,0,0.019682887
AUT,Bananas,81285.71429,76857.14286,0,4428.571429,0.945518453,0,0.054481547
AZE,Bananas,2714.285714,2714.285714,0,0,1,0,0
BHA,Bananas,3857.142857,3142.857143,0,714.2857143,0.814814815,0,0.185185185
BGD,Bananas,614000,552714.2857,0,61285.71429,0.900186133,0,0.099813867
BAR,Bananas,2714.285714,2000,0,714.2857143,0.736842105,0,0.263157895
BLR,Bananas,22000,21714.28571,0,285.7142857,0.987012987,0,0.012987013
BEL,Bananas,13000,4428.571429,0,8571.428571,0.340659341,0,0.659340659
BZE,Bananas,4000,2000,0,2000,0.5,0,0.5
BEN,Bananas,13142.85714,12142.85714,0,1000,0.923913043,0,0.076086957
BMU,Bananas,1428.571429,1428.571429,0,0,1,0,0
BOL,Bananas,149000,113571.4286,11142.85714,24285.71429,0.762224353,0.074784276,0.162991371
BIH,Bananas,6428.571429,5857.142857,0,571.4285714,0.911111111,0,0.088888889
BWA,Bananas,7571.428571,7571.428571,0,0,1,0,0
BRA,Bananas,5778000,4893428.571,0,884571.4286,0.846906987,0,0.153093013
BRN,Bananas,857.1428571,857.1428571,0,0,1,0,0
BGR,Bananas,31571.42857,30000,0,1571.428571,0.950226244,0,0.049773756
BFA,Bananas,3142.857143,3142.857143,0,0,1,0,0
BDI,Bananas,1531000,1485285.714,0,45714.28571,0.970140898,0,0.029859102
KHM,Bananas,146142.8571,139142.8571,0,7000,0.952101662,0,0.047898338
CMR,Bananas,474714.2857,426142.8571,0,48571.42857,0.897682817,0,0.102317183
CAN,Bananas,413428.5714,405428.5714,0,8000,0.98064962,0,0.01935038
CPV,Bananas,6000,5000,0,1000,0.833333333,0,0.166666667
CAF,Bananas,114857.1429,103142.8571,0,11714.28571,0.89800995,0,0.10199005
CHL,Bananas,151714.2857,142428.5714,0,9285.714286,0.938794727,0,0.061205273
CHN,Bananas,5286285.714,4760857.143,0,525428.5714,0.90060534,0,0.09939466
COL,Bananas,124714.2857,92285.71429,0,32428.57143,0.73997709,0,0.26002291
COM,Bananas,59000,56000,0,3000,0.949152542,0,0.050847458
COG,Bananas,73714.28571,66428.57143,0,7285.714286,0.901162791,0,0.098837209
COS,Bananas,124000,1142.857143,61428.57143,61428.57143,0.00921659,0.495391705,0.495391705
HRV,Bananas,46571.42857,44285.71429,0,2285.714286,0.950920245,0,0.049079755
CUB,Bananas,235000,178428.5714,21285.71429,35285.71429,0.759270517,0.090577508,0.150151976
CYP,Bananas,11000,9714.285714,0,1285.714286,0.883116883,0,0.116883117
CZE,Bananas,111571.4286,100285.7143,0,11285.71429,0.898847631,0,0.101152369
CIV,Bananas,61000,16571.42857,0,44428.57143,0.271662763,0,0.728337237
