"Statistic","Month","Meteorological Weather Station","UNIT","VALUE"
"Average Maximum Temperature","1958M08","Roches Point","Degrees C","17.6"
"Average Maximum Temperature","1958M08","Rosslare","Degrees C","17.7"
"Average Maximum Temperature","1958M08","Shannon airport","Degrees C","18.6"
"Average Maximum Temperature","1958M09","Belmullet","Degrees C","17.6"
"Average Maximum Temperature","1958M09","Birr","Degrees C","18"
"Average Maximum Temperature","1958M09","Valentia Observatory","Degrees C","17.9"
"Average Maximum Temperature","1958M09","Casement","Degrees C",""
"Average Maximum Temperature","1958M09","Claremorris","Degrees C","17.3"
"Average Maximum Temperature","1958M09","Clones","Degrees C","17.7"
"Average Maximum Temperature","1958M09","Cork airport","Degrees C",""
"Average Maximum Temperature","1958M09","Dublin airport","Degrees C","17.4"
"Average Maximum Temperature","1958M09","Galway","Degrees C",""
"Average Maximum Temperature","1958M09","Kilkenny","Degrees C","18.1"
"Average Maximum Temperature","1958M09","Malin head","Degrees C","16.9"
"Average Maximum Temperature","1958M09","Mullingar","Degrees C","17.7"
"Average Maximum Temperature","1958M09","Roches Point","Degrees C","16.9"
"Average Maximum Temperature","1958M09","Rosslare","Degrees C","17.2"
"Average Maximum Temperature","1958M09","Shannon airport","Degrees C","18.1"
"Average Maximum Temperature","1958M10","Belmullet","Degrees C","13.6"
"Average Maximum Temperature","1958M10","Birr","Degrees C","13.9"
"Average Maximum Temperature","1958M10","Valentia Observatory","Degrees C","14"
"Average Maximum Temperature","1958M10","Casement","Degrees C",""
"Average Maximum Temperature","1958M10","Claremorris","Degrees C","13.4"
"Average Maximum Temperature","1958M10","Clones","Degrees C","13.2"
"Average Maximum Temperature","1958M10","Cork airport","Degrees C",""
"Average Maximum Temperature","1958M10","Dublin airport","Degrees C","13.7"
"Average Maximum Temperature","1958M10","Galway","Degrees C",""
"Average Maximum Temperature","1958M10","Kilkenny","Degrees C","14.3"
"Average Maximum Temperature","1958M10","Malin head","Degrees C","13.2"
"Average Maximum Temperature","1958M10","Mullingar","Degrees C","13.6"
"Average Maximum Temperature","1958M10","Roches Point","Degrees C","14.4"
"Average Maximum Temperature","1958M10","Rosslare","Degrees C","14.4"
"Average Maximum Temperature","1958M10","Shannon airport","Degrees C","14.3"
"Average Maximum Temperature","1958M11","Belmullet","Degrees C","11.4"
"Average Maximum Temperature","1958M11","Birr","Degrees C","10.9"
"Average Maximum Temperature","1958M11","Valentia Observatory","Degrees C","12.4"
