Statistic,Month,Meteorological Weather Station,UNIT,VALUE
Total Sunshine Hours,1958M11,Casement,Number,
Total Sunshine Hours,1958M11,Claremorris,Number,36.7
Total Sunshine Hours,1958M11,Clones,Number,40.6
Total Sunshine Hours,1958M11,Cork airport,Number,
Total Sunshine Hours,1958M11,Dublin airport,Number,55.4
Total Sunshine Hours,1958M11,Galway,Number,
Total Sunshine Hours,1958M11,Kilkenny,Number,46.8
Total Sunshine Hours,1958M11,Malin head,Number,54.0
Total Sunshine Hours,1958M11,Mullingar,Number,43.3
Total Sunshine Hours,1958M11,Roches Point,Number,40.5
Total Sunshine Hours,1958M11,Rosslare,Number,64.3
Total Sunshine Hours,1958M11,Shannon airport,Number,41.7
Total Sunshine Hours,1958M12,Belmullet,Number,44.9
Total Sunshine Hours,1958M12,Birr,Number,40.8
Total Sunshine Hours,1958M12,Valentia Observatory,Number,51.6
Total Sunshine Hours,1958M12,Casement,Number,
Total Sunshine Hours,1958M12,Claremorris,Number,33.2
Total Sunshine Hours,1958M12,Clones,Number,34.1
Total Sunshine Hours,1958M12,Cork airport,Number,
Total Sunshine Hours,1958M12,Dublin airport,Number,51.2
Total Sunshine Hours,1958M12,Galway,Number,
Total Sunshine Hours,1958M12,Kilkenny,Number,38.8
Total Sunshine Hours,1958M12,Malin head,Number,37.7
Total Sunshine Hours,1958M12,Mullingar,Number,52.1
Total Sunshine Hours,1958M12,Roches Point,Number,51.1
Total Sunshine Hours,1958M12,Rosslare,Number,47.9
Total Sunshine Hours,1958M12,Shannon airport,Number,38.0
Total Sunshine Hours,1959M01,Belmullet,Number,75.2
Total Sunshine Hours,1959M01,Birr,Number,77.9
Total Sunshine Hours,1959M01,Valentia Observatory,Number,71.9
Total Sunshine Hours,1959M01,Casement,Number,
Total Sunshine Hours,1959M01,Claremorris,Number,77.1
Total Sunshine Hours,1959M01,Clones,Number,90.2
Total Sunshine Hours,1959M01,Cork airport,Number,
Total Sunshine Hours,1959M01,Dublin airport,Number,99.3
Total Sunshine Hours,1959M01,Galway,Number,
Total Sunshine Hours,1959M01,Kilkenny,Number,77.4
Total Sunshine Hours,1959M01,Malin head,Number,81.3
Total Sunshine Hours,1959M01,Mullingar,Number,96.0
Total Sunshine Hours,1959M01,Roches Point,Number,77.5
Total Sunshine Hours,1959M01,Rosslare,Number,101.0
Total Sunshine Hours,1959M01,Shannon airport,Number,73.1
Total Sunshine Hours,1959M02,Belmullet,Number,70.7
Total Sunshine Hours,1959M02,Birr,Number,71.9
Total Sunshine Hours,1959M02,Valentia Observatory,Number,64.6
Total Sunshine Hours,1959M02,Casement,Number,
Total Sunshine Hours,1959M02,Claremorris,Number,52.1
Total Sunshine Hours,1959M02,Clones,Number,40.8
Total Sunshine Hours,1959M02,Cork airport,Number,
Total Sunshine Hours,1959M02,Dublin airport,Number,69.2
Total Sunshine Hours,1959M02,Galway,Number,
Total Sunshine Hours,1959M02,Kilkenny,Number,67.3
Total Sunshine Hours,1959M02,Malin head,Number,71.4
Total Sunshine Hours,1959M02,Mullingar,Number,56.0
Total Sunshine Hours,1959M02,Roches Point,Number,54.8
Total Sunshine Hours,1959M02,Rosslare,Number,55.6
Total Sunshine Hours,1959M02,Shannon airport,Number,77.6
Total Sunshine Hours,1959M03,Belmullet,Number,138.1
Total Sunshine Hours,1959M03,Birr,Number,105.2
