,Statistic,Year,Type of Crop,UNIT,VALUE
879,Crop Yield,1990,Potatoes,000 Tonnes,605.0
880,Crop Yield,1990,Turnips,000 Tonnes,387.0
881,Crop Yield,1990,Sugar beet,000 Tonnes,1480.0
882,Crop Yield,1990,Fodder beet,000 Tonnes,553.0
883,Crop Yield,1990,Kale and field cabbage,000 Tonnes,99.0
884,Crop Yield,1991,"Total wheat, oats and barley",000 Tonnes,1965.0
885,Crop Yield,1991,Total wheat,000 Tonnes,673.6
886,Crop Yield,1991,Winter wheat,000 Tonnes,548.0
887,Crop Yield,1991,Spring wheat,000 Tonnes,125.0
888,Crop Yield,1991,Total oats,000 Tonnes,143.0
889,Crop Yield,1991,Winter oats,000 Tonnes,89.0
890,Crop Yield,1991,Spring oats,000 Tonnes,54.0
891,Crop Yield,1991,Total barley,000 Tonnes,1148.0
892,Crop Yield,1991,Winter barley,000 Tonnes,262.0
893,Crop Yield,1991,Spring barley,000 Tonnes,886.0
894,Crop Yield,1991,Beans and peas,000 Tonnes,13.0
895,Crop Yield,1991,Oilseed rape,000 Tonnes,23.0
896,Crop Yield,1991,Potatoes,000 Tonnes,571.0
897,Crop Yield,1991,Turnips,000 Tonnes,313.0
898,Crop Yield,1991,Sugar beet,000 Tonnes,1409.0
899,Crop Yield,1991,Fodder beet,000 Tonnes,695.0
900,Crop Yield,1991,Kale and field cabbage,000 Tonnes,60.0
901,Crop Yield,1992,"Total wheat, oats and barley",000 Tonnes,2018.0
902,Crop Yield,1992,Total wheat,000 Tonnes,714.0
903,Crop Yield,1992,Winter wheat,000 Tonnes,587.0
904,Crop Yield,1992,Spring wheat,000 Tonnes,127.0
905,Crop Yield,1992,Total oats,000 Tonnes,136.0
906,Crop Yield,1992,Winter oats,000 Tonnes,86.0
907,Crop Yield,1992,Spring oats,000 Tonnes,50.0
908,Crop Yield,1992,Total barley,000 Tonnes,1168.0
909,Crop Yield,1992,Winter barley,000 Tonnes,306.0
910,Crop Yield,1992,Spring barley,000 Tonnes,862.0
911,Crop Yield,1992,Beans and peas,000 Tonnes,13.0
912,Crop Yield,1992,Oilseed rape,000 Tonnes,18.0
913,Crop Yield,1992,Potatoes,000 Tonnes,638.0
914,Crop Yield,1992,Turnips,000 Tonnes,306.0
915,Crop Yield,1992,Sugar beet,000 Tonnes,1397.0
916,Crop Yield,1992,Fodder beet,000 Tonnes,780.0
917,Crop Yield,1992,Kale and field cabbage,000 Tonnes,91.0
918,Crop Yield,1993,"Total wheat, oats and barley",000 Tonnes,1626.0
919,Crop Yield,1993,Total wheat,000 Tonnes,539.0
920,Crop Yield,1993,Winter wheat,000 Tonnes,383.0
921,Crop Yield,1993,Spring wheat,000 Tonnes,155.0
922,Crop Yield,1993,Total oats,000 Tonnes,129.0
923,Crop Yield,1993,Winter oats,000 Tonnes,80.0
924,Crop Yield,1993,Spring oats,000 Tonnes,49.0
925,Crop Yield,1993,Total barley,000 Tonnes,958.0
926,Crop Yield,1993,Winter barley,000 Tonnes,242.0
927,Crop Yield,1993,Spring barley,000 Tonnes,716.0
928,Crop Yield,1993,Beans and peas,000 Tonnes,26.0
929,Crop Yield,1993,Oilseed rape,000 Tonnes,9.0
930,Crop Yield,1993,Potatoes,000 Tonnes,569.0
931,Crop Yield,1993,Turnips,000 Tonnes,271.0
932,Crop Yield,1993,Sugar beet,000 Tonnes,1117.0
933,Crop Yield,1993,Fodder beet,000 Tonnes,600.0
934,Crop Yield,1993,Kale and field cabbage,000 Tonnes,78.0
935,Crop Yield,1994,"Total wheat, oats and barley",000 Tonnes,1609.0
936,Crop Yield,1994,Total wheat,000 Tonnes,572.0
937,Crop Yield,1994,Winter wheat,000 Tonnes,458.0
938,Crop Yield,1994,Spring wheat,000 Tonnes,114.0
939,Crop Yield,1994,Total oats,000 Tonnes,128.0
940,Crop Yield,1994,Winter oats,000 Tonnes,92.0
941,Crop Yield,1994,Spring oats,000 Tonnes,36.0
942,Crop Yield,1994,Total barley,000 Tonnes,910.0
943,Crop Yield,1994,Winter barley,000 Tonnes,216.0
944,Crop Yield,1994,Spring barley,000 Tonnes,693.0
945,Crop Yield,1994,Beans and peas,000 Tonnes,25.0
946,Crop Yield,1994,Oilseed rape,000 Tonnes,17.0
947,Crop Yield,1994,Potatoes,000 Tonnes,642.0
948,Crop Yield,1994,Turnips,000 Tonnes,296.0
949,Crop Yield,1994,Sugar beet,000 Tonnes,1390.0
950,Crop Yield,1994,Fodder beet,000 Tonnes,579.0
951,Crop Yield,1994,Kale and field cabbage,000 Tonnes,81.0
952,Crop Yield,1995,"Total wheat, oats and barley",000 Tonnes,1796.0
953,Crop Yield,1995,Total wheat,000 Tonnes,583.0
954,Crop Yield,1995,Winter wheat,000 Tonnes,451.0
955,Crop Yield,1995,Spring wheat,000 Tonnes,132.0
956,Crop Yield,1995,Total oats,000 Tonnes,129.0
957,Crop Yield,1995,Winter oats,000 Tonnes,75.0
958,Crop Yield,1995,Spring oats,000 Tonnes,54.0
959,Crop Yield,1995,Total barley,000 Tonnes,1084.0
960,Crop Yield,1995,Winter barley,000 Tonnes,251.0
961,Crop Yield,1995,Spring barley,000 Tonnes,833.0
962,Crop Yield,1995,Beans and peas,000 Tonnes,19.0
963,Crop Yield,1995,Oilseed rape,000 Tonnes,13.0
964,Crop Yield,1995,Potatoes,000 Tonnes,618.0
965,Crop Yield,1995,Turnips,000 Tonnes,289.0
966,Crop Yield,1995,Sugar beet,000 Tonnes,1547.0
967,Crop Yield,1995,Fodder beet,000 Tonnes,596.0
968,Crop Yield,1995,Kale and field cabbage,000 Tonnes,57.0
969,Crop Yield,1996,"Total wheat, oats and barley",000 Tonnes,2142.0
970,Crop Yield,1996,Total wheat,000 Tonnes,771.2
971,Crop Yield,1996,Winter wheat,000 Tonnes,632.5
972,Crop Yield,1996,Spring wheat,000 Tonnes,138.7
973,Crop Yield,1996,Total oats,000 Tonnes,146.1
974,Crop Yield,1996,Winter oats,000 Tonnes,95.1
975,Crop Yield,1996,Spring oats,000 Tonnes,51.1
976,Crop Yield,1996,Total barley,000 Tonnes,1224.6
977,Crop Yield,1996,Winter barley,000 Tonnes,327.9
978,Crop Yield,1996,Spring barley,000 Tonnes,896.8
979,Crop Yield,1996,Beans and peas,000 Tonnes,21.5
980,Crop Yield,1996,Oilseed rape,000 Tonnes,10.1
981,Crop Yield,1996,Potatoes,000 Tonnes,733.3
982,Crop Yield,1996,Turnips,000 Tonnes,309.8
983,Crop Yield,1996,Sugar beet,000 Tonnes,1475.6
984,Crop Yield,1996,Fodder beet,000 Tonnes,726.3
985,Crop Yield,1996,Kale and field cabbage,000 Tonnes,63.7
986,Crop Yield,1997,"Total wheat, oats and barley",000 Tonnes,1943.4
987,Crop Yield,1997,Total wheat,000 Tonnes,724.5
988,Crop Yield,1997,Winter wheat,000 Tonnes,563.3
989,Crop Yield,1997,Spring wheat,000 Tonnes,161.2
990,Crop Yield,1997,Total oats,000 Tonnes,131.6
991,Crop Yield,1997,Winter oats,000 Tonnes,83.4
992,Crop Yield,1997,Spring oats,000 Tonnes,48.2
993,Crop Yield,1997,Total barley,000 Tonnes,1087.2
994,Crop Yield,1997,Winter barley,000 Tonnes,287.4
995,Crop Yield,1997,Spring barley,000 Tonnes,799.8
996,Crop Yield,1997,Beans and peas,000 Tonnes,19.4
997,Crop Yield,1997,Oilseed rape,000 Tonnes,12.0
998,Crop Yield,1997,Potatoes,000 Tonnes,471.9
999,Crop Yield,1997,Turnips,000 Tonnes,284.7
1000,Crop Yield,1997,Sugar beet,000 Tonnes,1648.2
1001,Crop Yield,1997,Fodder beet,000 Tonnes,603.5
1002,Crop Yield,1997,Kale and field cabbage,000 Tonnes,
1003,Crop Yield,1998,"Total wheat, oats and barley",000 Tonnes,1865.0
1004,Crop Yield,1998,Total wheat,000 Tonnes,673.0
1005,Crop Yield,1998,Winter wheat,000 Tonnes,531.9
1006,Crop Yield,1998,Spring wheat,000 Tonnes,141.1
1007,Crop Yield,1998,Total oats,000 Tonnes,119.1
1008,Crop Yield,1998,Winter oats,000 Tonnes,80.2
1009,Crop Yield,1998,Spring oats,000 Tonnes,38.9
1010,Crop Yield,1998,Total barley,000 Tonnes,1072.9
1011,Crop Yield,1998,Winter barley,000 Tonnes,249.9
1012,Crop Yield,1998,Spring barley,000 Tonnes,823.1
1013,Crop Yield,1998,Beans and peas,000 Tonnes,32.4
1014,Crop Yield,1998,Oilseed rape,000 Tonnes,16.6
1015,Crop Yield,1998,Potatoes,000 Tonnes,482.1
1016,Crop Yield,1998,Turnips,000 Tonnes,208.1
1017,Crop Yield,1998,Sugar beet,000 Tonnes,1640.0
1018,Crop Yield,1998,Fodder beet,000 Tonnes,475.2
1019,Crop Yield,1998,Kale and field cabbage,000 Tonnes,
1020,Crop Yield,1999,"Total wheat, oats and barley",000 Tonnes,2011.3
1021,Crop Yield,1999,Total wheat,000 Tonnes,597.4
1022,Crop Yield,1999,Winter wheat,000 Tonnes,382.1
1023,Crop Yield,1999,Spring wheat,000 Tonnes,215.3
1024,Crop Yield,1999,Total oats,000 Tonnes,136.4
1025,Crop Yield,1999,Winter oats,000 Tonnes,60.2
1026,Crop Yield,1999,Spring oats,000 Tonnes,76.2
1027,Crop Yield,1999,Total barley,000 Tonnes,1277.5
1028,Crop Yield,1999,Winter barley,000 Tonnes,200.5
1029,Crop Yield,1999,Spring barley,000 Tonnes,1077.0
1030,Crop Yield,1999,Beans and peas,000 Tonnes,18.4
1031,Crop Yield,1999,Oilseed rape,000 Tonnes,5.1
1032,Crop Yield,1999,Potatoes,000 Tonnes,558.6
1033,Crop Yield,1999,Turnips,000 Tonnes,176.6
1034,Crop Yield,1999,Sugar beet,000 Tonnes,1712.1
1035,Crop Yield,1999,Fodder beet,000 Tonnes,494.8
1036,Crop Yield,1999,Kale and field cabbage,000 Tonnes,
1037,Crop Yield,2000,"Total wheat, oats and barley",000 Tonnes,2173.9
1038,Crop Yield,2000,Total wheat,000 Tonnes,737.4
1039,Crop Yield,2000,Winter wheat,000 Tonnes,582.3
1040,Crop Yield,2000,Spring wheat,000 Tonnes,155.1
1041,Crop Yield,2000,Total oats,000 Tonnes,126.6
1042,Crop Yield,2000,Winter oats,000 Tonnes,79.8
1043,Crop Yield,2000,Spring oats,000 Tonnes,46.8
1044,Crop Yield,2000,Total barley,000 Tonnes,1309.9
1045,Crop Yield,2000,Winter barley,000 Tonnes,202.6
1046,Crop Yield,2000,Spring barley,000 Tonnes,1107.3
1047,Crop Yield,2000,Beans and peas,000 Tonnes,7.7
1048,Crop Yield,2000,Oilseed rape,000 Tonnes,8.6
1049,Crop Yield,2000,Potatoes,000 Tonnes,454.8
1050,Crop Yield,2000,Turnips,000 Tonnes,124.0
1051,Crop Yield,2000,Sugar beet,000 Tonnes,1829.0
1052,Crop Yield,2000,Fodder beet,000 Tonnes,361.3
1053,Crop Yield,2000,Kale and field cabbage,000 Tonnes,
1054,Crop Yield,2001,"Total wheat, oats and barley",000 Tonnes,2165.1
1055,Crop Yield,2001,Total wheat,000 Tonnes,769.2
1056,Crop Yield,2001,Winter wheat,000 Tonnes,489.2
1057,Crop Yield,2001,Spring wheat,000 Tonnes,280.0
1058,Crop Yield,2001,Total oats,000 Tonnes,118.7
1059,Crop Yield,2001,Winter oats,000 Tonnes,45.2
1060,Crop Yield,2001,Spring oats,000 Tonnes,73.4
1061,Crop Yield,2001,Total barley,000 Tonnes,1277.2
1062,Crop Yield,2001,Winter barley,000 Tonnes,156.7
1063,Crop Yield,2001,Spring barley,000 Tonnes,1120.5
1064,Crop Yield,2001,Beans and peas,000 Tonnes,8.9
1065,Crop Yield,2001,Oilseed rape,000 Tonnes,7.3
1066,Crop Yield,2001,Potatoes,000 Tonnes,477.6
1067,Crop Yield,2001,Turnips,000 Tonnes,99.9
1068,Crop Yield,2001,Sugar beet,000 Tonnes,1498.0
1069,Crop Yield,2001,Fodder beet,000 Tonnes,278.7
1070,Crop Yield,2001,Kale and field cabbage,000 Tonnes,
1071,Crop Yield,2002,"Total wheat, oats and barley",000 Tonnes,1963.6
1072,Crop Yield,2002,Total wheat,000 Tonnes,867.2
1073,Crop Yield,2002,Winter wheat,000 Tonnes,703.6
1074,Crop Yield,2002,Spring wheat,000 Tonnes,163.6
1075,Crop Yield,2002,Total oats,000 Tonnes,133.6
1076,Crop Yield,2002,Winter oats,000 Tonnes,92.1
1077,Crop Yield,2002,Spring oats,000 Tonnes,41.5
1078,Crop Yield,2002,Total barley,000 Tonnes,962.8
1079,Crop Yield,2002,Winter barley,000 Tonnes,152.8
1080,Crop Yield,2002,Spring barley,000 Tonnes,810.0
1081,Crop Yield,2002,Beans and peas,000 Tonnes,7.5
1082,Crop Yield,2002,Oilseed rape,000 Tonnes,6.7
1083,Crop Yield,2002,Potatoes,000 Tonnes,518.6
1084,Crop Yield,2002,Turnips,000 Tonnes,89.7
1085,Crop Yield,2002,Sugar beet,000 Tonnes,1300.7
1086,Crop Yield,2002,Fodder beet,000 Tonnes,249.5
1087,Crop Yield,2002,Kale and field cabbage,000 Tonnes,
1088,Crop Yield,2003,"Total wheat, oats and barley",000 Tonnes,2146.9
1089,Crop Yield,2003,Total wheat,000 Tonnes,794.1
1090,Crop Yield,2003,Winter wheat,000 Tonnes,526.9
1091,Crop Yield,2003,Spring wheat,000 Tonnes,267.2
1092,Crop Yield,2003,Total oats,000 Tonnes,155.1
1093,Crop Yield,2003,Winter oats,000 Tonnes,75.9
1094,Crop Yield,2003,Spring oats,000 Tonnes,79.2
1095,Crop Yield,2003,Total barley,000 Tonnes,1197.7
1096,Crop Yield,2003,Winter barley,000 Tonnes,152.8
1097,Crop Yield,2003,Spring barley,000 Tonnes,1044.9
1098,Crop Yield,2003,Beans and peas,000 Tonnes,13.7
1099,Crop Yield,2003,Oilseed rape,000 Tonnes,7.2
1100,Crop Yield,2003,Potatoes,000 Tonnes,488.2
1101,Crop Yield,2003,Turnips,000 Tonnes,
1102,Crop Yield,2003,Sugar beet,000 Tonnes,1505.2
1103,Crop Yield,2003,Fodder beet,000 Tonnes,
1104,Crop Yield,2003,Kale and field cabbage,000 Tonnes,
1105,Crop Yield,2004,"Total wheat, oats and barley",000 Tonnes,2500.9
1106,Crop Yield,2004,Total wheat,000 Tonnes,1019.2
1107,Crop Yield,2004,Winter wheat,000 Tonnes,750.6
1108,Crop Yield,2004,Spring wheat,000 Tonnes,268.6
1109,Crop Yield,2004,Total oats,000 Tonnes,155.2
1110,Crop Yield,2004,Winter oats,000 Tonnes,107.3
1111,Crop Yield,2004,Spring oats,000 Tonnes,47.9
1112,Crop Yield,2004,Total barley,000 Tonnes,1326.6
1113,Crop Yield,2004,Winter barley,000 Tonnes,168.2
1114,Crop Yield,2004,Spring barley,000 Tonnes,1158.5
1115,Crop Yield,2004,Beans and peas,000 Tonnes,14.4
1116,Crop Yield,2004,Oilseed rape,000 Tonnes,6.7
1117,Crop Yield,2004,Potatoes,000 Tonnes,552.2
1118,Crop Yield,2004,Turnips,000 Tonnes,
1119,Crop Yield,2004,Sugar beet,000 Tonnes,1861.4
1120,Crop Yield,2004,Fodder beet,000 Tonnes,
1121,Crop Yield,2004,Kale and field cabbage,000 Tonnes,
1122,Crop Yield,2005,"Total wheat, oats and barley",000 Tonnes,1938.0
1123,Crop Yield,2005,Total wheat,000 Tonnes,802.7
1124,Crop Yield,2005,Winter wheat,000 Tonnes,572.0
1125,Crop Yield,2005,Spring wheat,000 Tonnes,229.7
1126,Crop Yield,2005,Total oats,000 Tonnes,112.8
1127,Crop Yield,2005,Winter oats,000 Tonnes,63.1
1128,Crop Yield,2005,Spring oats,000 Tonnes,49.8
1129,Crop Yield,2005,Total barley,000 Tonnes,1024.4
1130,Crop Yield,2005,Winter barley,000 Tonnes,126.0
1131,Crop Yield,2005,Spring barley,000 Tonnes,899.2
1132,Crop Yield,2005,Beans and peas,000 Tonnes,18.9
1133,Crop Yield,2005,Oilseed rape,000 Tonnes,14.2
1134,Crop Yield,2005,Potatoes,000 Tonnes,409.2
1135,Crop Yield,2005,Turnips,000 Tonnes,
1136,Crop Yield,2005,Sugar beet,000 Tonnes,1380.0
1137,Crop Yield,2005,Fodder beet,000 Tonnes,
1138,Crop Yield,2005,Kale and field cabbage,000 Tonnes,
1139,Crop Yield,2006,"Total wheat, oats and barley",000 Tonnes,2083.1
1140,Crop Yield,2006,Total wheat,000 Tonnes,801.0
1141,Crop Yield,2006,Winter wheat,000 Tonnes,580.0
1142,Crop Yield,2006,Spring wheat,000 Tonnes,221.0
1143,Crop Yield,2006,Total oats,000 Tonnes,145.2
1144,Crop Yield,2006,Winter oats,000 Tonnes,74.2
1145,Crop Yield,2006,Spring oats,000 Tonnes,71.0
1146,Crop Yield,2006,Total barley,000 Tonnes,1136.9
1147,Crop Yield,2006,Winter barley,000 Tonnes,119.3
1148,Crop Yield,2006,Spring barley,000 Tonnes,1017.6
1149,Crop Yield,2006,Beans and peas,000 Tonnes,20.0
1150,Crop Yield,2006,Oilseed rape,000 Tonnes,17.9
1151,Crop Yield,2006,Potatoes,000 Tonnes,382.9
1152,Crop Yield,2006,Turnips,000 Tonnes,
1153,Crop Yield,2006,Sugar beet,000 Tonnes,
1154,Crop Yield,2006,Fodder beet,000 Tonnes,
1155,Crop Yield,2006,Kale and field cabbage,000 Tonnes,
1156,Crop Yield,2007,"Total wheat, oats and barley",000 Tonnes,1997.0
1157,Crop Yield,2007,Total wheat,000 Tonnes,713.4
1158,Crop Yield,2007,Winter wheat,000 Tonnes,562.5
1159,Crop Yield,2007,Spring wheat,000 Tonnes,150.9
1160,Crop Yield,2007,Total oats,000 Tonnes,159.1
1161,Crop Yield,2007,Winter oats,000 Tonnes,109.3
1162,Crop Yield,2007,Spring oats,000 Tonnes,49.8
1163,Crop Yield,2007,Total barley,000 Tonnes,1124.5
1164,Crop Yield,2007,Winter barley,000 Tonnes,142.4
1165,Crop Yield,2007,Spring barley,000 Tonnes,982.2
1166,Crop Yield,2007,Beans and peas,000 Tonnes,12.8
1167,Crop Yield,2007,Oilseed rape,000 Tonnes,31.9
1168,Crop Yield,2007,Potatoes,000 Tonnes,399.0
1169,Crop Yield,2007,Turnips,000 Tonnes,
1170,Crop Yield,2007,Sugar beet,000 Tonnes,
1171,Crop Yield,2007,Fodder beet,000 Tonnes,
1172,Crop Yield,2007,Kale and field cabbage,000 Tonnes,
