,Statistic,Year,Type of Crop,UNIT,VALUE
175,Area under Crops,1995,Winter oats,000 Hectares,10.5
176,Area under Crops,1995,Spring oats,000 Hectares,9.4
177,Area under Crops,1995,Total barley,000 Hectares,178.6
178,Area under Crops,1995,Winter barley,000 Hectares,37.1
179,Area under Crops,1995,Spring barley,000 Hectares,141.4
180,Area under Crops,1995,Beans and peas,000 Hectares,4.8
181,Area under Crops,1995,Oilseed rape,000 Hectares,4.1
182,Area under Crops,1995,Potatoes,000 Hectares,22.4
183,Area under Crops,1995,Turnips,000 Hectares,5.3
184,Area under Crops,1995,Sugar beet,000 Hectares,35.1
185,Area under Crops,1995,Fodder beet,000 Hectares,8.9
186,Area under Crops,1995,Kale and field cabbage,000 Hectares,1.5
187,Area under Crops,1996,"Total wheat, oats and barley",000 Hectares,288.0
188,Area under Crops,1996,Total wheat,000 Hectares,85.7
189,Area under Crops,1996,Winter wheat,000 Hectares,67.2
190,Area under Crops,1996,Spring wheat,000 Hectares,18.5
191,Area under Crops,1996,Total oats,000 Hectares,20.9
192,Area under Crops,1996,Winter oats,000 Hectares,12.5
193,Area under Crops,1996,Spring oats,000 Hectares,8.4
194,Area under Crops,1996,Total barley,000 Hectares,181.4
195,Area under Crops,1996,Winter barley,000 Hectares,40.9
196,Area under Crops,1996,Spring barley,000 Hectares,140.5
197,Area under Crops,1996,Beans and peas,000 Hectares,4.8
198,Area under Crops,1996,Oilseed rape,000 Hectares,3.5
199,Area under Crops,1996,Potatoes,000 Hectares,24.3
200,Area under Crops,1996,Turnips,000 Hectares,5.4
201,Area under Crops,1996,Sugar beet,000 Hectares,32.3
202,Area under Crops,1996,Fodder beet,000 Hectares,9.9
203,Area under Crops,1996,Kale and field cabbage,000 Hectares,1.6
204,Area under Crops,1997,"Total wheat, oats and barley",000 Hectares,304.3
205,Area under Crops,1997,Total wheat,000 Hectares,93.9
206,Area under Crops,1997,Winter wheat,000 Hectares,70.2
207,Area under Crops,1997,Spring wheat,000 Hectares,23.7
208,Area under Crops,1997,Total oats,000 Hectares,20.6
209,Area under Crops,1997,Winter oats,000 Hectares,11.2
210,Area under Crops,1997,Spring oats,000 Hectares,9.4
211,Area under Crops,1997,Total barley,000 Hectares,189.8
212,Area under Crops,1997,Winter barley,000 Hectares,41.1
213,Area under Crops,1997,Spring barley,000 Hectares,148.6
214,Area under Crops,1997,Beans and peas,000 Hectares,4.8
215,Area under Crops,1997,Oilseed rape,000 Hectares,4.4
216,Area under Crops,1997,Potatoes,000 Hectares,18.2
217,Area under Crops,1997,Turnips,000 Hectares,5.2
218,Area under Crops,1997,Sugar beet,000 Hectares,32.3
219,Area under Crops,1997,Fodder beet,000 Hectares,9.1
220,Area under Crops,1997,Kale and field cabbage,000 Hectares,
221,Area under Crops,1998,"Total wheat, oats and barley",000 Hectares,294.0
222,Area under Crops,1998,Total wheat,000 Hectares,83.8
223,Area under Crops,1998,Winter wheat,000 Hectares,65.5
224,Area under Crops,1998,Spring wheat,000 Hectares,18.4
225,Area under Crops,1998,Total oats,000 Hectares,19.4
226,Area under Crops,1998,Winter oats,000 Hectares,12.1
227,Area under Crops,1998,Spring oats,000 Hectares,7.3
228,Area under Crops,1998,Total barley,000 Hectares,190.7
229,Area under Crops,1998,Winter barley,000 Hectares,39.0
230,Area under Crops,1998,Spring barley,000 Hectares,151.7
231,Area under Crops,1998,Beans and peas,000 Hectares,6.5
232,Area under Crops,1998,Oilseed rape,000 Hectares,5.6
233,Area under Crops,1998,Potatoes,000 Hectares,18.5
234,Area under Crops,1998,Turnips,000 Hectares,4.6
235,Area under Crops,1998,Sugar beet,000 Hectares,32.9
236,Area under Crops,1998,Fodder beet,000 Hectares,7.3
237,Area under Crops,1998,Kale and field cabbage,000 Hectares,
238,Area under Crops,1999,"Total wheat, oats and barley",000 Hectares,280.3
239,Area under Crops,1999,Total wheat,000 Hectares,68.1
240,Area under Crops,1999,Winter wheat,000 Hectares,40.6
241,Area under Crops,1999,Spring wheat,000 Hectares,27.4
242,Area under Crops,1999,Total oats,000 Hectares,20.2
243,Area under Crops,1999,Winter oats,000 Hectares,7.7
244,Area under Crops,1999,Spring oats,000 Hectares,12.5
245,Area under Crops,1999,Total barley,000 Hectares,192.0
246,Area under Crops,1999,Winter barley,000 Hectares,26.2
247,Area under Crops,1999,Spring barley,000 Hectares,165.8
248,Area under Crops,1999,Beans and peas,000 Hectares,4.1
249,Area under Crops,1999,Oilseed rape,000 Hectares,2.6
250,Area under Crops,1999,Potatoes,000 Hectares,17.5
251,Area under Crops,1999,Turnips,000 Hectares,4.2
252,Area under Crops,1999,Sugar beet,000 Hectares,33.8
253,Area under Crops,1999,Fodder beet,000 Hectares,7.0
254,Area under Crops,1999,Kale and field cabbage,000 Hectares,
255,Area under Crops,2000,"Total wheat, oats and barley",000 Hectares,277.1
256,Area under Crops,2000,Total wheat,000 Hectares,78.0
257,Area under Crops,2000,Winter wheat,000 Hectares,58.8
258,Area under Crops,2000,Spring wheat,000 Hectares,19.1
259,Area under Crops,2000,Total oats,000 Hectares,16.8
260,Area under Crops,2000,Winter oats,000 Hectares,9.6
261,Area under Crops,2000,Spring oats,000 Hectares,7.2
262,Area under Crops,2000,Total barley,000 Hectares,182.3
263,Area under Crops,2000,Winter barley,000 Hectares,24.1
264,Area under Crops,2000,Spring barley,000 Hectares,158.2
265,Area under Crops,2000,Beans and peas,000 Hectares,1.5
266,Area under Crops,2000,Oilseed rape,000 Hectares,2.7
267,Area under Crops,2000,Potatoes,000 Hectares,13.5
268,Area under Crops,2000,Turnips,000 Hectares,2.1
269,Area under Crops,2000,Sugar beet,000 Hectares,32.2
270,Area under Crops,2000,Fodder beet,000 Hectares,5.1
271,Area under Crops,2000,Kale and field cabbage,000 Hectares,
272,Area under Crops,2001,"Total wheat, oats and barley",000 Hectares,283.7
273,Area under Crops,2001,Total wheat,000 Hectares,84.9
274,Area under Crops,2001,Winter wheat,000 Hectares,49.9
275,Area under Crops,2001,Spring wheat,000 Hectares,35.0
276,Area under Crops,2001,Total oats,000 Hectares,16.8
277,Area under Crops,2001,Winter oats,000 Hectares,5.7
278,Area under Crops,2001,Spring oats,000 Hectares,11.1
279,Area under Crops,2001,Total barley,000 Hectares,182.0
280,Area under Crops,2001,Winter barley,000 Hectares,19.6
281,Area under Crops,2001,Spring barley,000 Hectares,162.4
282,Area under Crops,2001,Beans and peas,000 Hectares,1.9
283,Area under Crops,2001,Oilseed rape,000 Hectares,2.4
284,Area under Crops,2001,Potatoes,000 Hectares,14.3
285,Area under Crops,2001,Turnips,000 Hectares,1.8
286,Area under Crops,2001,Sugar beet,000 Hectares,31.1
287,Area under Crops,2001,Fodder beet,000 Hectares,4.3
288,Area under Crops,2001,Kale and field cabbage,000 Hectares,
289,Area under Crops,2002,"Total wheat, oats and barley",000 Hectares,297.5
290,Area under Crops,2002,Total wheat,000 Hectares,102.7
291,Area under Crops,2002,Winter wheat,000 Hectares,80.0
292,Area under Crops,2002,Spring wheat,000 Hectares,22.7
293,Area under Crops,2002,Total oats,000 Hectares,18.8
294,Area under Crops,2002,Winter oats,000 Hectares,11.8
295,Area under Crops,2002,Spring oats,000 Hectares,7.0
296,Area under Crops,2002,Total barley,000 Hectares,176.0
297,Area under Crops,2002,Winter barley,000 Hectares,23.2
298,Area under Crops,2002,Spring barley,000 Hectares,152.8
299,Area under Crops,2002,Beans and peas,000 Hectares,1.7
300,Area under Crops,2002,Oilseed rape,000 Hectares,2.2
301,Area under Crops,2002,Potatoes,000 Hectares,15.4
302,Area under Crops,2002,Turnips,000 Hectares,1.6
