Statistic,Month,Meteorological Weather Station,UNIT,VALUE
Total Rainfall,1959M09,Clones,Millimetres,56.1
Total Rainfall,1959M09,Cork airport,Millimetres,
Total Rainfall,1959M09,Dublin airport,Millimetres,24.3
Total Rainfall,1959M09,Galway,Millimetres,
Total Rainfall,1959M09,Kilkenny,Millimetres,26.5
Total Rainfall,1959M09,Malin head,Millimetres,36.4
Total Rainfall,1959M09,Mullingar,Millimetres,55.6
Total Rainfall,1959M09,Roches Point,Millimetres,16.1
Total Rainfall,1959M09,Rosslare,Millimetres,7.6
Total Rainfall,1959M09,Shannon airport,Millimetres,44.7
Total Rainfall,1959M10,Belmullet,Millimetres,136.2
Total Rainfall,1959M10,Birr,Millimetres,142.7
Total Rainfall,1959M10,Valentia Observatory,Millimetres,208.0
Total Rainfall,1959M10,Casement,Millimetres,
Total Rainfall,1959M10,Claremorris,Millimetres,159.7
Total Rainfall,1959M10,Clones,Millimetres,128.5
Total Rainfall,1959M10,Cork airport,Millimetres,
Total Rainfall,1959M10,Dublin airport,Millimetres,106.7
Total Rainfall,1959M10,Galway,Millimetres,
Total Rainfall,1959M10,Kilkenny,Millimetres,132.6
Total Rainfall,1959M10,Malin head,Millimetres,132.0
Total Rainfall,1959M10,Mullingar,Millimetres,143.6
Total Rainfall,1959M10,Roches Point,Millimetres,130.6
Total Rainfall,1959M10,Rosslare,Millimetres,121.1
Total Rainfall,1959M10,Shannon airport,Millimetres,139.4
Total Rainfall,1959M11,Belmullet,Millimetres,167.4
Total Rainfall,1959M11,Birr,Millimetres,81.4
Total Rainfall,1959M11,Valentia Observatory,Millimetres,196.4
Total Rainfall,1959M11,Casement,Millimetres,
Total Rainfall,1959M11,Claremorris,Millimetres,136.7
Total Rainfall,1959M11,Clones,Millimetres,102.1
Total Rainfall,1959M11,Cork airport,Millimetres,
Total Rainfall,1959M11,Dublin airport,Millimetres,89.6
Total Rainfall,1959M11,Galway,Millimetres,
Total Rainfall,1959M11,Kilkenny,Millimetres,91.2
Total Rainfall,1959M11,Malin head,Millimetres,132.2
Total Rainfall,1959M11,Mullingar,Millimetres,97.2
Total Rainfall,1959M11,Roches Point,Millimetres,69.5
Total Rainfall,1959M11,Rosslare,Millimetres,117.3
Total Rainfall,1959M11,Shannon airport,Millimetres,87.7
Total Rainfall,1959M12,Belmullet,Millimetres,201.2
Total Rainfall,1959M12,Birr,Millimetres,179.9
Total Rainfall,1959M12,Valentia Observatory,Millimetres,319.5
Total Rainfall,1959M12,Casement,Millimetres,
Total Rainfall,1959M12,Claremorris,Millimetres,229.1
Total Rainfall,1959M12,Clones,Millimetres,152.5
Total Rainfall,1959M12,Cork airport,Millimetres,
Total Rainfall,1959M12,Dublin airport,Millimetres,132.1
Total Rainfall,1959M12,Galway,Millimetres,
Total Rainfall,1959M12,Kilkenny,Millimetres,143.9
Total Rainfall,1959M12,Malin head,Millimetres,133.7
Total Rainfall,1959M12,Mullingar,Millimetres,177.4
Total Rainfall,1959M12,Roches Point,Millimetres,199.7
Total Rainfall,1959M12,Rosslare,Millimetres,163.5
Total Rainfall,1959M12,Shannon airport,Millimetres,239.8
Total Rainfall,1960M01,Belmullet,Millimetres,101.0
Total Rainfall,1960M01,Birr,Millimetres,84.2
Total Rainfall,1960M01,Valentia Observatory,Millimetres,164.4
Total Rainfall,1960M01,Casement,Millimetres,
Total Rainfall,1960M01,Claremorris,Millimetres,113.9
Total Rainfall,1960M01,Clones,Millimetres,89.3
Total Rainfall,1960M01,Cork airport,Millimetres,
Total Rainfall,1960M01,Dublin airport,Millimetres,87.4
Total Rainfall,1960M01,Galway,Millimetres,
