,Statistic,Year,Agricultural Product,UNIT,VALUE
121,Agricultural Input and Output Price Indices,2007,Maintenance of materials and buildings,Base 2010 = 100,96.83
122,Agricultural Input and Output Price Indices,2007,Other goods and services,Base 2010 = 100,91.25
123,Agricultural Input and Output Price Indices,2008,Agricultural output price index,Base 2010 = 100,109.71
124,Agricultural Input and Output Price Indices,2008,Crop output,Base 2010 = 100,117.73
125,Agricultural Input and Output Price Indices,2008,Cereals including seeds,Base 2010 = 100,138.81
126,Agricultural Input and Output Price Indices,2008,Vegetables,Base 2010 = 100,98.94
127,Agricultural Input and Output Price Indices,2008,Potatoes including seeds,Base 2010 = 100,104.14
128,Agricultural Input and Output Price Indices,2008,Animal output,Base 2010 = 100,108.66
129,Agricultural Input and Output Price Indices,2008,Animals,Base 2010 = 100,107.26
130,Agricultural Input and Output Price Indices,2008,Cattle,Base 2010 = 100,109.63
131,Agricultural Input and Output Price Indices,2008,Cattle excluding calves,Base 2010 = 100,109.55
132,Agricultural Input and Output Price Indices,2008,Calves,Base 2010 = 100,116.22
133,Agricultural Input and Output Price Indices,2008,Pigs,Base 2010 = 100,110.29
134,Agricultural Input and Output Price Indices,2008,Sheep,Base 2010 = 100,83.58
135,Agricultural Input and Output Price Indices,2008,Poultry,Base 2010 = 100,99.96
136,Agricultural Input and Output Price Indices,2008,Animal products,Base 2010 = 100,110.8
137,Agricultural Input and Output Price Indices,2008,Milk,Base 2010 = 100,110.88
138,Agricultural Input and Output Price Indices,2008,Eggs,Base 2010 = 100,111.11
139,Agricultural Input and Output Price Indices,2008,Wool,Base 2010 = 100,91.14
140,Agricultural Input and Output Price Indices,2008,Agricultural input price index,Base 2010 = 100,110.36
141,Agricultural Input and Output Price Indices,2008,Seeds,Base 2010 = 100,107.27
142,Agricultural Input and Output Price Indices,2008,Energy,Base 2010 = 100,101.99
143,Agricultural Input and Output Price Indices,2008,Electricity,Base 2010 = 100,102.28
144,Agricultural Input and Output Price Indices,2008,Motor fuel,Base 2010 = 100,102.22
145,Agricultural Input and Output Price Indices,2008,Lubricants,Base 2010 = 100,95.63
146,Agricultural Input and Output Price Indices,2008,Fertilisers,Base 2010 = 100,138.75
147,Agricultural Input and Output Price Indices,2008,Straight fertilisers,Base 2010 = 100,145.49
148,Agricultural Input and Output Price Indices,2008,Compound fertilisers,Base 2010 = 100,135.98
149,Agricultural Input and Output Price Indices,2008,PK fertilisers,Base 2010 = 100,126.15
150,Agricultural Input and Output Price Indices,2008,NPK fertilisers,Base 2010 = 100,136.2
151,Agricultural Input and Output Price Indices,2008,Other fertilisers,Base 2010 = 100,102.04
152,Agricultural Input and Output Price Indices,2008,Plant protection products,Base 2010 = 100,96.71
153,Agricultural Input and Output Price Indices,2008,Veterinary expenses,Base 2010 = 100,97.64
154,Agricultural Input and Output Price Indices,2008,Feeding stuffs,Base 2010 = 100,115.49
155,Agricultural Input and Output Price Indices,2008,Straight feeding stuffs,Base 2010 = 100,129.36
156,Agricultural Input and Output Price Indices,2008,Compound feeding stuffs,Base 2010 = 100,114.0
157,Agricultural Input and Output Price Indices,2008,Compound feeding stuffs for calves,Base 2010 = 100,112.28
158,Agricultural Input and Output Price Indices,2008,Compound feeding stuffs for cattle excluding calves,Base 2010 = 100,116.02
159,Agricultural Input and Output Price Indices,2008,Compound feeding stuffs for pigs,Base 2010 = 100,114.77
160,Agricultural Input and Output Price Indices,2008,Compound feeding stuffs for poultry,Base 2010 = 100,107.74
161,Agricultural Input and Output Price Indices,2008,Other compound feeding stuffs,Base 2010 = 100,116.46
162,Agricultural Input and Output Price Indices,2008,Maintenance of materials and buildings,Base 2010 = 100,100.9
163,Agricultural Input and Output Price Indices,2008,Other goods and services,Base 2010 = 100,93.46
164,Agricultural Input and Output Price Indices,2009,Agricultural output price index,Base 2010 = 100,90.84
165,Agricultural Input and Output Price Indices,2009,Crop output,Base 2010 = 100,99.07
166,Agricultural Input and Output Price Indices,2009,Cereals including seeds,Base 2010 = 100,98.36
167,Agricultural Input and Output Price Indices,2009,Vegetables,Base 2010 = 100,99.56
168,Agricultural Input and Output Price Indices,2009,Potatoes including seeds,Base 2010 = 100,99.84
169,Agricultural Input and Output Price Indices,2009,Animal output,Base 2010 = 100,89.77
170,Agricultural Input and Output Price Indices,2009,Animals,Base 2010 = 100,97.56
171,Agricultural Input and Output Price Indices,2009,Cattle,Base 2010 = 100,98.23
172,Agricultural Input and Output Price Indices,2009,Cattle excluding calves,Base 2010 = 100,98.12
173,Agricultural Input and Output Price Indices,2009,Calves,Base 2010 = 100,106.15
174,Agricultural Input and Output Price Indices,2009,Pigs,Base 2010 = 100,99.55
175,Agricultural Input and Output Price Indices,2009,Sheep,Base 2010 = 100,85.28
176,Agricultural Input and Output Price Indices,2009,Poultry,Base 2010 = 100,100.02
177,Agricultural Input and Output Price Indices,2009,Animal products,Base 2010 = 100,77.97
178,Agricultural Input and Output Price Indices,2009,Milk,Base 2010 = 100,77.41
179,Agricultural Input and Output Price Indices,2009,Eggs,Base 2010 = 100,102.39
180,Agricultural Input and Output Price Indices,2009,Wool,Base 2010 = 100,59.94
181,Agricultural Input and Output Price Indices,2009,Agricultural input price index,Base 2010 = 100,101.01
182,Agricultural Input and Output Price Indices,2009,Seeds,Base 2010 = 100,107.6
183,Agricultural Input and Output Price Indices,2009,Energy,Base 2010 = 100,86.52
184,Agricultural Input and Output Price Indices,2009,Electricity,Base 2010 = 100,103.6
185,Agricultural Input and Output Price Indices,2009,Motor fuel,Base 2010 = 100,81.39
186,Agricultural Input and Output Price Indices,2009,Lubricants,Base 2010 = 100,98.38
187,Agricultural Input and Output Price Indices,2009,Fertilisers,Base 2010 = 100,111.52
188,Agricultural Input and Output Price Indices,2009,Straight fertilisers,Base 2010 = 100,108.69
189,Agricultural Input and Output Price Indices,2009,Compound fertilisers,Base 2010 = 100,114.68
190,Agricultural Input and Output Price Indices,2009,PK fertilisers,Base 2010 = 100,132.08
191,Agricultural Input and Output Price Indices,2009,NPK fertilisers,Base 2010 = 100,114.29
192,Agricultural Input and Output Price Indices,2009,Other fertilisers,Base 2010 = 100,102.12
193,Agricultural Input and Output Price Indices,2009,Plant protection products,Base 2010 = 100,99.76
194,Agricultural Input and Output Price Indices,2009,Veterinary expenses,Base 2010 = 100,99.89
195,Agricultural Input and Output Price Indices,2009,Feeding stuffs,Base 2010 = 100,101.88
196,Agricultural Input and Output Price Indices,2009,Straight feeding stuffs,Base 2010 = 100,101.52
197,Agricultural Input and Output Price Indices,2009,Compound feeding stuffs,Base 2010 = 100,101.92
198,Agricultural Input and Output Price Indices,2009,Compound feeding stuffs for calves,Base 2010 = 100,100.83
199,Agricultural Input and Output Price Indices,2009,Compound feeding stuffs for cattle excluding calves,Base 2010 = 100,102.73
200,Agricultural Input and Output Price Indices,2009,Compound feeding stuffs for pigs,Base 2010 = 100,98.79
201,Agricultural Input and Output Price Indices,2009,Compound feeding stuffs for poultry,Base 2010 = 100,102.4
202,Agricultural Input and Output Price Indices,2009,Other compound feeding stuffs,Base 2010 = 100,103.39
203,Agricultural Input and Output Price Indices,2009,Maintenance of materials and buildings,Base 2010 = 100,101.87
204,Agricultural Input and Output Price Indices,2009,Other goods and services,Base 2010 = 100,100.27
205,Agricultural Input and Output Price Indices,2010,Agricultural output price index,Base 2010 = 100,100.0
206,Agricultural Input and Output Price Indices,2010,Crop output,Base 2010 = 100,100.0
207,Agricultural Input and Output Price Indices,2010,Cereals including seeds,Base 2010 = 100,100.0
208,Agricultural Input and Output Price Indices,2010,Vegetables,Base 2010 = 100,100.0
209,Agricultural Input and Output Price Indices,2010,Potatoes including seeds,Base 2010 = 100,100.0
210,Agricultural Input and Output Price Indices,2010,Animal output,Base 2010 = 100,100.0
211,Agricultural Input and Output Price Indices,2010,Animals,Base 2010 = 100,100.0
212,Agricultural Input and Output Price Indices,2010,Cattle,Base 2010 = 100,100.0
213,Agricultural Input and Output Price Indices,2010,Cattle excluding calves,Base 2010 = 100,100.0
214,Agricultural Input and Output Price Indices,2010,Calves,Base 2010 = 100,100.0
215,Agricultural Input and Output Price Indices,2010,Pigs,Base 2010 = 100,100.0
216,Agricultural Input and Output Price Indices,2010,Sheep,Base 2010 = 100,100.0
217,Agricultural Input and Output Price Indices,2010,Poultry,Base 2010 = 100,100.0
218,Agricultural Input and Output Price Indices,2010,Animal products,Base 2010 = 100,100.0
219,Agricultural Input and Output Price Indices,2010,Milk,Base 2010 = 100,100.0
220,Agricultural Input and Output Price Indices,2010,Eggs,Base 2010 = 100,100.0
221,Agricultural Input and Output Price Indices,2010,Wool,Base 2010 = 100,100.0
222,Agricultural Input and Output Price Indices,2010,Agricultural input price index,Base 2010 = 100,100.0
223,Agricultural Input and Output Price Indices,2010,Seeds,Base 2010 = 100,100.0
224,Agricultural Input and Output Price Indices,2010,Energy,Base 2010 = 100,100.0
225,Agricultural Input and Output Price Indices,2010,Electricity,Base 2010 = 100,100.0
226,Agricultural Input and Output Price Indices,2010,Motor fuel,Base 2010 = 100,100.0
227,Agricultural Input and Output Price Indices,2010,Lubricants,Base 2010 = 100,100.0
228,Agricultural Input and Output Price Indices,2010,Fertilisers,Base 2010 = 100,100.0
229,Agricultural Input and Output Price Indices,2010,Straight fertilisers,Base 2010 = 100,100.0
230,Agricultural Input and Output Price Indices,2010,Compound fertilisers,Base 2010 = 100,100.0
231,Agricultural Input and Output Price Indices,2010,PK fertilisers,Base 2010 = 100,100.0
232,Agricultural Input and Output Price Indices,2010,NPK fertilisers,Base 2010 = 100,100.0
233,Agricultural Input and Output Price Indices,2010,Other fertilisers,Base 2010 = 100,100.0
234,Agricultural Input and Output Price Indices,2010,Plant protection products,Base 2010 = 100,100.0
235,Agricultural Input and Output Price Indices,2010,Veterinary expenses,Base 2010 = 100,100.0
236,Agricultural Input and Output Price Indices,2010,Feeding stuffs,Base 2010 = 100,100.0
237,Agricultural Input and Output Price Indices,2010,Straight feeding stuffs,Base 2010 = 100,100.0
238,Agricultural Input and Output Price Indices,2010,Compound feeding stuffs,Base 2010 = 100,100.0
239,Agricultural Input and Output Price Indices,2010,Compound feeding stuffs for calves,Base 2010 = 100,100.0
240,Agricultural Input and Output Price Indices,2010,Compound feeding stuffs for cattle excluding calves,Base 2010 = 100,100.0
241,Agricultural Input and Output Price Indices,2010,Compound feeding stuffs for pigs,Base 2010 = 100,100.0
242,Agricultural Input and Output Price Indices,2010,Compound feeding stuffs for poultry,Base 2010 = 100,100.0
243,Agricultural Input and Output Price Indices,2010,Other compound feeding stuffs,Base 2010 = 100,100.0
244,Agricultural Input and Output Price Indices,2010,Maintenance of materials and buildings,Base 2010 = 100,100.0
245,Agricultural Input and Output Price Indices,2010,Other goods and services,Base 2010 = 100,100.0
246,Agricultural Input and Output Price Indices,2011,Agricultural output price index,Base 2010 = 100,115.17
247,Agricultural Input and Output Price Indices,2011,Crop output,Base 2010 = 100,109.46
248,Agricultural Input and Output Price Indices,2011,Cereals including seeds,Base 2010 = 100,131.48
249,Agricultural Input and Output Price Indices,2011,Vegetables,Base 2010 = 100,101.43
250,Agricultural Input and Output Price Indices,2011,Potatoes including seeds,Base 2010 = 100,69.0
251,Agricultural Input and Output Price Indices,2011,Animal output,Base 2010 = 100,115.91
252,Agricultural Input and Output Price Indices,2011,Animals,Base 2010 = 100,116.95
253,Agricultural Input and Output Price Indices,2011,Cattle,Base 2010 = 100,120.25
254,Agricultural Input and Output Price Indices,2011,Cattle excluding calves,Base 2010 = 100,119.88
255,Agricultural Input and Output Price Indices,2011,Calves,Base 2010 = 100,148.16
256,Agricultural Input and Output Price Indices,2011,Pigs,Base 2010 = 100,109.52
257,Agricultural Input and Output Price Indices,2011,Sheep,Base 2010 = 100,107.87
258,Agricultural Input and Output Price Indices,2011,Poultry,Base 2010 = 100,106.14
259,Agricultural Input and Output Price Indices,2011,Animal products,Base 2010 = 100,114.34
260,Agricultural Input and Output Price Indices,2011,Milk,Base 2010 = 100,114.32
261,Agricultural Input and Output Price Indices,2011,Eggs,Base 2010 = 100,103.89
262,Agricultural Input and Output Price Indices,2011,Wool,Base 2010 = 100,180.19
263,Agricultural Input and Output Price Indices,2011,Agricultural input price index,Base 2010 = 100,111.12
264,Agricultural Input and Output Price Indices,2011,Seeds,Base 2010 = 100,105.99
265,Agricultural Input and Output Price Indices,2011,Energy,Base 2010 = 100,115.18
266,Agricultural Input and Output Price Indices,2011,Electricity,Base 2010 = 100,106.62
267,Agricultural Input and Output Price Indices,2011,Motor fuel,Base 2010 = 100,118.05
268,Agricultural Input and Output Price Indices,2011,Lubricants,Base 2010 = 100,102.99
269,Agricultural Input and Output Price Indices,2011,Fertilisers,Base 2010 = 100,122.97
270,Agricultural Input and Output Price Indices,2011,Straight fertilisers,Base 2010 = 100,127.44
271,Agricultural Input and Output Price Indices,2011,Compound fertilisers,Base 2010 = 100,121.13
272,Agricultural Input and Output Price Indices,2011,PK fertilisers,Base 2010 = 100,110.04
273,Agricultural Input and Output Price Indices,2011,NPK fertilisers,Base 2010 = 100,121.38
274,Agricultural Input and Output Price Indices,2011,Other fertilisers,Base 2010 = 100,98.78
275,Agricultural Input and Output Price Indices,2011,Plant protection products,Base 2010 = 100,97.75
276,Agricultural Input and Output Price Indices,2011,Veterinary expenses,Base 2010 = 100,99.57
277,Agricultural Input and Output Price Indices,2011,Feeding stuffs,Base 2010 = 100,116.35
278,Agricultural Input and Output Price Indices,2011,Straight feeding stuffs,Base 2010 = 100,125.08
279,Agricultural Input and Output Price Indices,2011,Compound feeding stuffs,Base 2010 = 100,115.41
280,Agricultural Input and Output Price Indices,2011,Compound feeding stuffs for calves,Base 2010 = 100,114.38
281,Agricultural Input and Output Price Indices,2011,Compound feeding stuffs for cattle excluding calves,Base 2010 = 100,115.92
282,Agricultural Input and Output Price Indices,2011,Compound feeding stuffs for pigs,Base 2010 = 100,117.09
283,Agricultural Input and Output Price Indices,2011,Compound feeding stuffs for poultry,Base 2010 = 100,112.58
284,Agricultural Input and Output Price Indices,2011,Other compound feeding stuffs,Base 2010 = 100,116.15
285,Agricultural Input and Output Price Indices,2011,Maintenance of materials and buildings,Base 2010 = 100,98.39
286,Agricultural Input and Output Price Indices,2011,Other goods and services,Base 2010 = 100,102.32
287,Agricultural Input and Output Price Indices,2012,Agricultural output price index,Base 2010 = 100,121.13
288,Agricultural Input and Output Price Indices,2012,Crop output,Base 2010 = 100,129.3
289,Agricultural Input and Output Price Indices,2012,Cereals including seeds,Base 2010 = 100,153.36
290,Agricultural Input and Output Price Indices,2012,Vegetables,Base 2010 = 100,105.55
291,Agricultural Input and Output Price Indices,2012,Potatoes including seeds,Base 2010 = 100,118.97
292,Agricultural Input and Output Price Indices,2012,Animal output,Base 2010 = 100,120.06
293,Agricultural Input and Output Price Indices,2012,Animals,Base 2010 = 100,130.17
294,Agricultural Input and Output Price Indices,2012,Cattle,Base 2010 = 100,135.9
295,Agricultural Input and Output Price Indices,2012,Cattle excluding calves,Base 2010 = 100,135.21
296,Agricultural Input and Output Price Indices,2012,Calves,Base 2010 = 100,188.08
297,Agricultural Input and Output Price Indices,2012,Pigs,Base 2010 = 100,121.33
298,Agricultural Input and Output Price Indices,2012,Sheep,Base 2010 = 100,104.13
299,Agricultural Input and Output Price Indices,2012,Poultry,Base 2010 = 100,114.18
300,Agricultural Input and Output Price Indices,2012,Animal products,Base 2010 = 100,104.74
301,Agricultural Input and Output Price Indices,2012,Milk,Base 2010 = 100,104.37
302,Agricultural Input and Output Price Indices,2012,Eggs,Base 2010 = 100,112.07
303,Agricultural Input and Output Price Indices,2012,Wool,Base 2010 = 100,146.05
304,Agricultural Input and Output Price Indices,2012,Agricultural input price index,Base 2010 = 100,116.47
305,Agricultural Input and Output Price Indices,2012,Seeds,Base 2010 = 100,121.22
306,Agricultural Input and Output Price Indices,2012,Energy,Base 2010 = 100,126.24
307,Agricultural Input and Output Price Indices,2012,Electricity,Base 2010 = 100,118.67
308,Agricultural Input and Output Price Indices,2012,Motor fuel,Base 2010 = 100,129.28
309,Agricultural Input and Output Price Indices,2012,Lubricants,Base 2010 = 100,104.71
310,Agricultural Input and Output Price Indices,2012,Fertilisers,Base 2010 = 100,126.68
311,Agricultural Input and Output Price Indices,2012,Straight fertilisers,Base 2010 = 100,131.07
312,Agricultural Input and Output Price Indices,2012,Compound fertilisers,Base 2010 = 100,125.15
313,Agricultural Input and Output Price Indices,2012,PK fertilisers,Base 2010 = 100,115.83
314,Agricultural Input and Output Price Indices,2012,NPK fertilisers,Base 2010 = 100,125.36
315,Agricultural Input and Output Price Indices,2012,Other fertilisers,Base 2010 = 100,99.35
316,Agricultural Input and Output Price Indices,2012,Plant protection products,Base 2010 = 100,97.87
317,Agricultural Input and Output Price Indices,2012,Veterinary expenses,Base 2010 = 100,100.3
318,Agricultural Input and Output Price Indices,2012,Feeding stuffs,Base 2010 = 100,125.35
319,Agricultural Input and Output Price Indices,2012,Straight feeding stuffs,Base 2010 = 100,134.59
320,Agricultural Input and Output Price Indices,2012,Compound feeding stuffs,Base 2010 = 100,124.35
321,Agricultural Input and Output Price Indices,2012,Compound feeding stuffs for calves,Base 2010 = 100,124.06
322,Agricultural Input and Output Price Indices,2012,Compound feeding stuffs for cattle excluding calves,Base 2010 = 100,124.8
323,Agricultural Input and Output Price Indices,2012,Compound feeding stuffs for pigs,Base 2010 = 100,128.88
