,p_adj,unit,geotime,product,year,priceIDX
381,NI,I15,HU,021900,2021,
382,NI,I15,LT,021900,2021,
383,NI,I15,LV,021900,2021,
384,NI,I15,SI,021900,2021,
385,NI,I15,SK,021900,2021,
386,NI,I15,UK,021900,2021,
387,NI,I15,AT,022000,2021,122.2
388,NI,I15,BE,022000,2021,155.45
389,NI,I15,BG,022000,2021,76.33
390,NI,I15,CZ,022000,2021,105.4
391,NI,I15,DK,022000,2021,176.26
392,NI,I15,ES,022000,2021,140.7
393,NI,I15,EU27_2020,022000,2021,
394,NI,I15,EU28,022000,2021,
395,NI,I15,FI,022000,2021,128.46
396,NI,I15,FR,022000,2021,130.64
397,NI,I15,HR,022000,2021,140.38
398,NI,I15,HU,022000,2021,136.38
399,NI,I15,IT,022000,2021,116.1
400,NI,I15,LT,022000,2021,107.51
401,NI,I15,LU,022000,2021,147.93
402,NI,I15,LV,022000,2021,144.85
403,NI,I15,NL,022000,2021,134.1
404,NI,I15,PL,022000,2021,
405,NI,I15,RO,022000,2021,134.5
406,NI,I15,SK,022000,2021,91.1
407,NI,I15,UK,022000,2021,
408,NI,I15,BE,023000,2021,
409,NI,I15,BG,023000,2021,
410,NI,I15,EL,023000,2021,
411,NI,I15,ES,023000,2021,
412,NI,I15,EU27_2020,023000,2021,
413,NI,I15,EU28,023000,2021,
414,NI,I15,FR,023000,2021,
415,NI,I15,HR,023000,2021,
416,NI,I15,HU,023000,2021,
417,NI,I15,IT,023000,2021,
418,NI,I15,PL,023000,2021,
419,NI,I15,PT,023000,2021,
420,NI,I15,AT,024000,2021,100.8
421,NI,I15,BE,024000,2021,83.42
422,NI,I15,CZ,024000,2021,92.6
423,NI,I15,DE,024000,2021,91.0
424,NI,I15,DK,024000,2021,78.89
425,NI,I15,EL,024000,2021,89.79
426,NI,I15,ES,024000,2021,73.98
427,NI,I15,EU27_2020,024000,2021,
428,NI,I15,EU28,024000,2021,
429,NI,I15,FI,024000,2021,81.39
430,NI,I15,FR,024000,2021,103.54
431,NI,I15,HR,024000,2021,109.85
432,NI,I15,HU,024000,2021,
433,NI,I15,IT,024000,2021,83.5
434,NI,I15,LT,024000,2021,90.81
435,NI,I15,NL,024000,2021,77.7
436,NI,I15,PL,024000,2021,
437,NI,I15,PT,024000,2021,
438,NI,I15,RO,024000,2021,92.39
439,NI,I15,SE,024000,2021,
440,NI,I15,SK,024000,2021,70.8
441,NI,I15,UK,024000,2021,
442,NI,I15,AT,029000,2021,120.4
443,NI,I15,BE,029000,2021,149.68
444,NI,I15,BG,029000,2021,61.82
445,NI,I15,CZ,029000,2021,125.4
446,NI,I15,EL,029000,2021,114.05
447,NI,I15,ES,029000,2021,103.16
448,NI,I15,EU27_2020,029000,2021,
449,NI,I15,EU28,029000,2021,
450,NI,I15,FR,029000,2021,85.53
451,NI,I15,HU,029000,2021,162.38
452,NI,I15,LV,029000,2021,59.26
453,NI,I15,PL,029000,2021,
454,NI,I15,PT,029000,2021,103.46
455,NI,I15,SE,029000,2021,
456,NI,I15,SI,029000,2021,121.14
457,NI,I15,UK,029000,2021,
458,NI,I15,BE,029100,2021,
459,NI,I15,BG,029100,2021,
460,NI,I15,EL,029100,2021,
461,NI,I15,ES,029100,2021,
462,NI,I15,EU27_2020,029100,2021,
463,NI,I15,EU28,029100,2021,
464,NI,I15,FR,029100,2021,
465,NI,I15,LV,029100,2021,
466,NI,I15,PL,029100,2021,
467,NI,I15,AT,029200,2021,
468,NI,I15,BE,029200,2021,
469,NI,I15,BG,029200,2021,
470,NI,I15,CZ,029200,2021,
471,NI,I15,EU27_2020,029200,2021,
472,NI,I15,EU28,029200,2021,
473,NI,I15,FR,029200,2021,
474,NI,I15,PL,029200,2021,
475,NI,I15,PT,029200,2021,
476,NI,I15,SI,029200,2021,
477,NI,I15,UK,029200,2021,
478,NI,I15,BE,029900,2021,
479,NI,I15,BG,029900,2021,
