"Statistic","Quarter","Regional Veterinary Offices","UNIT","VALUE"
"Herds in County","2013Q2","Longford","Number","2456"
"Herds in County","2013Q2","Louth","Number","1197"
"Herds in County","2013Q2","Mayo","Number","9683"
"Herds in County","2013Q2","Meath","Number","3739"
"Herds in County","2013Q2","Monaghan","Number","4314"
"Herds in County","2013Q2","Offaly","Number","3194"
"Herds in County","2013Q2","Roscommon","Number","5549"
"Herds in County","2013Q2","Sligo","Number","3658"
"Herds in County","2013Q2","Tipperary North","Number","3489"
"Herds in County","2013Q2","Tipperary South","Number","3490"
"Herds in County","2013Q2","Waterford","Number","2279"
"Herds in County","2013Q2","Westmeath","Number","3142"
"Herds in County","2013Q2","Wexford","Number","3093"
"Herds in County","2013Q2","Wicklow E","Number","1103"
"Herds in County","2013Q2","Wicklow W","Number","571"
"Herds in County","2013Q3","State","Number","117335"
"Herds in County","2013Q3","Carlow","Number","1334"
"Herds in County","2013Q3","Cavan","Number","4931"
"Herds in County","2013Q3","Clare","Number","6311"
"Herds in County","2013Q3","Cork North","Number","5916"
"Herds in County","2013Q3","Cork South","Number","6294"
"Herds in County","2013Q3","Donegal","Number","5659"
"Herds in County","2013Q3","Dublin","Number","396"
"Herds in County","2013Q3","Galway","Number","11738"
"Herds in County","2013Q3","Kerry","Number","6936"
"Herds in County","2013Q3","Kildare","Number","1966"
"Herds in County","2013Q3","Kilkenny","Number","3195"
"Herds in County","2013Q3","Laois","Number","2937"
"Herds in County","2013Q3","Leitrim","Number","3093"
"Herds in County","2013Q3","Limerick","Number","5589"
"Herds in County","2013Q3","Longford","Number","2457"
"Herds in County","2013Q3","Louth","Number","1206"
"Herds in County","2013Q3","Mayo","Number","9685"
"Herds in County","2013Q3","Meath","Number","3762"
"Herds in County","2013Q3","Monaghan","Number","4327"
"Herds in County","2013Q3","Offaly","Number","3199"
"Herds in County","2013Q3","Roscommon","Number","5549"
"Herds in County","2013Q3","Sligo","Number","3665"
"Herds in County","2013Q3","Tipperary North","Number","3505"
"Herds in County","2013Q3","Tipperary South","Number","3512"
"Herds in County","2013Q3","Waterford","Number","2273"
"Herds in County","2013Q3","Westmeath","Number","3148"
"Herds in County","2013Q3","Wexford","Number","3101"
"Herds in County","2013Q3","Wicklow E","Number","1076"
"Herds in County","2013Q3","Wicklow W","Number","575"
"Herds in County","2013Q4","State","Number","115765"
"Herds in County","2013Q4","Carlow","Number","1340"
"Herds in County","2013Q4","Cavan","Number","4860"
"Herds in County","2013Q4","Clare","Number","6265"
"Herds in County","2013Q4","Cork North","Number","5814"
"Herds in County","2013Q4","Cork South","Number","6189"
"Herds in County","2013Q4","Donegal","Number","5519"
"Herds in County","2013Q4","Dublin","Number","392"
"Herds in County","2013Q4","Galway","Number","11600"
"Herds in County","2013Q4","Kerry","Number","6765"
"Herds in County","2013Q4","Kildare","Number","1922"
"Herds in County","2013Q4","Kilkenny","Number","3183"
"Herds in County","2013Q4","Laois","Number","2884"
