"Statistic","Quarter","Regional Veterinary Offices","UNIT","VALUE"
"Animals in County","2014Q4","Tipperary South","Number","277660"
"Animals in County","2014Q4","Waterford","Number","227627"
"Animals in County","2014Q4","Westmeath","Number","181580"
"Animals in County","2014Q4","Wexford","Number","261111"
"Animals in County","2014Q4","Wicklow E","Number","71355"
"Animals in County","2014Q4","Wicklow W","Number","39173"
"Animals in County","2015Q1","State","Number","6599285"
"Animals in County","2015Q1","Carlow","Number","99058"
"Animals in County","2015Q1","Cavan","Number","218394"
"Animals in County","2015Q1","Clare","Number","263999"
"Animals in County","2015Q1","Cork North","Number","562058"
"Animals in County","2015Q1","Cork South","Number","482013"
"Animals in County","2015Q1","Donegal","Number","173779"
"Animals in County","2015Q1","Dublin","Number","21989"
"Animals in County","2015Q1","Galway","Number","400955"
"Animals in County","2015Q1","Kerry","Number","331374"
"Animals in County","2015Q1","Kildare","Number","122587"
"Animals in County","2015Q1","Kilkenny","Number","342043"
"Animals in County","2015Q1","Laois","Number","236606"
"Animals in County","2015Q1","Leitrim","Number","65150"
"Animals in County","2015Q1","Limerick","Number","387135"
"Animals in County","2015Q1","Longford","Number","106725"
"Animals in County","2015Q1","Louth","Number","87524"
"Animals in County","2015Q1","Mayo","Number","250941"
"Animals in County","2015Q1","Meath","Number","273025"
"Animals in County","2015Q1","Monaghan","Number","198167"
"Animals in County","2015Q1","Offaly","Number","219286"
"Animals in County","2015Q1","Roscommon","Number","182857"
"Animals in County","2015Q1","Sligo","Number","104021"
"Animals in County","2015Q1","Tipperary North","Number","310456"
"Animals in County","2015Q1","Tipperary South","Number","317424"
"Animals in County","2015Q1","Waterford","Number","253940"
"Animals in County","2015Q1","Westmeath","Number","191405"
"Animals in County","2015Q1","Wexford","Number","280011"
"Animals in County","2015Q1","Wicklow E","Number","75283"
"Animals in County","2015Q1","Wicklow W","Number","41080"
"Animals in County","2015Q2","State","Number","6871332"
"Animals in County","2015Q2","Carlow","Number","99908"
"Animals in County","2015Q2","Cavan","Number","232302"
"Animals in County","2015Q2","Clare","Number","284832"
"Animals in County","2015Q2","Cork North","Number","560730"
"Animals in County","2015Q2","Cork South","Number","478915"
"Animals in County","2015Q2","Donegal","Number","183953"
"Animals in County","2015Q2","Dublin","Number","24698"
"Animals in County","2015Q2","Galway","Number","438773"
"Animals in County","2015Q2","Kerry","Number","339966"
"Animals in County","2015Q2","Kildare","Number","131070"
"Animals in County","2015Q2","Kilkenny","Number","343933"
"Animals in County","2015Q2","Laois","Number","240434"
"Animals in County","2015Q2","Leitrim","Number","73828"
"Animals in County","2015Q2","Limerick","Number","399487"
"Animals in County","2015Q2","Longford","Number","115246"
"Animals in County","2015Q2","Louth","Number","86280"
"Animals in County","2015Q2","Mayo","Number","281806"
"Animals in County","2015Q2","Meath","Number","289519"
"Animals in County","2015Q2","Monaghan","Number","207209"
"Animals in County","2015Q2","Offaly","Number","229819"
"Animals in County","2015Q2","Roscommon","Number","204053"
"Animals in County","2015Q2","Sligo","Number","114206"
"Animals in County","2015Q2","Tipperary North","Number","320600"
"Animals in County","2015Q2","Tipperary South","Number","330306"
"Animals in County","2015Q2","Waterford","Number","254097"
"Animals in County","2015Q2","Westmeath","Number","202529"
"Animals in County","2015Q2","Wexford","Number","280923"
"Animals in County","2015Q2","Wicklow E","Number","78728"
"Animals in County","2015Q2","Wicklow W","Number","43182"
"Animals in County","2015Q3","State","Number","6621348"
"Animals in County","2015Q3","Carlow","Number","97870"
"Animals in County","2015Q3","Cavan","Number","226115"
"Animals in County","2015Q3","Clare","Number","272261"
"Animals in County","2015Q3","Cork North","Number","538373"
"Animals in County","2015Q3","Cork South","Number","459193"
"Animals in County","2015Q3","Donegal","Number","178648"
"Animals in County","2015Q3","Dublin","Number","23397"
"Animals in County","2015Q3","Galway","Number","424420"
"Animals in County","2015Q3","Kerry","Number","324499"
"Animals in County","2015Q3","Kildare","Number","123572"
"Animals in County","2015Q3","Kilkenny","Number","333448"
"Animals in County","2015Q3","Laois","Number","234995"
"Animals in County","2015Q3","Leitrim","Number","74604"
"Animals in County","2015Q3","Limerick","Number","381985"
"Animals in County","2015Q3","Longford","Number","111547"
"Animals in County","2015Q3","Louth","Number","85038"
"Animals in County","2015Q3","Mayo","Number","270865"
"Animals in County","2015Q3","Meath","Number","278645"
"Animals in County","2015Q3","Monaghan","Number","202835"
"Animals in County","2015Q3","Offaly","Number","219663"
"Animals in County","2015Q3","Roscommon","Number","198170"
"Animals in County","2015Q3","Sligo","Number","109971"
"Animals in County","2015Q3","Tipperary North","Number","308037"
"Animals in County","2015Q3","Tipperary South","Number","313301"
"Animals in County","2015Q3","Waterford","Number","243231"
"Animals in County","2015Q3","Westmeath","Number","196791"
"Animals in County","2015Q3","Wexford","Number","272137"
"Animals in County","2015Q3","Wicklow E","Number","75527"
"Animals in County","2015Q3","Wicklow W","Number","42210"
"Animals in County","2015Q4","State","Number","6321196"
"Animals in County","2015Q4","Carlow","Number","95812"
"Animals in County","2015Q4","Cavan","Number","216720"
"Animals in County","2015Q4","Clare","Number","255634"
"Animals in County","2015Q4","Cork North","Number","520831"
"Animals in County","2015Q4","Cork South","Number","456079"
"Animals in County","2015Q4","Donegal","Number","169242"
"Animals in County","2015Q4","Dublin","Number","20820"
"Animals in County","2015Q4","Galway","Number","394334"
"Animals in County","2015Q4","Kerry","Number","310683"
"Animals in County","2015Q4","Kildare","Number","118193"
"Animals in County","2015Q4","Kilkenny","Number","321964"
"Animals in County","2015Q4","Laois","Number","228844"
"Animals in County","2015Q4","Leitrim","Number","68357"
"Animals in County","2015Q4","Limerick","Number","357777"
"Animals in County","2015Q4","Longford","Number","105926"
"Animals in County","2015Q4","Louth","Number","81508"
"Animals in County","2015Q4","Mayo","Number","248070"
"Animals in County","2015Q4","Meath","Number","263406"
"Animals in County","2015Q4","Monaghan","Number","197850"
"Animals in County","2015Q4","Offaly","Number","211417"
"Animals in County","2015Q4","Roscommon","Number","183236"
"Animals in County","2015Q4","Sligo","Number","102138"
"Animals in County","2015Q4","Tipperary North","Number","291575"
"Animals in County","2015Q4","Tipperary South","Number","291924"
"Animals in County","2015Q4","Waterford","Number","236327"
"Animals in County","2015Q4","Westmeath","Number","187070"
"Animals in County","2015Q4","Wexford","Number","271968"
"Animals in County","2015Q4","Wicklow E","Number","73333"
"Animals in County","2015Q4","Wicklow W","Number","40158"
"Animals in County","2016Q1","State","Number","6836243"
"Animals in County","2016Q1","Carlow","Number","102754"
"Animals in County","2016Q1","Cavan","Number","224415"
"Animals in County","2016Q1","Clare","Number","271896"
"Animals in County","2016Q1","Cork North","Number","590503"
"Animals in County","2016Q1","Cork South","Number","501815"
"Animals in County","2016Q1","Donegal","Number","176448"
"Animals in County","2016Q1","Dublin","Number","22099"
"Animals in County","2016Q1","Galway","Number","412180"
"Animals in County","2016Q1","Kerry","Number","343136"
"Animals in County","2016Q1","Kildare","Number","126170"
"Animals in County","2016Q1","Kilkenny","Number","353808"
"Animals in County","2016Q1","Laois","Number","245628"
"Animals in County","2016Q1","Leitrim","Number","66390"
"Animals in County","2016Q1","Limerick","Number","404685"
"Animals in County","2016Q1","Longford","Number","109319"
"Animals in County","2016Q1","Louth","Number","87759"
"Animals in County","2016Q1","Mayo","Number","257794"
"Animals in County","2016Q1","Meath","Number","280911"
"Animals in County","2016Q1","Monaghan","Number","205697"
"Animals in County","2016Q1","Offaly","Number","225357"
"Animals in County","2016Q1","Roscommon","Number","188426"
"Animals in County","2016Q1","Sligo","Number","105083"
"Animals in County","2016Q1","Tipperary North","Number","324321"
"Animals in County","2016Q1","Tipperary South","Number","335619"
"Animals in County","2016Q1","Waterford","Number","263878"
"Animals in County","2016Q1","Westmeath","Number","198050"
"Animals in County","2016Q1","Wexford","Number","292212"
"Animals in County","2016Q1","Wicklow E","Number","77693"
"Animals in County","2016Q1","Wicklow W","Number","42197"
"Animals in County","2016Q2","State","Number","7126461"
"Animals in County","2016Q2","Carlow","Number","104627"
"Animals in County","2016Q2","Cavan","Number","239076"
"Animals in County","2016Q2","Clare","Number","292687"
"Animals in County","2016Q2","Cork North","Number","588864"
"Animals in County","2016Q2","Cork South","Number","494512"
"Animals in County","2016Q2","Donegal","Number","186944"
"Animals in County","2016Q2","Dublin","Number","24781"
"Animals in County","2016Q2","Galway","Number","448963"
"Animals in County","2016Q2","Kerry","Number","350248"
"Animals in County","2016Q2","Kildare","Number","135632"
"Animals in County","2016Q2","Kilkenny","Number","357552"
"Animals in County","2016Q2","Laois","Number","249220"
"Animals in County","2016Q2","Leitrim","Number","75313"
"Animals in County","2016Q2","Limerick","Number","423092"
"Animals in County","2016Q2","Longford","Number","118835"
"Animals in County","2016Q2","Louth","Number","88935"
"Animals in County","2016Q2","Mayo","Number","286505"
"Animals in County","2016Q2","Meath","Number","300601"
"Animals in County","2016Q2","Monaghan","Number","215309"
"Animals in County","2016Q2","Offaly","Number","240032"
"Animals in County","2016Q2","Roscommon","Number","211322"
"Animals in County","2016Q2","Sligo","Number","116701"
"Animals in County","2016Q2","Tipperary North","Number","334736"
"Animals in County","2016Q2","Tipperary South","Number","347321"
"Animals in County","2016Q2","Waterford","Number","264781"
"Animals in County","2016Q2","Westmeath","Number","211683"
"Animals in County","2016Q2","Wexford","Number","292746"
"Animals in County","2016Q2","Wicklow E","Number","80671"
"Animals in County","2016Q2","Wicklow W","Number","44772"
"Animals in County","2016Q3","State","Number","6861487"
"Animals in County","2016Q3","Carlow","Number","101557"
"Animals in County","2016Q3","Cavan","Number","234303"
"Animals in County","2016Q3","Clare","Number","280566"
"Animals in County","2016Q3","Cork North","Number","562596"
"Animals in County","2016Q3","Cork South","Number","472784"
"Animals in County","2016Q3","Donegal","Number","181894"
"Animals in County","2016Q3","Dublin","Number","23617"
"Animals in County","2016Q3","Galway","Number","434452"
"Animals in County","2016Q3","Kerry","Number","334050"
"Animals in County","2016Q3","Kildare","Number","129116"
"Animals in County","2016Q3","Kilkenny","Number","344749"
"Animals in County","2016Q3","Laois","Number","243221"
"Animals in County","2016Q3","Leitrim","Number","75314"
"Animals in County","2016Q3","Limerick","Number","403976"
"Animals in County","2016Q3","Longford","Number","115023"
"Animals in County","2016Q3","Louth","Number","88511"
"Animals in County","2016Q3","Mayo","Number","275905"
"Animals in County","2016Q3","Meath","Number","289545"
"Animals in County","2016Q3","Monaghan","Number","210922"
"Animals in County","2016Q3","Offaly","Number","231270"
"Animals in County","2016Q3","Roscommon","Number","203509"
"Animals in County","2016Q3","Sligo","Number","111889"
"Animals in County","2016Q3","Tipperary North","Number","323293"
"Animals in County","2016Q3","Tipperary South","Number","328340"
"Animals in County","2016Q3","Waterford","Number","251639"
"Animals in County","2016Q3","Westmeath","Number","204147"
"Animals in County","2016Q3","Wexford","Number","283005"
"Animals in County","2016Q3","Wicklow E","Number","78251"
"Animals in County","2016Q3","Wicklow W","Number","44043"
"Animals in County","2016Q4","State","Number","6455934"
"Animals in County","2016Q4","Carlow","Number","98905"
"Animals in County","2016Q4","Cavan","Number","222871"
"Animals in County","2016Q4","Clare","Number","257768"
"Animals in County","2016Q4","Cork North","Number","530542"
"Animals in County","2016Q4","Cork South","Number","458753"
"Animals in County","2016Q4","Donegal","Number","170385"
"Animals in County","2016Q4","Dublin","Number","21363"
"Animals in County","2016Q4","Galway","Number","398962"
"Animals in County","2016Q4","Kerry","Number","311312"
"Animals in County","2016Q4","Kildare","Number","122601"
"Animals in County","2016Q4","Kilkenny","Number","328034"
"Animals in County","2016Q4","Laois","Number","236636"
"Animals in County","2016Q4","Leitrim","Number","68782"
"Animals in County","2016Q4","Limerick","Number","372799"
"Animals in County","2016Q4","Longford","Number","107843"
"Animals in County","2016Q4","Louth","Number","87879"
"Animals in County","2016Q4","Mayo","Number","247705"
"Animals in County","2016Q4","Meath","Number","274358"
"Animals in County","2016Q4","Monaghan","Number","202605"
"Animals in County","2016Q4","Offaly","Number","220693"
"Animals in County","2016Q4","Roscommon","Number","184407"
"Animals in County","2016Q4","Sligo","Number","101430"
"Animals in County","2016Q4","Tipperary North","Number","301269"
"Animals in County","2016Q4","Tipperary South","Number","300134"
"Animals in County","2016Q4","Waterford","Number","238378"
"Animals in County","2016Q4","Westmeath","Number","194099"
"Animals in County","2016Q4","Wexford","Number","277638"
"Animals in County","2016Q4","Wicklow E","Number","75768"
"Animals in County","2016Q4","Wicklow W","Number","42015"
"Animals in County","2017Q1","State","Number","6996589"
"Animals in County","2017Q1","Carlow","Number","105795"
"Animals in County","2017Q1","Cavan","Number","230186"
"Animals in County","2017Q1","Clare","Number","273667"
"Animals in County","2017Q1","Cork North","Number","604338"
"Animals in County","2017Q1","Cork South","Number","508642"
"Animals in County","2017Q1","Donegal","Number","176965"
"Animals in County","2017Q1","Dublin","Number","22228"
"Animals in County","2017Q1","Galway","Number","414989"
"Animals in County","2017Q1","Kerry","Number","342610"
"Animals in County","2017Q1","Kildare","Number","132119"
"Animals in County","2017Q1","Kilkenny","Number","366761"
"Animals in County","2017Q1","Laois","Number","255717"
"Animals in County","2017Q1","Leitrim","Number","66392"
"Animals in County","2017Q1","Limerick","Number","419780"
"Animals in County","2017Q1","Longford","Number","111172"
"Animals in County","2017Q1","Louth","Number","92640"
"Animals in County","2017Q1","Mayo","Number","254602"
"Animals in County","2017Q1","Meath","Number","293939"
"Animals in County","2017Q1","Monaghan","Number","210066"
"Animals in County","2017Q1","Offaly","Number","238328"
"Animals in County","2017Q1","Roscommon","Number","189424"
"Animals in County","2017Q1","Sligo","Number","104405"
"Animals in County","2017Q1","Tipperary North","Number","336273"
"Animals in County","2017Q1","Tipperary South","Number","346113"
"Animals in County","2017Q1","Waterford","Number","269704"
"Animals in County","2017Q1","Westmeath","Number","205212"
"Animals in County","2017Q1","Wexford","Number","299489"
"Animals in County","2017Q1","Wicklow E","Number","80670"
"Animals in County","2017Q1","Wicklow W","Number","44363"
"Animals in County","2017Q2","State","Number","7268234"
"Animals in County","2017Q2","Carlow","Number","108806"
"Animals in County","2017Q2","Cavan","Number","241086"
"Animals in County","2017Q2","Clare","Number","294214"
"Animals in County","2017Q2","Cork North","Number","602674"
"Animals in County","2017Q2","Cork South","Number","500315"
"Animals in County","2017Q2","Donegal","Number","184328"
"Animals in County","2017Q2","Dublin","Number","25292"
"Animals in County","2017Q2","Galway","Number","451102"
"Animals in County","2017Q2","Kerry","Number","345367"
"Animals in County","2017Q2","Kildare","Number","141771"
"Animals in County","2017Q2","Kilkenny","Number","373142"
"Animals in County","2017Q2","Laois","Number","262387"
"Animals in County","2017Q2","Leitrim","Number","73479"
"Animals in County","2017Q2","Limerick","Number","436640"
"Animals in County","2017Q2","Longford","Number","119194"
"Animals in County","2017Q2","Louth","Number","93837"
"Animals in County","2017Q2","Mayo","Number","283397"
"Animals in County","2017Q2","Meath","Number","310804"
"Animals in County","2017Q2","Monaghan","Number","217057"
"Animals in County","2017Q2","Offaly","Number","252625"
"Animals in County","2017Q2","Roscommon","Number","209861"
"Animals in County","2017Q2","Sligo","Number","115728"
"Animals in County","2017Q2","Tipperary North","Number","348910"
"Animals in County","2017Q2","Tipperary South","Number","357443"
"Animals in County","2017Q2","Waterford","Number","271369"
"Animals in County","2017Q2","Westmeath","Number","216620"
"Animals in County","2017Q2","Wexford","Number","301272"
"Animals in County","2017Q2","Wicklow E","Number","83453"
"Animals in County","2017Q2","Wicklow W","Number","46061"
"Animals in County","2017Q3","State","Number","6919729"
"Animals in County","2017Q3","Carlow","Number","104492"
"Animals in County","2017Q3","Cavan","Number","231684"
"Animals in County","2017Q3","Clare","Number","275651"
"Animals in County","2017Q3","Cork North","Number","570417"
"Animals in County","2017Q3","Cork South","Number","477035"
"Animals in County","2017Q3","Donegal","Number","178373"
"Animals in County","2017Q3","Dublin","Number","23602"
"Animals in County","2017Q3","Galway","Number","429885"
"Animals in County","2017Q3","Kerry","Number","324838"
"Animals in County","2017Q3","Kildare","Number","134678"
"Animals in County","2017Q3","Kilkenny","Number","361998"
"Animals in County","2017Q3","Laois","Number","255896"
"Animals in County","2017Q3","Leitrim","Number","72565"
"Animals in County","2017Q3","Limerick","Number","407342"
"Animals in County","2017Q3","Longford","Number","113834"
"Animals in County","2017Q3","Louth","Number","91319"
"Animals in County","2017Q3","Mayo","Number","269228"
"Animals in County","2017Q3","Meath","Number","293272"
"Animals in County","2017Q3","Monaghan","Number","210030"
"Animals in County","2017Q3","Offaly","Number","240422"
"Animals in County","2017Q3","Roscommon","Number","200475"
"Animals in County","2017Q3","Sligo","Number","108684"
"Animals in County","2017Q3","Tipperary North","Number","330980"
"Animals in County","2017Q3","Tipperary South","Number","332932"
"Animals in County","2017Q3","Waterford","Number","256958"
"Animals in County","2017Q3","Westmeath","Number","208124"
"Animals in County","2017Q3","Wexford","Number","290205"
"Animals in County","2017Q3","Wicklow E","Number","80349"
"Animals in County","2017Q3","Wicklow W","Number","44461"
"Animals in County","2017Q4","State","Number","6513273"
"Animals in County","2017Q4","Carlow","Number","102212"
"Animals in County","2017Q4","Cavan","Number","218219"
"Animals in County","2017Q4","Clare","Number","254680"
"Animals in County","2017Q4","Cork North","Number","540081"
"Animals in County","2017Q4","Cork South","Number","463720"
"Animals in County","2017Q4","Donegal","Number","168346"
"Animals in County","2017Q4","Dublin","Number","21356"
"Animals in County","2017Q4","Galway","Number","396072"
"Animals in County","2017Q4","Kerry","Number","305620"
"Animals in County","2017Q4","Kildare","Number","128022"
"Animals in County","2017Q4","Kilkenny","Number","340016"
"Animals in County","2017Q4","Laois","Number","247198"
"Animals in County","2017Q4","Leitrim","Number","65260"
"Animals in County","2017Q4","Limerick","Number","374261"
"Animals in County","2017Q4","Longford","Number","105363"
"Animals in County","2017Q4","Louth","Number","88669"
"Animals in County","2017Q4","Mayo","Number","243720"
"Animals in County","2017Q4","Meath","Number","276807"
"Animals in County","2017Q4","Monaghan","Number","200167"
"Animals in County","2017Q4","Offaly","Number","227137"
"Animals in County","2017Q4","Roscommon","Number","182036"
"Animals in County","2017Q4","Sligo","Number","99947"
"Animals in County","2017Q4","Tipperary North","Number","310390"
"Animals in County","2017Q4","Tipperary South","Number","307063"
"Animals in County","2017Q4","Waterford","Number","245055"
"Animals in County","2017Q4","Westmeath","Number","194813"
"Animals in County","2017Q4","Wexford","Number","287433"
"Animals in County","2017Q4","Wicklow E","Number","77855"
"Animals in County","2017Q4","Wicklow W","Number","41755"
"Animals in County","2018Q1","State","Number","7100940"
"Animals in County","2018Q1","Carlow","Number","109768"
"Animals in County","2018Q1","Cavan","Number","225834"
"Animals in County","2018Q1","Clare","Number","274142"
"Animals in County","2018Q1","Cork North","Number","622886"
"Animals in County","2018Q1","Cork South","Number","517256"
"Animals in County","2018Q1","Donegal","Number","174752"
"Animals in County","2018Q1","Dublin","Number","22605"
"Animals in County","2018Q1","Galway","Number","416797"
"Animals in County","2018Q1","Kerry","Number","341378"
"Animals in County","2018Q1","Kildare","Number","136476"
"Animals in County","2018Q1","Kilkenny","Number","378818"
"Animals in County","2018Q1","Laois","Number","266888"
"Animals in County","2018Q1","Leitrim","Number","63216"
"Animals in County","2018Q1","Limerick","Number","426753"
"Animals in County","2018Q1","Longford","Number","109359"
"Animals in County","2018Q1","Louth","Number","94258"
"Animals in County","2018Q1","Mayo","Number","254329"
"Animals in County","2018Q1","Meath","Number","296041"
"Animals in County","2018Q1","Monaghan","Number","207835"
"Animals in County","2018Q1","Offaly","Number","246216"
"Animals in County","2018Q1","Roscommon","Number","189026"
"Animals in County","2018Q1","Sligo","Number","102371"
"Animals in County","2018Q1","Tipperary North","Number","346527"
"Animals in County","2018Q1","Tipperary South","Number","354530"
"Animals in County","2018Q1","Waterford","Number","276542"
"Animals in County","2018Q1","Westmeath","Number","206361"
"Animals in County","2018Q1","Wexford","Number","311921"
"Animals in County","2018Q1","Wicklow E","Number","84027"
"Animals in County","2018Q1","Wicklow W","Number","44028"
"Animals in County","2018Q2","State","Number","7100940"
"Animals in County","2018Q2","Carlow","Number","109768"
"Animals in County","2018Q2","Cavan","Number","225834"
"Animals in County","2018Q2","Clare","Number","274142"
"Animals in County","2018Q2","Cork North","Number","622886"
"Animals in County","2018Q2","Cork South","Number","517256"
"Animals in County","2018Q2","Donegal","Number","174752"
"Animals in County","2018Q2","Dublin","Number","22605"
"Animals in County","2018Q2","Galway","Number","416797"
"Animals in County","2018Q2","Kerry","Number","341378"
"Animals in County","2018Q2","Kildare","Number","136476"
"Animals in County","2018Q2","Kilkenny","Number","378818"
"Animals in County","2018Q2","Laois","Number","266888"
"Animals in County","2018Q2","Leitrim","Number","63216"
"Animals in County","2018Q2","Limerick","Number","426753"
"Animals in County","2018Q2","Longford","Number","109359"
"Animals in County","2018Q2","Louth","Number","94258"
"Animals in County","2018Q2","Mayo","Number","254329"
"Animals in County","2018Q2","Meath","Number","296041"
"Animals in County","2018Q2","Monaghan","Number","207835"
"Animals in County","2018Q2","Offaly","Number","246216"
"Animals in County","2018Q2","Roscommon","Number","189026"
"Animals in County","2018Q2","Sligo","Number","102371"
"Animals in County","2018Q2","Tipperary North","Number","346527"
"Animals in County","2018Q2","Tipperary South","Number","354530"
"Animals in County","2018Q2","Waterford","Number","276542"
"Animals in County","2018Q2","Westmeath","Number","206361"
"Animals in County","2018Q2","Wexford","Number","311921"
"Animals in County","2018Q2","Wicklow E","Number","84027"
"Animals in County","2018Q2","Wicklow W","Number","44028"
"Animals in County","2018Q3","State","Number","6863019"
"Animals in County","2018Q3","Carlow","Number","103668"
"Animals in County","2018Q3","Cavan","Number","230032"
"Animals in County","2018Q3","Clare","Number","275331"
"Animals in County","2018Q3","Cork North","Number","566702"
"Animals in County","2018Q3","Cork South","Number","471149"
"Animals in County","2018Q3","Donegal","Number","178698"
"Animals in County","2018Q3","Dublin","Number","23595"
"Animals in County","2018Q3","Galway","Number","429434"
"Animals in County","2018Q3","Kerry","Number","327721"
"Animals in County","2018Q3","Kildare","Number","133658"
"Animals in County","2018Q3","Kilkenny","Number","349927"
"Animals in County","2018Q3","Laois","Number","256033"
"Animals in County","2018Q3","Leitrim","Number","71055"
"Animals in County","2018Q3","Limerick","Number","402193"
"Animals in County","2018Q3","Longford","Number","112800"
"Animals in County","2018Q3","Louth","Number","87596"
"Animals in County","2018Q3","Mayo","Number","266863"
"Animals in County","2018Q3","Meath","Number","289834"
"Animals in County","2018Q3","Monaghan","Number","206830"
"Animals in County","2018Q3","Offaly","Number","240732"
"Animals in County","2018Q3","Roscommon","Number","201375"
"Animals in County","2018Q3","Sligo","Number","107795"
"Animals in County","2018Q3","Tipperary North","Number","329205"
"Animals in County","2018Q3","Tipperary South","Number","328903"
"Animals in County","2018Q3","Waterford","Number","253602"
"Animals in County","2018Q3","Westmeath","Number","203854"
"Animals in County","2018Q3","Wexford","Number","289851"
"Animals in County","2018Q3","Wicklow E","Number","80357"
"Animals in County","2018Q3","Wicklow W","Number","44226"
"Animals in County","2018Q4","State","Number","6398745"
"Animals in County","2018Q4","Carlow","Number","99794"
"Animals in County","2018Q4","Cavan","Number","219665"
"Animals in County","2018Q4","Clare","Number","253863"
"Animals in County","2018Q4","Cork North","Number","526182"
"Animals in County","2018Q4","Cork South","Number","449698"
"Animals in County","2018Q4","Donegal","Number","172114"
"Animals in County","2018Q4","Dublin","Number","20766"
"Animals in County","2018Q4","Galway","Number","396452"
"Animals in County","2018Q4","Kerry","Number","308049"
"Animals in County","2018Q4","Kildare","Number","122371"
"Animals in County","2018Q4","Kilkenny","Number","326766"
"Animals in County","2018Q4","Laois","Number","242657"
"Animals in County","2018Q4","Leitrim","Number","66528"
"Animals in County","2018Q4","Limerick","Number","366277"
"Animals in County","2018Q4","Longford","Number","105303"
"Animals in County","2018Q4","Louth","Number","86266"
"Animals in County","2018Q4","Mayo","Number","243195"
"Animals in County","2018Q4","Meath","Number","269302"
"Animals in County","2018Q4","Monaghan","Number","197315"
"Animals in County","2018Q4","Offaly","Number","223666"
"Animals in County","2018Q4","Roscommon","Number","183128"
"Animals in County","2018Q4","Sligo","Number","99613"
"Animals in County","2018Q4","Tipperary North","Number","300869"
"Animals in County","2018Q4","Tipperary South","Number","296572"
"Animals in County","2018Q4","Waterford","Number","235893"
"Animals in County","2018Q4","Westmeath","Number","189233"
"Animals in County","2018Q4","Wexford","Number","279336"
"Animals in County","2018Q4","Wicklow E","Number","76017"
"Animals in County","2018Q4","Wicklow W","Number","41855"
"Animals in County","2019Q1","State","Number","6956436"
"Animals in County","2019Q1","Carlow","Number","106314"
"Animals in County","2019Q1","Cavan","Number","226469"
"Animals in County","2019Q1","Clare","Number","268854"
"Animals in County","2019Q1","Cork North","Number","601800"
"Animals in County","2019Q1","Cork South","Number","500260"
"Animals in County","2019Q1","Donegal","Number","177675"
"Animals in County","2019Q1","Dublin","Number","21845"
"Animals in County","2019Q1","Galway","Number","414320"
"Animals in County","2019Q1","Kerry","Number","342904"
"Animals in County","2019Q1","Kildare","Number","133032"
"Animals in County","2019Q1","Kilkenny","Number","365300"
"Animals in County","2019Q1","Laois","Number","260337"
"Animals in County","2019Q1","Leitrim","Number","63804"
"Animals in County","2019Q1","Limerick","Number","418028"
"Animals in County","2019Q1","Longford","Number","108695"
"Animals in County","2019Q1","Louth","Number","93159"
"Animals in County","2019Q1","Mayo","Number","250781"
"Animals in County","2019Q1","Meath","Number","290439"
"Animals in County","2019Q1","Monaghan","Number","205980"
"Animals in County","2019Q1","Offaly","Number","240532"
"Animals in County","2019Q1","Roscommon","Number","189159"
"Animals in County","2019Q1","Sligo","Number","102191"
"Animals in County","2019Q1","Tipperary North","Number","335549"
"Animals in County","2019Q1","Tipperary South","Number","343023"
"Animals in County","2019Q1","Waterford","Number","266692"
"Animals in County","2019Q1","Westmeath","Number","201877"
"Animals in County","2019Q1","Wexford","Number","302341"
"Animals in County","2019Q1","Wicklow E","Number","80751"
"Animals in County","2019Q1","Wicklow W","Number","44325"
"Animals in County","2019Q2","State","Number","7096549"
"Animals in County","2019Q2","Carlow","Number","105141"
"Animals in County","2019Q2","Cavan","Number","235742"
"Animals in County","2019Q2","Clare","Number","285578"
"Animals in County","2019Q2","Cork North","Number","587567"
"Animals in County","2019Q2","Cork South","Number","484024"
"Animals in County","2019Q2","Donegal","Number","184447"
"Animals in County","2019Q2","Dublin","Number","23635"
"Animals in County","2019Q2","Galway","Number","445026"
"Animals in County","2019Q2","Kerry","Number","344616"
"Animals in County","2019Q2","Kildare","Number","138702"
"Animals in County","2019Q2","Kilkenny","Number","358586"
"Animals in County","2019Q2","Laois","Number","257234"
"Animals in County","2019Q2","Leitrim","Number","71130"
"Animals in County","2019Q2","Limerick","Number","426750"
"Animals in County","2019Q2","Longford","Number","116115"
"Animals in County","2019Q2","Louth","Number","93082"
"Animals in County","2019Q2","Mayo","Number","276760"
"Animals in County","2019Q2","Meath","Number","301156"
"Animals in County","2019Q2","Monaghan","Number","213183"
"Animals in County","2019Q2","Offaly","Number","248532"
"Animals in County","2019Q2","Roscommon","Number","208006"
"Animals in County","2019Q2","Sligo","Number","112462"
"Animals in County","2019Q2","Tipperary North","Number","338386"
"Animals in County","2019Q2","Tipperary South","Number","346651"
"Animals in County","2019Q2","Waterford","Number","260226"
"Animals in County","2019Q2","Westmeath","Number","213703"
"Animals in County","2019Q2","Wexford","Number","293710"
"Animals in County","2019Q2","Wicklow E","Number","80878"
"Animals in County","2019Q2","Wicklow W","Number","45521"
"Animals in County","2019Q3","State","Number","6838107"
"Animals in County","2019Q3","Carlow","Number","101591"
"Animals in County","2019Q3","Cavan","Number","231550"
"Animals in County","2019Q3","Clare","Number","275039"
"Animals in County","2019Q3","Cork North","Number","562760"
"Animals in County","2019Q3","Cork South","Number","464974"
"Animals in County","2019Q3","Donegal","Number","179108"
"Animals in County","2019Q3","Dublin","Number","22387"
