,Statistic,Year,Agricultural Product,UNIT,VALUE
98,Agricultural Input and Output Price Indices,1997,All Energy (Input),Base 2000=100,78.2
99,Agricultural Input and Output Price Indices,1997,Energy - Motor Fuels  (Input),Base 2000=100,73.5
100,Agricultural Input and Output Price Indices,1997,Energy - Electricity  (Input),Base 2000=100,99.4
101,Agricultural Input and Output Price Indices,1997,Other Products  (Input),Base 2000=100,92.7
102,Agricultural Input and Output Price Indices,1997,Seeds  (Input),Base 2000=100,100.5
103,Agricultural Input and Output Price Indices,1997,Plant Protection Products (Input),Base 2000=100,100.4
104,Agricultural Input and Output Price Indices,1997,Veterinary Expenses (Including A.I.) (Input),Base 2000=100,92.3
105,Agricultural Input and Output Price Indices,1998,Total Index (Output),Base 2000=100,98.0
106,Agricultural Input and Output Price Indices,1998,Total Livestock and Livestock Products (Output),Base 2000=100,97.0
107,Agricultural Input and Output Price Indices,1998,Total Livestock Products (Output),Base 2000=100,101.1
108,Agricultural Input and Output Price Indices,1998,Milk (Output),Base 2000=100,101.1
109,Agricultural Input and Output Price Indices,1998,Total Livestock (Output),Base 2000=100,94.0
110,Agricultural Input and Output Price Indices,1998,Total Cattle (Output),Base 2000=100,93.4
111,Agricultural Input and Output Price Indices,1998,Finished Cattle (Output),Base 2000=100,93.4
112,Agricultural Input and Output Price Indices,1998,Cows for Slaughter (Output),Base 2000=100,98.8
113,Agricultural Input and Output Price Indices,1998,Store Cattle (Output),Base 2000=100,89.6
114,Agricultural Input and Output Price Indices,1998,Sheep (Output),Base 2000=100,96.5
115,Agricultural Input and Output Price Indices,1998,Pigs (Output),Base 2000=100,89.0
116,Agricultural Input and Output Price Indices,1998,Poultry (Output),Base 2000=100,104.0
117,Agricultural Input and Output Price Indices,1998,Total Crop Products (Output),Base 2000=100,104.7
118,Agricultural Input and Output Price Indices,1998,Cereals (Output),Base 2000=100,99.0
119,Agricultural Input and Output Price Indices,1998,Sugarbeet (Output),Base 2000=100,98.6
120,Agricultural Input and Output Price Indices,1998,Potatoes (Output),Base 2000=100,146.5
121,Agricultural Input and Output Price Indices,1998,Vegetables (Output),Base 2000=100,97.8
122,Agricultural Input and Output Price Indices,1998,Total Index (Input),Base 2000=100,93.0
123,Agricultural Input and Output Price Indices,1998,All Feeding Stuffs,Base 2000=100,98.6
124,Agricultural Input and Output Price Indices,1998,Straight Feeding Stuffs (Input),Base 2000=100,98.8
125,Agricultural Input and Output Price Indices,1998,Compound Feeding Stuffs - Calf (Input),Base 2000=100,100.8
126,Agricultural Input and Output Price Indices,1998,Compound Feeding Stuffs - Cattle (Input),Base 2000=100,98.3
127,Agricultural Input and Output Price Indices,1998,Compound Feeding Stuffs - Pig (Input),Base 2000=100,97.7
128,Agricultural Input and Output Price Indices,1998,Compound Feeding Stuffs - Poultry (Input),Base 2000=100,99.8
129,Agricultural Input and Output Price Indices,1998,All Fertilisers  (Input),Base 2000=100,91.3
130,Agricultural Input and Output Price Indices,1998,Straight Fertilisers  (Input),Base 2000=100,88.1
131,Agricultural Input and Output Price Indices,1998,Compound Fertilisers - N.P.K. (Input),Base 2000=100,93.4
132,Agricultural Input and Output Price Indices,1998,Compound Fertilisers - P.K. (Input),Base 2000=100,88.5
133,Agricultural Input and Output Price Indices,1998,All Energy (Input),Base 2000=100,75.9
134,Agricultural Input and Output Price Indices,1998,Energy - Motor Fuels  (Input),Base 2000=100,70.5
135,Agricultural Input and Output Price Indices,1998,Energy - Electricity  (Input),Base 2000=100,100.0
136,Agricultural Input and Output Price Indices,1998,Other Products  (Input),Base 2000=100,93.6
137,Agricultural Input and Output Price Indices,1998,Seeds  (Input),Base 2000=100,102.0
138,Agricultural Input and Output Price Indices,1998,Plant Protection Products (Input),Base 2000=100,100.8
139,Agricultural Input and Output Price Indices,1998,Veterinary Expenses (Including A.I.) (Input),Base 2000=100,94.7
140,Agricultural Input and Output Price Indices,1999,Total Index (Output),Base 2000=100,94.0
141,Agricultural Input and Output Price Indices,1999,Total Livestock and Livestock Products (Output),Base 2000=100,92.7
142,Agricultural Input and Output Price Indices,1999,Total Livestock Products (Output),Base 2000=100,98.2
143,Agricultural Input and Output Price Indices,1999,Milk (Output),Base 2000=100,98.4
144,Agricultural Input and Output Price Indices,1999,Total Livestock (Output),Base 2000=100,88.5
145,Agricultural Input and Output Price Indices,1999,Total Cattle (Output),Base 2000=100,89.1
146,Agricultural Input and Output Price Indices,1999,Finished Cattle (Output),Base 2000=100,90.9
147,Agricultural Input and Output Price Indices,1999,Cows for Slaughter (Output),Base 2000=100,87.6
148,Agricultural Input and Output Price Indices,1999,Store Cattle (Output),Base 2000=100,83.0
149,Agricultural Input and Output Price Indices,1999,Sheep (Output),Base 2000=100,88.7
150,Agricultural Input and Output Price Indices,1999,Pigs (Output),Base 2000=100,80.6
151,Agricultural Input and Output Price Indices,1999,Poultry (Output),Base 2000=100,98.6
152,Agricultural Input and Output Price Indices,1999,Total Crop Products (Output),Base 2000=100,103.3
153,Agricultural Input and Output Price Indices,1999,Cereals (Output),Base 2000=100,104.8
154,Agricultural Input and Output Price Indices,1999,Sugarbeet (Output),Base 2000=100,99.5
155,Agricultural Input and Output Price Indices,1999,Potatoes (Output),Base 2000=100,118.2
156,Agricultural Input and Output Price Indices,1999,Vegetables (Output),Base 2000=100,97.2
157,Agricultural Input and Output Price Indices,1999,Total Index (Input),Base 2000=100,94.1
158,Agricultural Input and Output Price Indices,1999,All Feeding Stuffs,Base 2000=100,97.4
159,Agricultural Input and Output Price Indices,1999,Straight Feeding Stuffs (Input),Base 2000=100,97.1
160,Agricultural Input and Output Price Indices,1999,Compound Feeding Stuffs - Calf (Input),Base 2000=100,97.9
161,Agricultural Input and Output Price Indices,1999,Compound Feeding Stuffs - Cattle (Input),Base 2000=100,96.5
162,Agricultural Input and Output Price Indices,1999,Compound Feeding Stuffs - Pig (Input),Base 2000=100,97.7
163,Agricultural Input and Output Price Indices,1999,Compound Feeding Stuffs - Poultry (Input),Base 2000=100,99.2
164,Agricultural Input and Output Price Indices,1999,All Fertilisers  (Input),Base 2000=100,93.3
165,Agricultural Input and Output Price Indices,1999,Straight Fertilisers  (Input),Base 2000=100,89.9
166,Agricultural Input and Output Price Indices,1999,Compound Fertilisers - N.P.K. (Input),Base 2000=100,94.5
167,Agricultural Input and Output Price Indices,1999,Compound Fertilisers - P.K. (Input),Base 2000=100,96.3
168,Agricultural Input and Output Price Indices,1999,All Energy (Input),Base 2000=100,80.2
169,Agricultural Input and Output Price Indices,1999,Energy - Motor Fuels  (Input),Base 2000=100,75.6
170,Agricultural Input and Output Price Indices,1999,Energy - Electricity  (Input),Base 2000=100,100.0
171,Agricultural Input and Output Price Indices,1999,Other Products  (Input),Base 2000=100,95.9
172,Agricultural Input and Output Price Indices,1999,Seeds  (Input),Base 2000=100,102.1
173,Agricultural Input and Output Price Indices,1999,Plant Protection Products (Input),Base 2000=100,100.6
174,Agricultural Input and Output Price Indices,1999,Veterinary Expenses (Including A.I.) (Input),Base 2000=100,95.9
175,Agricultural Input and Output Price Indices,2000,Total Index (Output),Base 2000=100,100.0
176,Agricultural Input and Output Price Indices,2000,Total Livestock and Livestock Products (Output),Base 2000=100,100.0
177,Agricultural Input and Output Price Indices,2000,Total Livestock Products (Output),Base 2000=100,100.0
178,Agricultural Input and Output Price Indices,2000,Milk (Output),Base 2000=100,100.0
179,Agricultural Input and Output Price Indices,2000,Total Livestock (Output),Base 2000=100,100.0
180,Agricultural Input and Output Price Indices,2000,Total Cattle (Output),Base 2000=100,100.0
181,Agricultural Input and Output Price Indices,2000,Finished Cattle (Output),Base 2000=100,100.0
182,Agricultural Input and Output Price Indices,2000,Cows for Slaughter (Output),Base 2000=100,100.0
183,Agricultural Input and Output Price Indices,2000,Store Cattle (Output),Base 2000=100,100.0
184,Agricultural Input and Output Price Indices,2000,Sheep (Output),Base 2000=100,100.0
185,Agricultural Input and Output Price Indices,2000,Pigs (Output),Base 2000=100,100.0
186,Agricultural Input and Output Price Indices,2000,Poultry (Output),Base 2000=100,100.0
187,Agricultural Input and Output Price Indices,2000,Total Crop Products (Output),Base 2000=100,100.0
188,Agricultural Input and Output Price Indices,2000,Cereals (Output),Base 2000=100,100.0
189,Agricultural Input and Output Price Indices,2000,Sugarbeet (Output),Base 2000=100,100.0
190,Agricultural Input and Output Price Indices,2000,Potatoes (Output),Base 2000=100,100.0
191,Agricultural Input and Output Price Indices,2000,Vegetables (Output),Base 2000=100,100.0
192,Agricultural Input and Output Price Indices,2000,Total Index (Input),Base 2000=100,100.0
193,Agricultural Input and Output Price Indices,2000,All Feeding Stuffs,Base 2000=100,100.0
194,Agricultural Input and Output Price Indices,2000,Straight Feeding Stuffs (Input),Base 2000=100,100.0
195,Agricultural Input and Output Price Indices,2000,Compound Feeding Stuffs - Calf (Input),Base 2000=100,100.0
196,Agricultural Input and Output Price Indices,2000,Compound Feeding Stuffs - Cattle (Input),Base 2000=100,100.0
197,Agricultural Input and Output Price Indices,2000,Compound Feeding Stuffs - Pig (Input),Base 2000=100,100.0
198,Agricultural Input and Output Price Indices,2000,Compound Feeding Stuffs - Poultry (Input),Base 2000=100,100.0
199,Agricultural Input and Output Price Indices,2000,All Fertilisers  (Input),Base 2000=100,100.0
200,Agricultural Input and Output Price Indices,2000,Straight Fertilisers  (Input),Base 2000=100,100.0
201,Agricultural Input and Output Price Indices,2000,Compound Fertilisers - N.P.K. (Input),Base 2000=100,100.0
202,Agricultural Input and Output Price Indices,2000,Compound Fertilisers - P.K. (Input),Base 2000=100,100.0
203,Agricultural Input and Output Price Indices,2000,All Energy (Input),Base 2000=100,100.0
204,Agricultural Input and Output Price Indices,2000,Energy - Motor Fuels  (Input),Base 2000=100,100.0
205,Agricultural Input and Output Price Indices,2000,Energy - Electricity  (Input),Base 2000=100,100.0
206,Agricultural Input and Output Price Indices,2000,Other Products  (Input),Base 2000=100,100.0
207,Agricultural Input and Output Price Indices,2000,Seeds  (Input),Base 2000=100,100.0
208,Agricultural Input and Output Price Indices,2000,Plant Protection Products (Input),Base 2000=100,100.0
209,Agricultural Input and Output Price Indices,2000,Veterinary Expenses (Including A.I.) (Input),Base 2000=100,100.0
210,Agricultural Input and Output Price Indices,2001,Total Index (Output),Base 2000=100,104.3
211,Agricultural Input and Output Price Indices,2001,Total Livestock and Livestock Products (Output),Base 2000=100,103.0
212,Agricultural Input and Output Price Indices,2001,Total Livestock Products (Output),Base 2000=100,104.2
213,Agricultural Input and Output Price Indices,2001,Milk (Output),Base 2000=100,104.3
214,Agricultural Input and Output Price Indices,2001,Total Livestock (Output),Base 2000=100,102.0
215,Agricultural Input and Output Price Indices,2001,Total Cattle (Output),Base 2000=100,92.3
216,Agricultural Input and Output Price Indices,2001,Finished Cattle (Output),Base 2000=100,92.4
217,Agricultural Input and Output Price Indices,2001,Cows for Slaughter (Output),Base 2000=100,86.7
218,Agricultural Input and Output Price Indices,2001,Store Cattle (Output),Base 2000=100,97.2
219,Agricultural Input and Output Price Indices,2001,Sheep (Output),Base 2000=100,142.8
220,Agricultural Input and Output Price Indices,2001,Pigs (Output),Base 2000=100,114.0
221,Agricultural Input and Output Price Indices,2001,Poultry (Output),Base 2000=100,103.1
222,Agricultural Input and Output Price Indices,2001,Total Crop Products (Output),Base 2000=100,112.2
223,Agricultural Input and Output Price Indices,2001,Cereals (Output),Base 2000=100,104.4
224,Agricultural Input and Output Price Indices,2001,Sugarbeet (Output),Base 2000=100,102.8
225,Agricultural Input and Output Price Indices,2001,Potatoes (Output),Base 2000=100,152.0
226,Agricultural Input and Output Price Indices,2001,Vegetables (Output),Base 2000=100,105.4
227,Agricultural Input and Output Price Indices,2001,Total Index (Input),Base 2000=100,104.8
228,Agricultural Input and Output Price Indices,2001,All Feeding Stuffs,Base 2000=100,105.0
229,Agricultural Input and Output Price Indices,2001,Straight Feeding Stuffs (Input),Base 2000=100,102.1
230,Agricultural Input and Output Price Indices,2001,Compound Feeding Stuffs - Calf (Input),Base 2000=100,103.9
231,Agricultural Input and Output Price Indices,2001,Compound Feeding Stuffs - Cattle (Input),Base 2000=100,106.4
232,Agricultural Input and Output Price Indices,2001,Compound Feeding Stuffs - Pig (Input),Base 2000=100,104.1
233,Agricultural Input and Output Price Indices,2001,Compound Feeding Stuffs - Poultry (Input),Base 2000=100,104.1
234,Agricultural Input and Output Price Indices,2001,All Fertilisers  (Input),Base 2000=100,113.4
235,Agricultural Input and Output Price Indices,2001,Straight Fertilisers  (Input),Base 2000=100,118.6
236,Agricultural Input and Output Price Indices,2001,Compound Fertilisers - N.P.K. (Input),Base 2000=100,111.6
237,Agricultural Input and Output Price Indices,2001,Compound Fertilisers - P.K. (Input),Base 2000=100,104.5
238,Agricultural Input and Output Price Indices,2001,All Energy (Input),Base 2000=100,97.1
239,Agricultural Input and Output Price Indices,2001,Energy - Motor Fuels  (Input),Base 2000=100,95.8
240,Agricultural Input and Output Price Indices,2001,Energy - Electricity  (Input),Base 2000=100,101.5
241,Agricultural Input and Output Price Indices,2001,Other Products  (Input),Base 2000=100,105.9
242,Agricultural Input and Output Price Indices,2001,Seeds  (Input),Base 2000=100,103.7
243,Agricultural Input and Output Price Indices,2001,Plant Protection Products (Input),Base 2000=100,100.8
244,Agricultural Input and Output Price Indices,2001,Veterinary Expenses (Including A.I.) (Input),Base 2000=100,104.7
245,Agricultural Input and Output Price Indices,2002,Total Index (Output),Base 2000=100,100.0
246,Agricultural Input and Output Price Indices,2002,Total Livestock and Livestock Products (Output),Base 2000=100,98.2
247,Agricultural Input and Output Price Indices,2002,Total Livestock Products (Output),Base 2000=100,97.0
248,Agricultural Input and Output Price Indices,2002,Milk (Output),Base 2000=100,97.1
249,Agricultural Input and Output Price Indices,2002,Total Livestock (Output),Base 2000=100,99.0
