"Statistic","Month","Type of Fertiliser","UNIT","VALUE"
"Fertiliser Price","1980M07","Compound 19-0-15","Euro per Tonne",""
"Fertiliser Price","1980M07","Compound 25-4-0","Euro per Tonne",""
"Fertiliser Price","1980M08","Calcium Ammonium Nitrate (27.5% N)","Euro per Tonne","130"
"Fertiliser Price","1980M08","Urea (46% N)","Euro per Tonne","167"
"Fertiliser Price","1980M08","Granular Superphosphate (16% P)","Euro per Tonne","175"
"Fertiliser Price","1980M08","Muriate of Potash (50% K)","Euro per Tonne","115"
"Fertiliser Price","1980M08","Compound 0-10-20","Euro per Tonne","135"
"Fertiliser Price","1980M08","Compound 0-7-30","Euro per Tonne","133"
"Fertiliser Price","1980M08","Compound 7-6-17","Euro per Tonne","169"
"Fertiliser Price","1980M08","Compound 10-10-20","Euro per Tonne","172"
"Fertiliser Price","1980M08","Compound 14-7-14","Euro per Tonne","166"
"Fertiliser Price","1980M08","Compound 18-6-12","Euro per Tonne","166"
"Fertiliser Price","1980M08","Compound 24-2.5-10","Euro per Tonne","168"
"Fertiliser Price","1980M08","Compound 27-2.5-5","Euro per Tonne","164"
"Fertiliser Price","1980M08","Sulphate of Potash (42% K)","Euro per Tonne",""
"Fertiliser Price","1980M08","Compound 8-5-18","Euro per Tonne",""
"Fertiliser Price","1980M08","Compound 20-4-10","Euro per Tonne",""
"Fertiliser Price","1980M08","Sulphate of Ammonia (21%)","Euro per Tonne",""
"Fertiliser Price","1980M08","Ammonium Sulphate Nitrate (26%)","Euro per Tonne",""
"Fertiliser Price","1980M08","Compound 10-5-25","Euro per Tonne",""
"Fertiliser Price","1980M08","Compound 13-6-20","Euro per Tonne",""
"Fertiliser Price","1980M08","Compound 15-3-20","Euro per Tonne",""
"Fertiliser Price","1980M08","Compound 24-2.2-10","Euro per Tonne",""
"Fertiliser Price","1980M08","Compound 24-2.2-4.5","Euro per Tonne",""
"Fertiliser Price","1980M08","Compound 19-0-15","Euro per Tonne",""
"Fertiliser Price","1980M08","Compound 25-4-0","Euro per Tonne",""
"Fertiliser Price","1980M09","Calcium Ammonium Nitrate (27.5% N)","Euro per Tonne","124"
"Fertiliser Price","1980M09","Urea (46% N)","Euro per Tonne","166"
"Fertiliser Price","1980M09","Granular Superphosphate (16% P)","Euro per Tonne","178"
"Fertiliser Price","1980M09","Muriate of Potash (50% K)","Euro per Tonne","118"
"Fertiliser Price","1980M09","Compound 0-10-20","Euro per Tonne","146"
"Fertiliser Price","1980M09","Compound 0-7-30","Euro per Tonne","144"
"Fertiliser Price","1980M09","Compound 7-6-17","Euro per Tonne","172"
"Fertiliser Price","1980M09","Compound 10-10-20","Euro per Tonne","183"
"Fertiliser Price","1980M09","Compound 14-7-14","Euro per Tonne","174"
"Fertiliser Price","1980M09","Compound 18-6-12","Euro per Tonne","174"
"Fertiliser Price","1980M09","Compound 24-2.5-10","Euro per Tonne","170"
"Fertiliser Price","1980M09","Compound 27-2.5-5","Euro per Tonne","166"
"Fertiliser Price","1980M09","Sulphate of Potash (42% K)","Euro per Tonne",""
"Fertiliser Price","1980M09","Compound 8-5-18","Euro per Tonne",""
"Fertiliser Price","1980M09","Compound 20-4-10","Euro per Tonne",""
"Fertiliser Price","1980M09","Sulphate of Ammonia (21%)","Euro per Tonne",""
"Fertiliser Price","1980M09","Ammonium Sulphate Nitrate (26%)","Euro per Tonne",""
"Fertiliser Price","1980M09","Compound 10-5-25","Euro per Tonne",""
"Fertiliser Price","1980M09","Compound 13-6-20","Euro per Tonne",""
"Fertiliser Price","1980M09","Compound 15-3-20","Euro per Tonne",""
"Fertiliser Price","1980M09","Compound 24-2.2-10","Euro per Tonne",""
"Fertiliser Price","1980M09","Compound 24-2.2-4.5","Euro per Tonne",""
"Fertiliser Price","1980M09","Compound 19-0-15","Euro per Tonne",""
"Fertiliser Price","1980M09","Compound 25-4-0","Euro per Tonne",""
"Fertiliser Price","1980M10","Calcium Ammonium Nitrate (27.5% N)","Euro per Tonne","124"
"Fertiliser Price","1980M10","Urea (46% N)","Euro per Tonne","167"
"Fertiliser Price","1980M10","Granular Superphosphate (16% P)","Euro per Tonne","181"
"Fertiliser Price","1980M10","Muriate of Potash (50% K)","Euro per Tonne","117"
"Fertiliser Price","1980M10","Compound 0-10-20","Euro per Tonne","148"
