"Statistic","Month","Type of Fertiliser","UNIT","VALUE"
"Fertiliser Price","2006M07","Calcium Ammonium Nitrate (27.5% N)","Euro per Tonne","228"
"Fertiliser Price","2006M07","Urea (46% N)","Euro per Tonne","312"
"Fertiliser Price","2006M07","Granular Superphosphate (16% P)","Euro per Tonne","288"
"Fertiliser Price","2006M07","Muriate of Potash (50% K)","Euro per Tonne","251"
"Fertiliser Price","2006M07","Compound 0-10-20","Euro per Tonne","227"
"Fertiliser Price","2006M07","Compound 0-7-30","Euro per Tonne","227"
"Fertiliser Price","2006M07","Compound 7-6-17","Euro per Tonne",""
"Fertiliser Price","2006M07","Compound 10-10-20","Euro per Tonne","285"
"Fertiliser Price","2006M07","Compound 14-7-14","Euro per Tonne","277"
"Fertiliser Price","2006M07","Compound 18-6-12","Euro per Tonne","272"
"Fertiliser Price","2006M07","Compound 24-2.5-10","Euro per Tonne","274"
"Fertiliser Price","2006M07","Compound 27-2.5-5","Euro per Tonne","272"
"Fertiliser Price","2006M07","Sulphate of Potash (42% K)","Euro per Tonne",""
"Fertiliser Price","2006M07","Compound 8-5-18","Euro per Tonne",""
"Fertiliser Price","2006M07","Compound 20-4-10","Euro per Tonne",""
"Fertiliser Price","2006M07","Sulphate of Ammonia (21%)","Euro per Tonne",""
"Fertiliser Price","2006M07","Ammonium Sulphate Nitrate (26%)","Euro per Tonne",""
"Fertiliser Price","2006M07","Compound 10-5-25","Euro per Tonne",""
"Fertiliser Price","2006M07","Compound 13-6-20","Euro per Tonne",""
"Fertiliser Price","2006M07","Compound 15-3-20","Euro per Tonne",""
"Fertiliser Price","2006M07","Compound 24-2.2-10","Euro per Tonne",""
"Fertiliser Price","2006M07","Compound 24-2.2-4.5","Euro per Tonne",""
"Fertiliser Price","2006M07","Compound 19-0-15","Euro per Tonne",""
"Fertiliser Price","2006M07","Compound 25-4-0","Euro per Tonne",""
"Fertiliser Price","2006M08","Calcium Ammonium Nitrate (27.5% N)","Euro per Tonne","227"
"Fertiliser Price","2006M08","Urea (46% N)","Euro per Tonne","312"
"Fertiliser Price","2006M08","Granular Superphosphate (16% P)","Euro per Tonne","288"
"Fertiliser Price","2006M08","Muriate of Potash (50% K)","Euro per Tonne","251"
"Fertiliser Price","2006M08","Compound 0-10-20","Euro per Tonne","227"
"Fertiliser Price","2006M08","Compound 0-7-30","Euro per Tonne","227"
"Fertiliser Price","2006M08","Compound 7-6-17","Euro per Tonne",""
"Fertiliser Price","2006M08","Compound 10-10-20","Euro per Tonne","285"
"Fertiliser Price","2006M08","Compound 14-7-14","Euro per Tonne","277"
"Fertiliser Price","2006M08","Compound 18-6-12","Euro per Tonne","272"
"Fertiliser Price","2006M08","Compound 24-2.5-10","Euro per Tonne","274"
"Fertiliser Price","2006M08","Compound 27-2.5-5","Euro per Tonne","272"
"Fertiliser Price","2006M08","Sulphate of Potash (42% K)","Euro per Tonne",""
"Fertiliser Price","2006M08","Compound 8-5-18","Euro per Tonne",""
"Fertiliser Price","2006M08","Compound 20-4-10","Euro per Tonne",""
"Fertiliser Price","2006M08","Sulphate of Ammonia (21%)","Euro per Tonne",""
"Fertiliser Price","2006M08","Ammonium Sulphate Nitrate (26%)","Euro per Tonne",""
"Fertiliser Price","2006M08","Compound 10-5-25","Euro per Tonne",""
"Fertiliser Price","2006M08","Compound 13-6-20","Euro per Tonne",""
"Fertiliser Price","2006M08","Compound 15-3-20","Euro per Tonne",""
"Fertiliser Price","2006M08","Compound 24-2.2-10","Euro per Tonne",""
"Fertiliser Price","2006M08","Compound 24-2.2-4.5","Euro per Tonne",""
"Fertiliser Price","2006M08","Compound 19-0-15","Euro per Tonne",""
"Fertiliser Price","2006M08","Compound 25-4-0","Euro per Tonne",""
"Fertiliser Price","2006M09","Calcium Ammonium Nitrate (27.5% N)","Euro per Tonne","227"
"Fertiliser Price","2006M09","Urea (46% N)","Euro per Tonne","313"
"Fertiliser Price","2006M09","Granular Superphosphate (16% P)","Euro per Tonne","288"
"Fertiliser Price","2006M09","Muriate of Potash (50% K)","Euro per Tonne","251"
"Fertiliser Price","2006M09","Compound 0-10-20","Euro per Tonne","227"
"Fertiliser Price","2006M09","Compound 0-7-30","Euro per Tonne","227"
"Fertiliser Price","2006M09","Compound 7-6-17","Euro per Tonne",""
"Fertiliser Price","2006M09","Compound 10-10-20","Euro per Tonne","285"
"Fertiliser Price","2006M09","Compound 14-7-14","Euro per Tonne","277"
"Fertiliser Price","2006M09","Compound 18-6-12","Euro per Tonne","272"
"Fertiliser Price","2006M09","Compound 24-2.5-10","Euro per Tonne","274"
"Fertiliser Price","2006M09","Compound 27-2.5-5","Euro per Tonne","271"
"Fertiliser Price","2006M09","Sulphate of Potash (42% K)","Euro per Tonne",""
"Fertiliser Price","2006M09","Compound 8-5-18","Euro per Tonne",""
"Fertiliser Price","2006M09","Compound 20-4-10","Euro per Tonne",""
"Fertiliser Price","2006M09","Sulphate of Ammonia (21%)","Euro per Tonne",""
"Fertiliser Price","2006M09","Ammonium Sulphate Nitrate (26%)","Euro per Tonne",""
"Fertiliser Price","2006M09","Compound 10-5-25","Euro per Tonne",""
"Fertiliser Price","2006M09","Compound 13-6-20","Euro per Tonne",""
"Fertiliser Price","2006M09","Compound 15-3-20","Euro per Tonne",""
"Fertiliser Price","2006M09","Compound 24-2.2-10","Euro per Tonne",""
"Fertiliser Price","2006M09","Compound 24-2.2-4.5","Euro per Tonne",""
"Fertiliser Price","2006M09","Compound 19-0-15","Euro per Tonne",""
"Fertiliser Price","2006M09","Compound 25-4-0","Euro per Tonne",""
"Fertiliser Price","2006M10","Calcium Ammonium Nitrate (27.5% N)","Euro per Tonne","227"
"Fertiliser Price","2006M10","Urea (46% N)","Euro per Tonne","313"
"Fertiliser Price","2006M10","Granular Superphosphate (16% P)","Euro per Tonne","289"
"Fertiliser Price","2006M10","Muriate of Potash (50% K)","Euro per Tonne","251"
"Fertiliser Price","2006M10","Compound 0-10-20","Euro per Tonne","228"
"Fertiliser Price","2006M10","Compound 0-7-30","Euro per Tonne","227"
"Fertiliser Price","2006M10","Compound 7-6-17","Euro per Tonne",""
"Fertiliser Price","2006M10","Compound 10-10-20","Euro per Tonne","284"
"Fertiliser Price","2006M10","Compound 14-7-14","Euro per Tonne","277"
"Fertiliser Price","2006M10","Compound 18-6-12","Euro per Tonne","271"
"Fertiliser Price","2006M10","Compound 24-2.5-10","Euro per Tonne","274"
"Fertiliser Price","2006M10","Compound 27-2.5-5","Euro per Tonne","271"
"Fertiliser Price","2006M10","Sulphate of Potash (42% K)","Euro per Tonne",""
"Fertiliser Price","2006M10","Compound 8-5-18","Euro per Tonne",""
"Fertiliser Price","2006M10","Compound 20-4-10","Euro per Tonne",""
"Fertiliser Price","2006M10","Sulphate of Ammonia (21%)","Euro per Tonne",""
"Fertiliser Price","2006M10","Ammonium Sulphate Nitrate (26%)","Euro per Tonne",""
"Fertiliser Price","2006M10","Compound 10-5-25","Euro per Tonne",""
"Fertiliser Price","2006M10","Compound 13-6-20","Euro per Tonne",""
"Fertiliser Price","2006M10","Compound 15-3-20","Euro per Tonne",""
"Fertiliser Price","2006M10","Compound 24-2.2-10","Euro per Tonne",""
"Fertiliser Price","2006M10","Compound 24-2.2-4.5","Euro per Tonne",""
"Fertiliser Price","2006M10","Compound 19-0-15","Euro per Tonne",""
"Fertiliser Price","2006M10","Compound 25-4-0","Euro per Tonne",""
"Fertiliser Price","2006M11","Calcium Ammonium Nitrate (27.5% N)","Euro per Tonne","228"
"Fertiliser Price","2006M11","Urea (46% N)","Euro per Tonne","311"
"Fertiliser Price","2006M11","Granular Superphosphate (16% P)","Euro per Tonne","292"
"Fertiliser Price","2006M11","Muriate of Potash (50% K)","Euro per Tonne","252"
"Fertiliser Price","2006M11","Compound 0-10-20","Euro per Tonne","229"
"Fertiliser Price","2006M11","Compound 0-7-30","Euro per Tonne","228"
"Fertiliser Price","2006M11","Compound 7-6-17","Euro per Tonne",""
"Fertiliser Price","2006M11","Compound 10-10-20","Euro per Tonne","284"
"Fertiliser Price","2006M11","Compound 14-7-14","Euro per Tonne","274"
"Fertiliser Price","2006M11","Compound 18-6-12","Euro per Tonne","271"
"Fertiliser Price","2006M11","Compound 24-2.5-10","Euro per Tonne","274"
"Fertiliser Price","2006M11","Compound 27-2.5-5","Euro per Tonne","271"
"Fertiliser Price","2006M11","Sulphate of Potash (42% K)","Euro per Tonne",""
"Fertiliser Price","2006M11","Compound 8-5-18","Euro per Tonne",""
"Fertiliser Price","2006M11","Compound 20-4-10","Euro per Tonne",""
"Fertiliser Price","2006M11","Sulphate of Ammonia (21%)","Euro per Tonne",""
"Fertiliser Price","2006M11","Ammonium Sulphate Nitrate (26%)","Euro per Tonne",""
"Fertiliser Price","2006M11","Compound 10-5-25","Euro per Tonne",""
"Fertiliser Price","2006M11","Compound 13-6-20","Euro per Tonne",""
"Fertiliser Price","2006M11","Compound 15-3-20","Euro per Tonne",""
"Fertiliser Price","2006M11","Compound 24-2.2-10","Euro per Tonne",""
"Fertiliser Price","2006M11","Compound 24-2.2-4.5","Euro per Tonne",""
"Fertiliser Price","2006M11","Compound 19-0-15","Euro per Tonne",""
"Fertiliser Price","2006M11","Compound 25-4-0","Euro per Tonne",""
"Fertiliser Price","2006M12","Calcium Ammonium Nitrate (27.5% N)","Euro per Tonne","228"
"Fertiliser Price","2006M12","Urea (46% N)","Euro per Tonne","310"
"Fertiliser Price","2006M12","Granular Superphosphate (16% P)","Euro per Tonne","289"
"Fertiliser Price","2006M12","Muriate of Potash (50% K)","Euro per Tonne","251"
"Fertiliser Price","2006M12","Compound 0-10-20","Euro per Tonne","229"
"Fertiliser Price","2006M12","Compound 0-7-30","Euro per Tonne","228"
"Fertiliser Price","2006M12","Compound 7-6-17","Euro per Tonne",""
"Fertiliser Price","2006M12","Compound 10-10-20","Euro per Tonne","284"
"Fertiliser Price","2006M12","Compound 14-7-14","Euro per Tonne","277"
"Fertiliser Price","2006M12","Compound 18-6-12","Euro per Tonne","272"
"Fertiliser Price","2006M12","Compound 24-2.5-10","Euro per Tonne","275"
"Fertiliser Price","2006M12","Compound 27-2.5-5","Euro per Tonne","272"
"Fertiliser Price","2006M12","Sulphate of Potash (42% K)","Euro per Tonne",""
"Fertiliser Price","2006M12","Compound 8-5-18","Euro per Tonne",""
"Fertiliser Price","2006M12","Compound 20-4-10","Euro per Tonne",""
"Fertiliser Price","2006M12","Sulphate of Ammonia (21%)","Euro per Tonne",""
"Fertiliser Price","2006M12","Ammonium Sulphate Nitrate (26%)","Euro per Tonne",""
"Fertiliser Price","2006M12","Compound 10-5-25","Euro per Tonne",""
"Fertiliser Price","2006M12","Compound 13-6-20","Euro per Tonne",""
"Fertiliser Price","2006M12","Compound 15-3-20","Euro per Tonne",""
"Fertiliser Price","2006M12","Compound 24-2.2-10","Euro per Tonne",""
"Fertiliser Price","2006M12","Compound 24-2.2-4.5","Euro per Tonne",""
"Fertiliser Price","2006M12","Compound 19-0-15","Euro per Tonne",""
"Fertiliser Price","2006M12","Compound 25-4-0","Euro per Tonne",""
"Fertiliser Price","2007M01","Calcium Ammonium Nitrate (27.5% N)","Euro per Tonne","230"
"Fertiliser Price","2007M01","Urea (46% N)","Euro per Tonne","310"
"Fertiliser Price","2007M01","Granular Superphosphate (16% P)","Euro per Tonne","290"
"Fertiliser Price","2007M01","Muriate of Potash (50% K)","Euro per Tonne","252"
"Fertiliser Price","2007M01","Compound 0-10-20","Euro per Tonne","231"
"Fertiliser Price","2007M01","Compound 0-7-30","Euro per Tonne","230"
"Fertiliser Price","2007M01","Compound 7-6-17","Euro per Tonne",""
"Fertiliser Price","2007M01","Compound 10-10-20","Euro per Tonne","286"
"Fertiliser Price","2007M01","Compound 14-7-14","Euro per Tonne","281"
"Fertiliser Price","2007M01","Compound 18-6-12","Euro per Tonne","273"
"Fertiliser Price","2007M01","Compound 24-2.5-10","Euro per Tonne","276"
"Fertiliser Price","2007M01","Compound 27-2.5-5","Euro per Tonne","273"
"Fertiliser Price","2007M01","Sulphate of Potash (42% K)","Euro per Tonne",""
"Fertiliser Price","2007M01","Compound 8-5-18","Euro per Tonne",""
"Fertiliser Price","2007M01","Compound 20-4-10","Euro per Tonne",""
"Fertiliser Price","2007M01","Sulphate of Ammonia (21%)","Euro per Tonne",""
"Fertiliser Price","2007M01","Ammonium Sulphate Nitrate (26%)","Euro per Tonne",""
"Fertiliser Price","2007M01","Compound 10-5-25","Euro per Tonne",""
"Fertiliser Price","2007M01","Compound 13-6-20","Euro per Tonne",""
"Fertiliser Price","2007M01","Compound 15-3-20","Euro per Tonne",""
"Fertiliser Price","2007M01","Compound 24-2.2-10","Euro per Tonne",""
"Fertiliser Price","2007M01","Compound 24-2.2-4.5","Euro per Tonne",""
"Fertiliser Price","2007M01","Compound 19-0-15","Euro per Tonne",""
"Fertiliser Price","2007M01","Compound 25-4-0","Euro per Tonne",""
"Fertiliser Price","2007M02","Calcium Ammonium Nitrate (27.5% N)","Euro per Tonne","231"
"Fertiliser Price","2007M02","Urea (46% N)","Euro per Tonne","310"
"Fertiliser Price","2007M02","Granular Superphosphate (16% P)","Euro per Tonne","290"
"Fertiliser Price","2007M02","Muriate of Potash (50% K)","Euro per Tonne","255"
"Fertiliser Price","2007M02","Compound 0-10-20","Euro per Tonne","232"
"Fertiliser Price","2007M02","Compound 0-7-30","Euro per Tonne","232"
"Fertiliser Price","2007M02","Compound 7-6-17","Euro per Tonne",""
"Fertiliser Price","2007M02","Compound 10-10-20","Euro per Tonne","286"
"Fertiliser Price","2007M02","Compound 14-7-14","Euro per Tonne","281"
"Fertiliser Price","2007M02","Compound 18-6-12","Euro per Tonne","273"
"Fertiliser Price","2007M02","Compound 24-2.5-10","Euro per Tonne","276"
"Fertiliser Price","2007M02","Compound 27-2.5-5","Euro per Tonne","273"
"Fertiliser Price","2007M02","Sulphate of Potash (42% K)","Euro per Tonne",""
"Fertiliser Price","2007M02","Compound 8-5-18","Euro per Tonne",""
"Fertiliser Price","2007M02","Compound 20-4-10","Euro per Tonne",""
"Fertiliser Price","2007M02","Sulphate of Ammonia (21%)","Euro per Tonne",""
"Fertiliser Price","2007M02","Ammonium Sulphate Nitrate (26%)","Euro per Tonne",""
"Fertiliser Price","2007M02","Compound 10-5-25","Euro per Tonne",""
"Fertiliser Price","2007M02","Compound 13-6-20","Euro per Tonne",""
"Fertiliser Price","2007M02","Compound 15-3-20","Euro per Tonne",""
"Fertiliser Price","2007M02","Compound 24-2.2-10","Euro per Tonne",""
"Fertiliser Price","2007M02","Compound 24-2.2-4.5","Euro per Tonne",""
"Fertiliser Price","2007M02","Compound 19-0-15","Euro per Tonne",""
"Fertiliser Price","2007M02","Compound 25-4-0","Euro per Tonne",""
"Fertiliser Price","2007M03","Calcium Ammonium Nitrate (27.5% N)","Euro per Tonne","233"
"Fertiliser Price","2007M03","Urea (46% N)","Euro per Tonne","311"
"Fertiliser Price","2007M03","Granular Superphosphate (16% P)","Euro per Tonne","290"
"Fertiliser Price","2007M03","Muriate of Potash (50% K)","Euro per Tonne","257"
"Fertiliser Price","2007M03","Compound 0-10-20","Euro per Tonne","234"
"Fertiliser Price","2007M03","Compound 0-7-30","Euro per Tonne","233"
"Fertiliser Price","2007M03","Compound 7-6-17","Euro per Tonne",""
"Fertiliser Price","2007M03","Compound 10-10-20","Euro per Tonne","288"
"Fertiliser Price","2007M03","Compound 14-7-14","Euro per Tonne","281"
"Fertiliser Price","2007M03","Compound 18-6-12","Euro per Tonne","273"
"Fertiliser Price","2007M03","Compound 24-2.5-10","Euro per Tonne","277"
"Fertiliser Price","2007M03","Compound 27-2.5-5","Euro per Tonne","274"
"Fertiliser Price","2007M03","Sulphate of Potash (42% K)","Euro per Tonne",""
"Fertiliser Price","2007M03","Compound 8-5-18","Euro per Tonne",""
"Fertiliser Price","2007M03","Compound 20-4-10","Euro per Tonne",""
"Fertiliser Price","2007M03","Sulphate of Ammonia (21%)","Euro per Tonne",""
"Fertiliser Price","2007M03","Ammonium Sulphate Nitrate (26%)","Euro per Tonne",""
"Fertiliser Price","2007M03","Compound 10-5-25","Euro per Tonne",""
"Fertiliser Price","2007M03","Compound 13-6-20","Euro per Tonne",""
"Fertiliser Price","2007M03","Compound 15-3-20","Euro per Tonne",""
"Fertiliser Price","2007M03","Compound 24-2.2-10","Euro per Tonne",""
"Fertiliser Price","2007M03","Compound 24-2.2-4.5","Euro per Tonne",""
"Fertiliser Price","2007M03","Compound 19-0-15","Euro per Tonne",""
"Fertiliser Price","2007M03","Compound 25-4-0","Euro per Tonne",""
"Fertiliser Price","2007M04","Calcium Ammonium Nitrate (27.5% N)","Euro per Tonne","233"
"Fertiliser Price","2007M04","Urea (46% N)","Euro per Tonne","311"
"Fertiliser Price","2007M04","Granular Superphosphate (16% P)","Euro per Tonne","290"
"Fertiliser Price","2007M04","Muriate of Potash (50% K)","Euro per Tonne","257"
"Fertiliser Price","2007M04","Compound 0-10-20","Euro per Tonne","234"
"Fertiliser Price","2007M04","Compound 0-7-30","Euro per Tonne","234"
"Fertiliser Price","2007M04","Compound 7-6-17","Euro per Tonne",""
"Fertiliser Price","2007M04","Compound 10-10-20","Euro per Tonne","288"
"Fertiliser Price","2007M04","Compound 14-7-14","Euro per Tonne","281"
"Fertiliser Price","2007M04","Compound 18-6-12","Euro per Tonne","274"
"Fertiliser Price","2007M04","Compound 24-2.5-10","Euro per Tonne","279"
"Fertiliser Price","2007M04","Compound 27-2.5-5","Euro per Tonne","275"
"Fertiliser Price","2007M04","Sulphate of Potash (42% K)","Euro per Tonne",""
"Fertiliser Price","2007M04","Compound 8-5-18","Euro per Tonne",""
"Fertiliser Price","2007M04","Compound 20-4-10","Euro per Tonne",""
"Fertiliser Price","2007M04","Sulphate of Ammonia (21%)","Euro per Tonne",""
"Fertiliser Price","2007M04","Ammonium Sulphate Nitrate (26%)","Euro per Tonne",""
"Fertiliser Price","2007M04","Compound 10-5-25","Euro per Tonne",""
"Fertiliser Price","2007M04","Compound 13-6-20","Euro per Tonne",""
"Fertiliser Price","2007M04","Compound 15-3-20","Euro per Tonne",""
"Fertiliser Price","2007M04","Compound 24-2.2-10","Euro per Tonne",""
"Fertiliser Price","2007M04","Compound 24-2.2-4.5","Euro per Tonne",""
"Fertiliser Price","2007M04","Compound 19-0-15","Euro per Tonne",""
"Fertiliser Price","2007M04","Compound 25-4-0","Euro per Tonne",""
"Fertiliser Price","2007M05","Calcium Ammonium Nitrate (27.5% N)","Euro per Tonne","234"
"Fertiliser Price","2007M05","Urea (46% N)","Euro per Tonne","311"
"Fertiliser Price","2007M05","Granular Superphosphate (16% P)","Euro per Tonne","292"
"Fertiliser Price","2007M05","Muriate of Potash (50% K)","Euro per Tonne","258"
"Fertiliser Price","2007M05","Compound 0-10-20","Euro per Tonne","236"
"Fertiliser Price","2007M05","Compound 0-7-30","Euro per Tonne","235"
"Fertiliser Price","2007M05","Compound 7-6-17","Euro per Tonne",""
"Fertiliser Price","2007M05","Compound 10-10-20","Euro per Tonne","289"
"Fertiliser Price","2007M05","Compound 14-7-14","Euro per Tonne","282"
"Fertiliser Price","2007M05","Compound 18-6-12","Euro per Tonne","275"
"Fertiliser Price","2007M05","Compound 24-2.5-10","Euro per Tonne","280"
"Fertiliser Price","2007M05","Compound 27-2.5-5","Euro per Tonne","277"
"Fertiliser Price","2007M05","Sulphate of Potash (42% K)","Euro per Tonne",""
"Fertiliser Price","2007M05","Compound 8-5-18","Euro per Tonne",""
"Fertiliser Price","2007M05","Compound 20-4-10","Euro per Tonne",""
"Fertiliser Price","2007M05","Sulphate of Ammonia (21%)","Euro per Tonne",""
"Fertiliser Price","2007M05","Ammonium Sulphate Nitrate (26%)","Euro per Tonne",""
"Fertiliser Price","2007M05","Compound 10-5-25","Euro per Tonne",""
"Fertiliser Price","2007M05","Compound 13-6-20","Euro per Tonne",""
"Fertiliser Price","2007M05","Compound 15-3-20","Euro per Tonne",""
"Fertiliser Price","2007M05","Compound 24-2.2-10","Euro per Tonne",""
"Fertiliser Price","2007M05","Compound 24-2.2-4.5","Euro per Tonne",""
"Fertiliser Price","2007M05","Compound 19-0-15","Euro per Tonne",""
"Fertiliser Price","2007M05","Compound 25-4-0","Euro per Tonne",""
"Fertiliser Price","2007M06","Calcium Ammonium Nitrate (27.5% N)","Euro per Tonne","234"
"Fertiliser Price","2007M06","Urea (46% N)","Euro per Tonne","312"
"Fertiliser Price","2007M06","Granular Superphosphate (16% P)","Euro per Tonne","292"
"Fertiliser Price","2007M06","Muriate of Potash (50% K)","Euro per Tonne","258"
"Fertiliser Price","2007M06","Compound 0-10-20","Euro per Tonne","237"
"Fertiliser Price","2007M06","Compound 0-7-30","Euro per Tonne","235"
"Fertiliser Price","2007M06","Compound 7-6-17","Euro per Tonne",""
"Fertiliser Price","2007M06","Compound 10-10-20","Euro per Tonne","290"
"Fertiliser Price","2007M06","Compound 14-7-14","Euro per Tonne","282"
"Fertiliser Price","2007M06","Compound 18-6-12","Euro per Tonne","275"
"Fertiliser Price","2007M06","Compound 24-2.5-10","Euro per Tonne","280"
"Fertiliser Price","2007M06","Compound 27-2.5-5","Euro per Tonne","277"
"Fertiliser Price","2007M06","Sulphate of Potash (42% K)","Euro per Tonne",""
"Fertiliser Price","2007M06","Compound 8-5-18","Euro per Tonne",""
"Fertiliser Price","2007M06","Compound 20-4-10","Euro per Tonne",""
"Fertiliser Price","2007M06","Sulphate of Ammonia (21%)","Euro per Tonne",""
"Fertiliser Price","2007M06","Ammonium Sulphate Nitrate (26%)","Euro per Tonne",""
"Fertiliser Price","2007M06","Compound 10-5-25","Euro per Tonne",""
"Fertiliser Price","2007M06","Compound 13-6-20","Euro per Tonne",""
"Fertiliser Price","2007M06","Compound 15-3-20","Euro per Tonne",""
"Fertiliser Price","2007M06","Compound 24-2.2-10","Euro per Tonne",""
"Fertiliser Price","2007M06","Compound 24-2.2-4.5","Euro per Tonne",""
"Fertiliser Price","2007M06","Compound 19-0-15","Euro per Tonne",""
"Fertiliser Price","2007M06","Compound 25-4-0","Euro per Tonne",""
"Fertiliser Price","2007M07","Calcium Ammonium Nitrate (27.5% N)","Euro per Tonne","235"
"Fertiliser Price","2007M07","Urea (46% N)","Euro per Tonne","312"
"Fertiliser Price","2007M07","Granular Superphosphate (16% P)","Euro per Tonne","293"
"Fertiliser Price","2007M07","Muriate of Potash (50% K)","Euro per Tonne","259"
"Fertiliser Price","2007M07","Compound 0-10-20","Euro per Tonne","237"
"Fertiliser Price","2007M07","Compound 0-7-30","Euro per Tonne","235"
"Fertiliser Price","2007M07","Compound 7-6-17","Euro per Tonne",""
"Fertiliser Price","2007M07","Compound 10-10-20","Euro per Tonne","290"
"Fertiliser Price","2007M07","Compound 14-7-14","Euro per Tonne","283"
"Fertiliser Price","2007M07","Compound 18-6-12","Euro per Tonne","276"
"Fertiliser Price","2007M07","Compound 24-2.5-10","Euro per Tonne","279"
"Fertiliser Price","2007M07","Compound 27-2.5-5","Euro per Tonne","277"
"Fertiliser Price","2007M07","Sulphate of Potash (42% K)","Euro per Tonne",""
"Fertiliser Price","2007M07","Compound 8-5-18","Euro per Tonne",""
"Fertiliser Price","2007M07","Compound 20-4-10","Euro per Tonne",""
"Fertiliser Price","2007M07","Sulphate of Ammonia (21%)","Euro per Tonne",""
"Fertiliser Price","2007M07","Ammonium Sulphate Nitrate (26%)","Euro per Tonne",""
"Fertiliser Price","2007M07","Compound 10-5-25","Euro per Tonne",""
"Fertiliser Price","2007M07","Compound 13-6-20","Euro per Tonne",""
"Fertiliser Price","2007M07","Compound 15-3-20","Euro per Tonne",""
"Fertiliser Price","2007M07","Compound 24-2.2-10","Euro per Tonne",""
"Fertiliser Price","2007M07","Compound 24-2.2-4.5","Euro per Tonne",""
"Fertiliser Price","2007M07","Compound 19-0-15","Euro per Tonne",""
"Fertiliser Price","2007M07","Compound 25-4-0","Euro per Tonne",""
"Fertiliser Price","2007M08","Calcium Ammonium Nitrate (27.5% N)","Euro per Tonne","235"
"Fertiliser Price","2007M08","Urea (46% N)","Euro per Tonne","312"
"Fertiliser Price","2007M08","Granular Superphosphate (16% P)","Euro per Tonne","293"
"Fertiliser Price","2007M08","Muriate of Potash (50% K)","Euro per Tonne","259"
"Fertiliser Price","2007M08","Compound 0-10-20","Euro per Tonne","237"
"Fertiliser Price","2007M08","Compound 0-7-30","Euro per Tonne","235"
"Fertiliser Price","2007M08","Compound 7-6-17","Euro per Tonne",""
"Fertiliser Price","2007M08","Compound 10-10-20","Euro per Tonne","290"
"Fertiliser Price","2007M08","Compound 14-7-14","Euro per Tonne","283"
"Fertiliser Price","2007M08","Compound 18-6-12","Euro per Tonne","276"
"Fertiliser Price","2007M08","Compound 24-2.5-10","Euro per Tonne","279"
"Fertiliser Price","2007M08","Compound 27-2.5-5","Euro per Tonne","277"
"Fertiliser Price","2007M08","Sulphate of Potash (42% K)","Euro per Tonne",""
"Fertiliser Price","2007M08","Compound 8-5-18","Euro per Tonne",""
"Fertiliser Price","2007M08","Compound 20-4-10","Euro per Tonne",""
"Fertiliser Price","2007M08","Sulphate of Ammonia (21%)","Euro per Tonne",""
"Fertiliser Price","2007M08","Ammonium Sulphate Nitrate (26%)","Euro per Tonne",""
"Fertiliser Price","2007M08","Compound 10-5-25","Euro per Tonne",""
"Fertiliser Price","2007M08","Compound 13-6-20","Euro per Tonne",""
"Fertiliser Price","2007M08","Compound 15-3-20","Euro per Tonne",""
"Fertiliser Price","2007M08","Compound 24-2.2-10","Euro per Tonne",""
"Fertiliser Price","2007M08","Compound 24-2.2-4.5","Euro per Tonne",""
"Fertiliser Price","2007M08","Compound 19-0-15","Euro per Tonne",""
"Fertiliser Price","2007M08","Compound 25-4-0","Euro per Tonne",""
"Fertiliser Price","2007M09","Calcium Ammonium Nitrate (27.5% N)","Euro per Tonne","235"
"Fertiliser Price","2007M09","Urea (46% N)","Euro per Tonne","313"
"Fertiliser Price","2007M09","Granular Superphosphate (16% P)","Euro per Tonne","303"
"Fertiliser Price","2007M09","Muriate of Potash (50% K)","Euro per Tonne","259"
"Fertiliser Price","2007M09","Compound 0-10-20","Euro per Tonne","251"
"Fertiliser Price","2007M09","Compound 0-7-30","Euro per Tonne","249"
"Fertiliser Price","2007M09","Compound 7-6-17","Euro per Tonne",""
"Fertiliser Price","2007M09","Compound 10-10-20","Euro per Tonne","295"
"Fertiliser Price","2007M09","Compound 14-7-14","Euro per Tonne","290"
"Fertiliser Price","2007M09","Compound 18-6-12","Euro per Tonne","278"
"Fertiliser Price","2007M09","Compound 24-2.5-10","Euro per Tonne","280"
"Fertiliser Price","2007M09","Compound 27-2.5-5","Euro per Tonne","277"
"Fertiliser Price","2007M09","Sulphate of Potash (42% K)","Euro per Tonne",""
"Fertiliser Price","2007M09","Compound 8-5-18","Euro per Tonne",""
"Fertiliser Price","2007M09","Compound 20-4-10","Euro per Tonne",""
"Fertiliser Price","2007M09","Sulphate of Ammonia (21%)","Euro per Tonne",""
"Fertiliser Price","2007M09","Ammonium Sulphate Nitrate (26%)","Euro per Tonne",""
"Fertiliser Price","2007M09","Compound 10-5-25","Euro per Tonne",""
"Fertiliser Price","2007M09","Compound 13-6-20","Euro per Tonne",""
"Fertiliser Price","2007M09","Compound 15-3-20","Euro per Tonne",""
"Fertiliser Price","2007M09","Compound 24-2.2-10","Euro per Tonne",""
"Fertiliser Price","2007M09","Compound 24-2.2-4.5","Euro per Tonne",""
"Fertiliser Price","2007M09","Compound 19-0-15","Euro per Tonne",""
"Fertiliser Price","2007M09","Compound 25-4-0","Euro per Tonne",""
"Fertiliser Price","2007M10","Calcium Ammonium Nitrate (27.5% N)","Euro per Tonne","235"
