"Statistic","Year","Regional Veterinary Offices","UNIT","VALUE"
"Herds in County","2016","Wicklow E","Number","1083"
"Herds in County","2016","Wicklow W","Number","554"
"Herds in County","2017","State","Number","113697"
"Herds in County","2017","Carlow","Number","1315"
"Herds in County","2017","Cavan","Number","4851"
"Herds in County","2017","Clare","Number","6101"
"Herds in County","2017","Cork North","Number","5822"
"Herds in County","2017","Cork South","Number","6120"
"Herds in County","2017","Donegal","Number","5349"
"Herds in County","2017","Dublin","Number","387"
"Herds in County","2017","Galway","Number","11072"
"Herds in County","2017","Kerry","Number","6754"
"Herds in County","2017","Kildare","Number","1892"
"Herds in County","2017","Kilkenny","Number","3084"
"Herds in County","2017","Laois","Number","2858"
"Herds in County","2017","Leitrim","Number","2930"
"Herds in County","2017","Limerick","Number","5435"
"Herds in County","2017","Longford","Number","2379"
"Herds in County","2017","Louth","Number","1195"
"Herds in County","2017","Mayo","Number","9033"
"Herds in County","2017","Meath","Number","3694"
"Herds in County","2017","Monaghan","Number","4312"
"Herds in County","2017","Offaly","Number","3172"
"Herds in County","2017","Roscommon","Number","5459"
"Herds in County","2017","Sligo","Number","3486"
"Herds in County","2017","Tipperary North","Number","3505"
"Herds in County","2017","Tipperary South","Number","3505"
"Herds in County","2017","Waterford","Number","2188"
"Herds in County","2017","Westmeath","Number","3119"
"Herds in County","2017","Wexford","Number","3058"
"Herds in County","2017","Wicklow E","Number","1066"
"Herds in County","2017","Wicklow W","Number","556"
"Herds in County","2018","State","Number","112105"
"Herds in County","2018","Carlow","Number","1296"
"Herds in County","2018","Cavan","Number","4860"
"Herds in County","2018","Clare","Number","6036"
"Herds in County","2018","Cork North","Number","5747"
"Herds in County","2018","Cork South","Number","6023"
"Herds in County","2018","Donegal","Number","5202"
"Herds in County","2018","Dublin","Number","372"
"Herds in County","2018","Galway","Number","10936"
"Herds in County","2018","Kerry","Number","6642"
"Herds in County","2018","Kildare","Number","1843"
"Herds in County","2018","Kilkenny","Number","3044"
"Herds in County","2018","Laois","Number","2811"
"Herds in County","2018","Leitrim","Number","2890"
"Herds in County","2018","Limerick","Number","5351"
"Herds in County","2018","Longford","Number","2356"
"Herds in County","2018","Louth","Number","1186"
"Herds in County","2018","Mayo","Number","8852"
"Herds in County","2018","Meath","Number","3687"
"Herds in County","2018","Monaghan","Number","4263"
"Herds in County","2018","Offaly","Number","3126"
"Herds in County","2018","Roscommon","Number","5359"
"Herds in County","2018","Sligo","Number","3429"
"Herds in County","2018","Tipperary North","Number","3469"
"Herds in County","2018","Tipperary South","Number","3457"
"Herds in County","2018","Waterford","Number","2156"
"Herds in County","2018","Westmeath","Number","3096"
"Herds in County","2018","Wexford","Number","3021"
"Herds in County","2018","Wicklow E","Number","1055"
"Herds in County","2018","Wicklow W","Number","540"
"Herds in County","2019","State","Number","111004"
"Herds in County","2019","Carlow","Number","1292"
"Herds in County","2019","Cavan","Number","4810"
"Herds in County","2019","Clare","Number","5910"
"Herds in County","2019","Cork North","Number","5702"
"Herds in County","2019","Cork South","Number","5926"
"Herds in County","2019","Donegal","Number","5249"
"Herds in County","2019","Dublin","Number","346"
"Herds in County","2019","Galway","Number","10824"
"Herds in County","2019","Kerry","Number","6581"
"Herds in County","2019","Kildare","Number","1742"
"Herds in County","2019","Kilkenny","Number","3056"
"Herds in County","2019","Laois","Number","2710"
"Herds in County","2019","Leitrim","Number","2863"
"Herds in County","2019","Limerick","Number","5204"
"Herds in County","2019","Longford","Number","2337"
"Herds in County","2019","Louth","Number","1199"
"Herds in County","2019","Mayo","Number","8763"
"Herds in County","2019","Meath","Number","3683"
"Herds in County","2019","Monaghan","Number","4235"
"Herds in County","2019","Offaly","Number","3077"
"Herds in County","2019","Roscommon","Number","5416"
"Herds in County","2019","Sligo","Number","3371"
"Herds in County","2019","Tipperary North","Number","3439"
"Herds in County","2019","Tipperary South","Number","3416"
"Herds in County","2019","Waterford","Number","2169"
"Herds in County","2019","Westmeath","Number","3063"
"Herds in County","2019","Wexford","Number","3050"
"Herds in County","2019","Wicklow E","Number","1058"
"Herds in County","2019","Wicklow W","Number","513"
"Herds in County","2020","State","Number","110216"
"Herds in County","2020","Carlow","Number","1307"
"Herds in County","2020","Cavan","Number","4771"
"Herds in County","2020","Clare","Number","5923"
"Herds in County","2020","Cork North","Number","5520"
"Herds in County","2020","Cork South","Number","5806"
"Herds in County","2020","Donegal","Number","5143"
"Herds in County","2020","Dublin","Number","344"
"Herds in County","2020","Galway","Number","10783"
"Herds in County","2020","Kerry","Number","6471"
"Herds in County","2020","Kildare","Number","1748"
"Herds in County","2020","Kilkenny","Number","3071"
"Herds in County","2020","Laois","Number","2695"
"Herds in County","2020","Leitrim","Number","2860"
"Herds in County","2020","Limerick","Number","5235"
"Herds in County","2020","Longford","Number","2357"
"Herds in County","2020","Louth","Number","1161"
"Herds in County","2020","Mayo","Number","8698"
"Herds in County","2020","Meath","Number","3616"
"Herds in County","2020","Monaghan","Number","4221"
"Herds in County","2020","Offaly","Number","3024"
"Herds in County","2020","Roscommon","Number","5377"
"Herds in County","2020","Sligo","Number","3378"
"Herds in County","2020","Tipperary North","Number","3405"
"Herds in County","2020","Tipperary South","Number","3395"
"Herds in County","2020","Waterford","Number","2189"
"Herds in County","2020","Westmeath","Number","3047"
"Herds in County","2020","Wexford","Number","3088"
"Herds in County","2020","Wicklow E","Number","1070"
"Herds in County","2020","Wicklow W","Number","513"
"Herds Tested","2010","State","Number","114011"
"Herds Tested","2010","Carlow","Number","1295"
"Herds Tested","2010","Cavan","Number","4832"
"Herds Tested","2010","Clare","Number","6134"
"Herds Tested","2010","Cork North","Number","5849"
"Herds Tested","2010","Cork South","Number","6107"
"Herds Tested","2010","Donegal","Number","5449"
"Herds Tested","2010","Dublin","Number","391"
"Herds Tested","2010","Galway","Number","11639"
"Herds Tested","2010","Kerry","Number","6790"
"Herds Tested","2010","Kildare","Number","1798"
"Herds Tested","2010","Kilkenny","Number","2989"
"Herds Tested","2010","Laois","Number","2821"
"Herds Tested","2010","Leitrim","Number","3061"
"Herds Tested","2010","Limerick","Number","5416"
"Herds Tested","2010","Longford","Number","2394"
"Herds Tested","2010","Louth","Number","1131"
"Herds Tested","2010","Mayo","Number","9716"
"Herds Tested","2010","Meath","Number","3512"
"Herds Tested","2010","Monaghan","Number","4189"
"Herds Tested","2010","Offaly","Number","3013"
"Herds Tested","2010","Roscommon","Number","5463"
"Herds Tested","2010","Sligo","Number","3635"
"Herds Tested","2010","Tipperary North","Number","3355"
"Herds Tested","2010","Tipperary South","Number","3307"
"Herds Tested","2010","Waterford","Number","2198"
"Herds Tested","2010","Westmeath","Number","2963"
"Herds Tested","2010","Wexford","Number","2981"
"Herds Tested","2010","Wicklow E","Number","1043"
"Herds Tested","2010","Wicklow W","Number","540"
"Herds Tested","2011","State","Number","114333"
"Herds Tested","2011","Carlow","Number","1326"
"Herds Tested","2011","Cavan","Number","4803"
"Herds Tested","2011","Clare","Number","6105"
"Herds Tested","2011","Cork North","Number","5689"
"Herds Tested","2011","Cork South","Number","6119"
"Herds Tested","2011","Donegal","Number","5467"
"Herds Tested","2011","Dublin","Number","387"
"Herds Tested","2011","Galway","Number","11509"
"Herds Tested","2011","Kerry","Number","6881"
"Herds Tested","2011","Kildare","Number","1900"
"Herds Tested","2011","Kilkenny","Number","3075"
"Herds Tested","2011","Laois","Number","2900"
"Herds Tested","2011","Leitrim","Number","3058"
"Herds Tested","2011","Limerick","Number","5369"
"Herds Tested","2011","Longford","Number","2382"
"Herds Tested","2011","Louth","Number","1155"
"Herds Tested","2011","Mayo","Number","9673"
"Herds Tested","2011","Meath","Number","3567"
"Herds Tested","2011","Monaghan","Number","4191"
"Herds Tested","2011","Offaly","Number","3078"
"Herds Tested","2011","Roscommon","Number","5443"
"Herds Tested","2011","Sligo","Number","3613"
"Herds Tested","2011","Tipperary North","Number","3419"
"Herds Tested","2011","Tipperary South","Number","3373"
"Herds Tested","2011","Waterford","Number","2197"
"Herds Tested","2011","Westmeath","Number","3053"
"Herds Tested","2011","Wexford","Number","3008"
"Herds Tested","2011","Wicklow E","Number","1027"
"Herds Tested","2011","Wicklow W","Number","566"
"Herds Tested","2012","State","Number","113887"
"Herds Tested","2012","Carlow","Number","1296"
"Herds Tested","2012","Cavan","Number","4814"
"Herds Tested","2012","Clare","Number","6128"
"Herds Tested","2012","Cork North","Number","5692"
"Herds Tested","2012","Cork South","Number","6112"
"Herds Tested","2012","Donegal","Number","5439"
"Herds Tested","2012","Dublin","Number","377"
"Herds Tested","2012","Galway","Number","11515"
"Herds Tested","2012","Kerry","Number","6758"
"Herds Tested","2012","Kildare","Number","1852"
"Herds Tested","2012","Kilkenny","Number","3067"
"Herds Tested","2012","Laois","Number","2849"
"Herds Tested","2012","Leitrim","Number","3042"
"Herds Tested","2012","Limerick","Number","5394"
"Herds Tested","2012","Longford","Number","2419"
"Herds Tested","2012","Louth","Number","1148"
"Herds Tested","2012","Mayo","Number","9560"
"Herds Tested","2012","Meath","Number","3570"
"Herds Tested","2012","Monaghan","Number","4170"
"Herds Tested","2012","Offaly","Number","3103"
"Herds Tested","2012","Roscommon","Number","5424"
"Herds Tested","2012","Sligo","Number","3596"
"Herds Tested","2012","Tipperary North","Number","3361"
"Herds Tested","2012","Tipperary South","Number","3347"
"Herds Tested","2012","Waterford","Number","2193"
"Herds Tested","2012","Westmeath","Number","3054"
"Herds Tested","2012","Wexford","Number","2994"
"Herds Tested","2012","Wicklow E","Number","1053"
"Herds Tested","2012","Wicklow W","Number","560"
"Herds Tested","2013","State","Number","114051"
"Herds Tested","2013","Carlow","Number","1302"
"Herds Tested","2013","Cavan","Number","4804"
"Herds Tested","2013","Clare","Number","6187"
"Herds Tested","2013","Cork North","Number","5712"
"Herds Tested","2013","Cork South","Number","6076"
"Herds Tested","2013","Donegal","Number","5411"
"Herds Tested","2013","Dublin","Number","383"
"Herds Tested","2013","Galway","Number","11528"
"Herds Tested","2013","Kerry","Number","6718"
"Herds Tested","2013","Kildare","Number","1888"
"Herds Tested","2013","Kilkenny","Number","3143"
"Herds Tested","2013","Laois","Number","2847"
"Herds Tested","2013","Leitrim","Number","3017"
"Herds Tested","2013","Limerick","Number","5476"
"Herds Tested","2013","Longford","Number","2366"
"Herds Tested","2013","Louth","Number","1153"
