,Statistic,Year,Type of Crop,UNIT,VALUE
179,Crop Yield per Hectare,2008,Beans and peas,Tonnes,4.5
180,Crop Yield per Hectare,2008,Oilseed rape,Tonnes,3.6
181,Crop Yield per Hectare,2008,Potatoes,Tonnes,30.7
182,Crop Yield per Hectare,2009,"Total wheat, oats and barley",Tonnes,6.9
183,Crop Yield per Hectare,2009,Total wheat,Tonnes,8.2
184,Crop Yield per Hectare,2009,Winter wheat,Tonnes,8.6
185,Crop Yield per Hectare,2009,Spring wheat,Tonnes,6.8
186,Crop Yield per Hectare,2009,Total oats,Tonnes,7.1
187,Crop Yield per Hectare,2009,Winter oats,Tonnes,7.8
188,Crop Yield per Hectare,2009,Spring oats,Tonnes,6.6
189,Crop Yield per Hectare,2009,Total barley,Tonnes,6.3
190,Crop Yield per Hectare,2009,Winter barley,Tonnes,8.5
191,Crop Yield per Hectare,2009,Spring barley,Tonnes,6.1
192,Crop Yield per Hectare,2009,Beans and peas,Tonnes,5.3
193,Crop Yield per Hectare,2009,Oilseed rape,Tonnes,3.7
194,Crop Yield per Hectare,2009,Potatoes,Tonnes,27.6
195,Crop Yield per Hectare,2010,"Total wheat, oats and barley",Tonnes,7.5
196,Crop Yield per Hectare,2010,Total wheat,Tonnes,8.6
197,Crop Yield per Hectare,2010,Winter wheat,Tonnes,8.9
198,Crop Yield per Hectare,2010,Spring wheat,Tonnes,7.6
199,Crop Yield per Hectare,2010,Total oats,Tonnes,7.5
200,Crop Yield per Hectare,2010,Winter oats,Tonnes,7.8
201,Crop Yield per Hectare,2010,Spring oats,Tonnes,7.2
202,Crop Yield per Hectare,2010,Total barley,Tonnes,7.0
203,Crop Yield per Hectare,2010,Winter barley,Tonnes,8.5
204,Crop Yield per Hectare,2010,Spring barley,Tonnes,6.7
205,Crop Yield per Hectare,2010,Beans and peas,Tonnes,5.5
206,Crop Yield per Hectare,2010,Oilseed rape,Tonnes,3.5
207,Crop Yield per Hectare,2010,Potatoes,Tonnes,34.4
208,Crop Yield per Hectare,2011,"Total wheat, oats and barley",Tonnes,8.5
209,Crop Yield per Hectare,2011,Total wheat,Tonnes,9.9
210,Crop Yield per Hectare,2011,Winter wheat,Tonnes,10.2
211,Crop Yield per Hectare,2011,Spring wheat,Tonnes,8.3
212,Crop Yield per Hectare,2011,Total oats,Tonnes,7.9
213,Crop Yield per Hectare,2011,Winter oats,Tonnes,7.8
214,Crop Yield per Hectare,2011,Spring oats,Tonnes,7.9
215,Crop Yield per Hectare,2011,Total barley,Tonnes,7.8
216,Crop Yield per Hectare,2011,Winter barley,Tonnes,9.1
217,Crop Yield per Hectare,2011,Spring barley,Tonnes,7.5
218,Crop Yield per Hectare,2011,Beans and peas,Tonnes,5.7
219,Crop Yield per Hectare,2011,Oilseed rape,Tonnes,4.5
220,Crop Yield per Hectare,2011,Potatoes,Tonnes,34.4
221,Crop Yield per Hectare,2012,"Total wheat, oats and barley",Tonnes,6.8
222,Crop Yield per Hectare,2012,Total wheat,Tonnes,7.2
223,Crop Yield per Hectare,2012,Winter wheat,Tonnes,7.4
224,Crop Yield per Hectare,2012,Spring wheat,Tonnes,6.1
225,Crop Yield per Hectare,2012,Total oats,Tonnes,6.6
226,Crop Yield per Hectare,2012,Winter oats,Tonnes,6.9
227,Crop Yield per Hectare,2012,Spring oats,Tonnes,6.4
228,Crop Yield per Hectare,2012,Total barley,Tonnes,6.5
229,Crop Yield per Hectare,2012,Winter barley,Tonnes,7.8
230,Crop Yield per Hectare,2012,Spring barley,Tonnes,6.2
231,Crop Yield per Hectare,2012,Beans and peas,Tonnes,4.8
232,Crop Yield per Hectare,2012,Oilseed rape,Tonnes,3.2
233,Crop Yield per Hectare,2012,Potatoes,Tonnes,25.8
234,Crop Yield per Hectare,2013,"Total wheat, oats and barley",Tonnes,7.8
235,Crop Yield per Hectare,2013,Total wheat,Tonnes,9.0
236,Crop Yield per Hectare,2013,Winter wheat,Tonnes,9.3
237,Crop Yield per Hectare,2013,Spring wheat,Tonnes,8.1
238,Crop Yield per Hectare,2013,Total oats,Tonnes,7.2
239,Crop Yield per Hectare,2013,Winter oats,Tonnes,8.1
240,Crop Yield per Hectare,2013,Spring oats,Tonnes,7.0
241,Crop Yield per Hectare,2013,Total barley,Tonnes,7.6
242,Crop Yield per Hectare,2013,Winter barley,Tonnes,9.5
243,Crop Yield per Hectare,2013,Spring barley,Tonnes,7.2
244,Crop Yield per Hectare,2013,Beans and peas,Tonnes,5.2
245,Crop Yield per Hectare,2013,Oilseed rape,Tonnes,3.6
246,Crop Yield per Hectare,2013,Potatoes,Tonnes,38.2
247,Crop Yield per Hectare,2014,"Total wheat, oats and barley",Tonnes,8.5
248,Crop Yield per Hectare,2014,Total wheat,Tonnes,10.0
249,Crop Yield per Hectare,2014,Winter wheat,Tonnes,10.2
250,Crop Yield per Hectare,2014,Spring wheat,Tonnes,8.3
251,Crop Yield per Hectare,2014,Total oats,Tonnes,8.0
252,Crop Yield per Hectare,2014,Winter oats,Tonnes,8.7
253,Crop Yield per Hectare,2014,Spring oats,Tonnes,7.3
254,Crop Yield per Hectare,2014,Total barley,Tonnes,8.0
255,Crop Yield per Hectare,2014,Winter barley,Tonnes,9.3
256,Crop Yield per Hectare,2014,Spring barley,Tonnes,7.5
257,Crop Yield per Hectare,2014,Beans and peas,Tonnes,5.7
258,Crop Yield per Hectare,2014,Oilseed rape,Tonnes,3.6
259,Crop Yield per Hectare,2014,Potatoes,Tonnes,40.5
260,Crop Yield per Hectare,2015,"Total wheat, oats and barley",Tonnes,9.0
261,Crop Yield per Hectare,2015,Total wheat,Tonnes,10.7
262,Crop Yield per Hectare,2015,Winter wheat,Tonnes,11.0
263,Crop Yield per Hectare,2015,Spring wheat,Tonnes,8.6
264,Crop Yield per Hectare,2015,Total oats,Tonnes,8.4
265,Crop Yield per Hectare,2015,Winter oats,Tonnes,9.2
266,Crop Yield per Hectare,2015,Spring oats,Tonnes,7.7
267,Crop Yield per Hectare,2015,Total barley,Tonnes,8.6
268,Crop Yield per Hectare,2015,Winter barley,Tonnes,10.2
269,Crop Yield per Hectare,2015,Spring barley,Tonnes,7.7
270,Crop Yield per Hectare,2015,Beans and peas,Tonnes,6.5
271,Crop Yield per Hectare,2015,Oilseed rape,Tonnes,4.5
272,Crop Yield per Hectare,2015,Potatoes,Tonnes,42.3
273,Crop Yield per Hectare,2016,"Total wheat, oats and barley",Tonnes,8.2
274,Crop Yield per Hectare,2016,Total wheat,Tonnes,9.5
275,Crop Yield per Hectare,2016,Winter wheat,Tonnes,9.7
276,Crop Yield per Hectare,2016,Spring wheat,Tonnes,8.0
277,Crop Yield per Hectare,2016,Total oats,Tonnes,7.9
278,Crop Yield per Hectare,2016,Winter oats,Tonnes,8.3
279,Crop Yield per Hectare,2016,Spring oats,Tonnes,7.3
280,Crop Yield per Hectare,2016,Total barley,Tonnes,7.8
281,Crop Yield per Hectare,2016,Winter barley,Tonnes,8.6
282,Crop Yield per Hectare,2016,Spring barley,Tonnes,7.3
283,Crop Yield per Hectare,2016,Beans and peas,Tonnes,5.7
284,Crop Yield per Hectare,2016,Oilseed rape,Tonnes,3.5
285,Crop Yield per Hectare,2016,Potatoes,Tonnes,38.9
286,Crop Yield per Hectare,2017,"Total wheat, oats and barley",Tonnes,8.8
287,Crop Yield per Hectare,2017,Total wheat,Tonnes,10.2
288,Crop Yield per Hectare,2017,Winter wheat,Tonnes,10.4
289,Crop Yield per Hectare,2017,Spring wheat,Tonnes,8.2
290,Crop Yield per Hectare,2017,Total oats,Tonnes,8.4
