,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_gamma,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_test_neg_root_mean_squared_error,split1_test_neg_root_mean_squared_error,split2_test_neg_root_mean_squared_error,split3_test_neg_root_mean_squared_error,split4_test_neg_root_mean_squared_error,mean_test_neg_root_mean_squared_error,std_test_neg_root_mean_squared_error,rank_test_neg_root_mean_squared_error
142,0.21977992057800294,0.017114764107700974,0.004036712646484375,0.0002832729951195406,0.1,1,9,340,"{'gamma': 0.1, 'learning_rate': 1, 'max_depth': 9, 'n_estimators': 340}",0.9802829115599845,0.20160137965539304,0.7389913858052506,0.5054934279096657,0.14328044879285362,0.5139299107446295,0.31721888283835653,67,-61.97105666243572,-238.40269164482066,-387.29700882779173,-379.30894483273573,-205.49940160046393,-254.49582071364958,120.78070556095513,73
71,0.3306737899780273,0.0040537547858887826,0.003638172149658203,0.000105274219687797,0.01,1,9,500,"{'gamma': 0.01, 'learning_rate': 1, 'max_depth': 9, 'n_estimators': 500}",0.9803892024081527,0.20169973411570719,0.7390243258237243,0.5055903478159518,0.14132147812015527,0.5136050176567384,0.31769341015258085,73,-61.803794202733016,-238.3880068184332,-387.27256907280383,-379.2717720316628,-205.73421440242217,-254.494071305611,120.80238070192249,67
66,0.017287588119506835,0.000246250342900158,0.00351715087890625,0.00010239593629851161,0.01,1,9,20,"{'gamma': 0.01, 'learning_rate': 1, 'max_depth': 9, 'n_estimators': 20}",0.9803892024081527,0.20169973411570719,0.7390243258237243,0.5055903478159518,0.14132147812015527,0.5136050176567384,0.31769341015258085,73,-61.803794202733016,-238.3880068184332,-387.27256907280383,-379.2717720316628,-205.73421440242217,-254.494071305611,120.80238070192249,67
67,0.030794334411621094,0.002054372052451094,0.003922891616821289,0.0002802372992961467,0.01,1,9,40,"{'gamma': 0.01, 'learning_rate': 1, 'max_depth': 9, 'n_estimators': 40}",0.9803892024081527,0.20169973411570719,0.7390243258237243,0.5055903478159518,0.14132147812015527,0.5136050176567384,0.31769341015258085,73,-61.803794202733016,-238.3880068184332,-387.27256907280383,-379.2717720316628,-205.73421440242217,-254.494071305611,120.80238070192249,67
68,0.06474862098693848,0.00906842569586197,0.004005813598632812,0.0002760322377973527,0.01,1,9,80,"{'gamma': 0.01, 'learning_rate': 1, 'max_depth': 9, 'n_estimators': 80}",0.9803892024081527,0.20169973411570719,0.7390243258237243,0.5055903478159518,0.14132147812015527,0.5136050176567384,0.31769341015258085,73,-61.803794202733016,-238.3880068184332,-387.27256907280383,-379.2717720316628,-205.73421440242217,-254.494071305611,120.80238070192249,67
69,0.11019244194030761,0.0039375655572385804,0.0037830829620361327,0.00020296676562216455,0.01,1,9,160,"{'gamma': 0.01, 'learning_rate': 1, 'max_depth': 9, 'n_estimators': 160}",0.9803892024081527,0.20169973411570719,0.7390243258237243,0.5055903478159518,0.14132147812015527,0.5136050176567384,0.31769341015258085,73,-61.803794202733016,-238.3880068184332,-387.27256907280383,-379.2717720316628,-205.73421440242217,-254.494071305611,120.80238070192249,67
70,0.2300419330596924,0.00317281958742123,0.00368194580078125,5.1382251702203185e-05,0.01,1,9,340,"{'gamma': 0.01, 'learning_rate': 1, 'max_depth': 9, 'n_estimators': 340}",0.9803892024081527,0.20169973411570719,0.7390243258237243,0.5055903478159518,0.14132147812015527,0.5136050176567384,0.31769341015258085,73,-61.803794202733016,-238.3880068184332,-387.27256907280383,-379.2717720316628,-205.73421440242217,-254.494071305611,120.80238070192249,67
108,0.011499452590942382,0.0017054149618747896,0.0035106658935546873,4.2853681981824736e-05,0.1,0.1,3,20,"{'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 20}",0.5969955185353047,0.05078407364310411,0.21785064910141183,0.5380351228933906,-0.273586539639205,0.22601576490680125,0.3210474528189127,79,-280.1705269112263,-259.94637991918984,-670.4425466514765,-366.61609670283536,-250.55637247629744,-365.5463845322051,157.87711352225395,79
48,0.01024470329284668,0.0001283018609468489,0.003541374206542969,6.96473844418536e-05,0.01,0.1,9,20,"{'gamma': 0.01, 'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 20}",0.5969955185353047,0.05078407364310411,0.21785064910141183,0.5380351228933906,-0.273586539639205,0.22601576490680125,0.3210474528189127,79,-280.1705269112263,-259.94637991918984,-670.4425466514765,-366.61609670283536,-250.55637247629744,-365.5463845322051,157.87711352225395,79
120,0.01046614646911621,0.0007048936379913606,0.0034582138061523436,6.886416797989994e-05,0.1,0.1,9,20,"{'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 20}",0.5969955185353047,0.05078407364310411,0.21785064910141183,0.5380351228933906,-0.273586539639205,0.22601576490680125,0.3210474528189127,79,-280.1705269112263,-259.94637991918984,-670.4425466514765,-366.61609670283536,-250.55637247629744,-365.5463845322051,157.87711352225395,79
